Nº de nós: 96
Total Geral Contatos: 102588
Total Tipo Contato (A -> B): 5166
Total Tempo Contato: 201592593
Total Tempo Inter Contato: 28687955984
Total Contatos(tempo = 0): 44961
Total Conexões(tempo > 0): 57629
Grau Geral: 5166
Grau Medio: 107.625
Densidade: 0.566447368421053
Media Nº Contatos: 19.8583042973287
Media Tempo de Contatos: 39022.956445993
Media Tempo Inter Contatos: 5553224.15485869

"a" "b" "num_contatos" "tempo_contatos" "inter_contatos" "media_tcontatos" "media_intercon" "porc_contatos" "porc_tempo_cont" "porc_inter_cont" "porc_media_tcont" "porc_media_tinter"
"0" "28" 90 239980 11778172 2666.44444444444 132339.011235955 0.0008772955901275 0.00119042072145974 0.000410561561324515 0.000523176067822106 2.90321061249764e-05
"0" "77" 5 17584 282902 3516.8 70725.5 4.87386438959722e-05 8.72254269778652e-05 9.86135088041064e-06 0.000690022100085467 1.55155324387384e-05
"1" "4" 1 4493 0 4493 0 9.74772877919445e-06 2.22875252167623e-05 0 0.000881559740583486 0
"1" "5" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"1" "6" 13 8624 14691426 663.384615384615 1224285.5 0.000126720474129528 4.27793495369148e-05 0.000512111284895786 0.000130160954695201 0.000268579810528409
"1" "7" 3 2530 4048690 843.333333333333 2024345 2.92431863375833e-05 1.25500642774112e-05 0.000141128562880467 0.000165468220467113 0.000444094287275421
"1" "9" 6 0 15166988 0 3033397.6 5.84863726751667e-05 0 0.000528688346024339 0 0.000665456997297879
"1" "14" 14 3824 14962235 273.142857142857 1150941.15384615 0.000136468202908722 1.89689509078342e-05 0.000521551099992792 5.35926432862429e-05 0.000252489764053686
"1" "15" 3 1268 2435904 422.666666666667 1217952 2.92431863375833e-05 6.28991363784879e-06 8.49103366359934e-05 8.29303176096046e-05 0.000267190387693636
"1" "16" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"1" "20" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"1" "28" 4 635 15119638 158.75 5039879.33333333 3.89909151167778e-05 3.14991731863879e-06 0.000527037827596801 3.11479209476137e-05 0.00110563249865551
"1" "29" 2 316 2101086 158 2101086 1.94954575583889e-05 1.56751790974781e-06 7.32393064591924e-05 3.10007654155777e-05 0.000460929480732961
"1" "36" 1 3760 0 3760 0 9.74772877919445e-06 1.86514789261131e-05 0 0.000737739733940331 0
"1" "41" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"1" "43" 6 0 2850232 0 570046.4 5.84863726751667e-05 0 9.93529131733765e-05 0 0.00012505494356047
"1" "46" 22 157355 13074383 7152.5 622589.666666667 0.000214450033142278 0.00078055943255812 0.000455744668853086 0.00140337325718304 0.000136581716201228
"1" "52" 33 44407 4209341 1345.66666666667 131541.90625 0.000321675049713417 0.000220280910816996 0.000146728508728459 0.000264029725701872 2.88572398000064e-05
"1" "56" 3 0 13848421 0 6924210.5 2.92431863375833e-05 0 0.0004827259567647 0 0.00151901100204881
"1" "58" 3 5053 1213368 1684.33333333333 606684 2.92431863375833e-05 2.50654050568217e-05 4.22953800081374e-05 0.000330478623723448 0.000133092382267549
"1" "62" 59 202623 15430011 3434.28813559322 266034.672413793 0.000575115997972472 0.00100511133362921 0.000537856758027853 0.000673832663677388 5.83618297454997e-05
"1" "69" 7 5703 4145722 814.714285714286 690953.666666667 6.82341014543611e-05 2.82897298711764e-05 0.000144510888203822 0.000159852952228788 0.000151579190374503
"1" "70" 2 0 2678454 0 2678454 1.94954575583889e-05 0 9.33651042093707e-05 0 0.000587590613324311
"1" "73" 5 1877 13415535 375.4 3353883.75 4.87386438959722e-05 9.31085796391339e-06 0.00046763648854879 7.36562489684043e-05 0.000735764216850817
"1" "77" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"1" "79" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"1" "80" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"1" "81" 9 93679 10970759 10408.7777777778 1371344.875 8.772955901275e-05 0.000464694652744508 0.000382416893211865 0.0020422789756441 0.000300841222653217
"1" "82" 6 313 3629447 52.1666666666667 725889.4 5.84863726751667e-05 1.55263641060463e-06 0.000126514660090257 1.02354847838353e-05 0.000159243279052624
"1" "84" 2 339 1670872 169.5 1670872 1.94954575583889e-05 1.68160940317882e-06 5.82429783750326e-05 3.32571502401293e-05 0.000366550518794206
"1" "85" 1 313 0 313 0 9.74772877919445e-06 1.55263641060463e-06 0 6.14129087030116e-05 0
"1" "88" 8 626 14711812 78.25 2101687.42857143 7.79818302335556e-05 3.10527282120926e-06 0.000512821896694388 1.53532271757529e-05 0.000461061420196232
"1" "93" 33 193351 15274499 5859.12121212121 477328.09375 0.000321675049713417 0.000959117580277367 0.000532435946587445 0.00114960279897725 0.000104714700108154
"1" "94" 4 940 15119011 235 5039670.33333333 3.89909151167778e-05 4.66286973152828e-06 0.000527015971735046 4.61087333712707e-05 0.00110558664890854
"1" "95" 1 1894 0 1894 0 9.74772877919445e-06 9.39518645905805e-06 0 0.000371616770234837 0
"1" "96" 87 195970 15446092 2252.52873563218 179605.720930233 0.000848052403789917 0.000972109129029359 0.000538417306852209 0.000441962752691021 3.94013246887758e-05
"2" "1" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "4" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "6" 2 314 11505530 157 11505530 1.94954575583889e-05 1.55759691031902e-06 0.000401057851818266 3.08045580395298e-05 0.00252404612112855
"2" "7" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "9" 3 640 11050807 213.333333333333 5525403.5 2.92431863375833e-05 3.17471981721074e-06 0.000385207193086998 4.18575735568982e-05 0.00121214522684701
"2" "10" 2 0 162674 0 162674 1.94954575583889e-05 0 5.67046324564662e-06 0 3.56868982748701e-05
"2" "14" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "15" 3 0 3294521 0 1647260.5 2.92431863375833e-05 0 0.000114839865267412 0 0.000361370703958295
"2" "17" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "23" 15 25203 10942289 1680.2 781592.071428571 0.000146215931687917 0.000125019474301816 0.000381424490685317 0.000329667633235783 0.000171463151736088
"2" "26" 14 24665 3724879 1761.78571428571 286529.153846154 0.000136468202908722 0.000122350725455473 0.00012984121287963 0.000345675352158782 6.28578430855103e-05
"2" "28" 2 993 11845795 496.5 11845795 1.94954575583889e-05 4.92577621639105e-06 0.000412918752615443 9.74169622078123e-05 0.00259869236110236
"2" "29" 3 5242 1201566 1747.33333333333 600783 2.92431863375833e-05 2.60029395028418e-05 4.18839878543506e-05 0.000342839688414469 0.000131797839890033
"2" "37" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "38" 2 339 10708084 169.5 10708084 1.94954575583889e-05 1.68160940317882e-06 0.000373260611734491 3.32571502401293e-05 0.00234910498559551
"2" "42" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "46" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "48" 4 0 10719194 0 3573064.66666667 3.89909151167778e-05 0 0.000373647882267331 0 0.000783847420539643
"2" "56" 1 339 0 339 0 9.74772877919445e-06 1.68160940317882e-06 0 6.65143004802586e-05 0
"2" "57" 9 17413 6388037 1934.77777777778 798504.625 8.772955901275e-05 8.63771815267042e-05 0.00022267313166413 0.000379617671013682 0.000175173373276543
"2" "58" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "60" 8 11431 3621326 1428.875 517332.285714286 7.79818302335556e-05 5.67034722352125e-05 0.000126231579622463 0.000280355814450529 0.000113490690919211
"2" "67" 18 6626 6383752 368.111111111111 375514.823529412 0.0001754591180255 3.286827110756e-05 0.000222523765846559 7.22261152052103e-05 8.23792327477035e-05
"2" "68" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "69" 19 36489 14307228 1920.47368421053 794846 0.000185206846804694 0.000181003674078442 0.000498718974888957 0.000376811102348107 0.000174370755905599
"2" "78" 1 627 0 627 0 9.74772877919445e-06 3.11023332092365e-06 0 0.000123022024782071 0
"2" "80" 2 0 865887 0 865887 1.94954575583889e-05 0 3.01829450827005e-05 0 0.00018995550171836
"2" "81" 2 0 847144 0 847144 1.94954575583889e-05 0 2.95296047049317e-05 0 0.000185843722734835
"2" "82" 1 334 0 334 0 9.74772877919445e-06 1.65680690460686e-06 0 6.55332636000188e-05 0
"2" "84" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "90" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "91" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "93" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"2" "94" 1 339 0 339 0 9.74772877919445e-06 1.68160940317882e-06 0 6.65143004802586e-05 0
"2" "95" 2 635 4496695 317.5 4496695 1.94954575583889e-05 3.14991731863879e-06 0.000156745046684676 6.22958418952274e-05 0.000986470468778766
"2" "96" 2 1597 2514481 798.5 2514481 1.94954575583889e-05 7.92191804388369e-06 8.76493606376972e-05 0.000156671589774296 0.000551618744612499
"3" "5" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"3" "11" 69 309753 5747006 4489.17391304348 84514.7941176471 0.000672593285764417 0.001536529668032 0.00020032817964463 0.000880809034101216 1.85405833777866e-05
"3" "15" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"3" "18" 51 159846 6283301 3134.23529411765 125666.02 0.000497134167738917 0.00079291603734667 0.00021902226158965 0.000614960082975731 2.7568206796094e-05
"3" "19" 36 84833 4609428 2356.47222222222 131697.942857143 0.000350918236051 0.000420814072270999 0.000160674674855566 0.000462357231452129 2.88914706084101e-05
"3" "21" 11 2092 1058360 190.181818181818 105836 0.000107225016571139 1.03773654025076e-05 3.68921369159334e-05 3.73150755174848e-05 2.32179608654066e-05
"3" "22" 36 112092 6346553 3113.66666666667 181330.085714286 0.000350918236051 0.000556032333985604 0.000221227089289304 0.000610924366554666 3.97796102822774e-05
"3" "25" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"3" "28" 5 653 3234952 130.6 808738 4.87386438959722e-05 3.23920631349784e-06 0.000112763418969417 2.56246833118636e-05 0.000177418338130383
"3" "29" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"3" "30" 69 271301 5783557 3931.89855072464 85052.3088235294 0.000672593285764417 0.00134578853301421 0.000201602268325622 0.00077146749752446 1.86585016230506e-05
"3" "34" 52 103818 5937003 1996.5 116411.823529412 0.000506881896518111 0.000514989159348727 0.000206951063481526 0.000391728026279753 2.55380509748715e-05
"3" "35" 27 33902 5910701 1255.62962962963 227334.653846154 0.00026318867703825 0.00016817086131731 0.000206034232738524 0.000246363794917702 4.98719442944816e-05
"3" "37" 28 10525 4728767 375.892857142857 175139.518518519 0.000272936405817445 5.22092594939736e-05 0.000164834573876136 7.37529511751708e-05 3.84215435858226e-05
"3" "38" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"3" "39" 10 43096 3573720 4309.6 397080 9.74772877919445e-05 0.000213777695691428 0.000124572137589487 0.00084557530781629 8.71101317173329e-05
"3" "41" 38 148873 5907566 3917.71052631579 159663.945945946 0.000370413693609389 0.000738484473980649 0.000205924953429753 0.000768683702483895 3.50265623095106e-05
"3" "44" 33 27298 4217720 827.212121212121 131803.75 0.000321675049713417 0.000135411721203467 0.000147020582517358 0.000162305119738098 2.89146822386885e-05
"3" "45" 36 38711 4894297 1075.30555555556 139837.057142857 0.000350918236051 0.000192025904443821 0.000170604591094942 0.00021098288150535 3.06770032907185e-05
"3" "49" 23 35229 4819144 1531.69565217391 219052 0.000224197761921472 0.000174753444438308 0.00016798492031596 0.000300529984817113 4.80549223656322e-05
"3" "51" 2 2990 1678 1495 1678 1.94954575583889e-05 1.48318941460314e-05 5.84914450139237e-08 0.000293330027191701 3.68114236480519e-07
"3" "52" 2 0 4153166 0 4153166 1.94954575583889e-05 0 0.000144770369918175 0 0.000911108182995741
"3" "54" 26 12527 3761497 481.807692307692 150459.88 0.000253440948259056 6.21401799221859e-05 0.000131117637035482 9.45342230674154e-05 3.30074039613531e-05
"3" "55" 9 7458 2150973 828.666666666667 268871.625 8.772955901275e-05 3.6995406869934e-05 7.49782592109264e-05 0.000162590512285077 5.89841912682667e-05
"3" "56" 2 0 2754595 0 2754595 1.94954575583889e-05 0 9.60192145280865e-05 0 0.000604294180713979
"3" "58" 2 0 2024996 0 2024996 1.94954575583889e-05 0 7.05869738899973e-05 0 0.000444237101559062
"3" "63" 53 179963 5885717 3395.52830188679 113186.865384615 0.000516629625297306 0.000892706410101089 0.000205163344620391 0.000666227698409794 2.48305700421222e-05
"3" "64" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"3" "66" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"3" "67" 2 0 3972843 0 3972843 1.94954575583889e-05 0 0.00013848470076487 0 0.000871549503934432
"3" "69" 1 1879 0 1879 0 9.74772877919445e-06 9.32077896334217e-06 0 0.000368673659594118 0
"3" "71" 58 240516 5815923 4146.8275862069 102033.736842105 0.000565368269193278 0.00119307954930666 0.000202730476972416 0.000813638159612953 2.23838326179296e-05
"3" "72" 41 38087 5594408 928.951219512195 139860.2 0.000399656879946972 0.00018893055262204 0.000195008943931737 0.000182267081257041 3.06820802961935e-05
"3" "75" 1 0 0 0 0 9.74772877919445e-06 0 0 0 0
"3" "76" 13 15498 3817585 1192.15384615385 318132.083333333 0.000126720474129528 7.68778245736439e-05 0.000133072743214231 0.00023390937799933 6.97907919882044e-05
"3" "77" 2 0 662604 0 662604 1.94954575583889e-05 0 2.30969400667497e-05 0 0.000145359931793169
