"a" "b" "duracao"
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 21
"1" "2" 0
"1" "2" 34
"1" "2" 0
"1" "2" 39
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 16
"1" "2" 0
"1" "2" 0
"1" "2" 10
"1" "2" 32
"1" "2" 0
"1" "2" 0
"1" "2" 12
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 13
"1" "2" 0
"1" "2" 1
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 9
"1" "2" 24
"1" "2" 0
"1" "2" 0
"1" "2" 18
"1" "2" 17
"1" "2" 44
"1" "2" 0
"1" "2" 14
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 7
"1" "2" 13
"1" "2" 18
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 11
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 19
"1" "2" 12
"1" "2" 0
"1" "2" 38
"1" "2" 0
"1" "2" 0
"1" "2" 13
"1" "2" 0
"1" "2" 0
"1" "2" 11
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "3" 0
"1" "3" 30
"1" "3" 10
"1" "3" 0
"1" "3" 2
"1" "3" 11
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 18
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 17
"1" "3" 29
"1" "3" 0
"1" "3" 15
"1" "3" 0
"1" "3" 0
"1" "3" 45
"1" "3" 17
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 28
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 16
"1" "3" 58
"1" "3" 0
"1" "3" 0
"1" "3" 13
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 13
"1" "3" 0
"1" "3" 18
"1" "3" 0
"1" "3" 30
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "4" 0
"1" "4" 17
"1" "4" 31
"1" "4" 15
"1" "4" 2
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 26
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 67
"1" "4" 21
"1" "4" 0
"1" "4" 31
"1" "4" 0
"1" "4" 30
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 13
"1" "4" 0
"1" "4" 0
"1" "4" 30
"1" "4" 0
"1" "4" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 30
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 24
"1" "5" 0
"1" "5" 19
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 26
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 18
"1" "5" 0
"1" "5" 21
"1" "5" 0
"1" "5" 0
"1" "5" 35
"1" "5" 8
"1" "5" 23
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 34
"1" "5" 0
"1" "5" 40
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
