"a" "b" "tinicio" "tfinal" "tcontato"
"1" "2" 991000 991000 0
"1" "2" 1192000 1192000 0
"1" "2" 1210000 1210000 0
"1" "2" 1290000 1290000 0
"1" "2" 1319000 1319000 0
"1" "2" 1334000 1355000 21000
"1" "2" 1388000 1388000 0
"1" "2" 1415000 1449000 34000
"1" "2" 1481000 1481000 0
"1" "2" 1518000 1557000 39000
"1" "2" 1601000 1601000 0
"1" "2" 1617000 1617000 0
"1" "2" 1618000 1618000 0
"1" "2" 1652000 1652000 0
"1" "2" 1694000 1694000 0
"1" "2" 1708000 1708000 0
"1" "2" 1740000 1756000 16000
"1" "2" 1773000 1773000 0
"1" "2" 1799000 1799000 0
"1" "2" 1816000 1826000 10000
"1" "2" 1893000 1925000 32000
"1" "2" 2061000 2061000 0
"1" "2" 2129000 2129000 0
"1" "2" 2145000 2157000 12000
"1" "2" 2175000 2175000 0
"1" "2" 2277000 2277000 0
"1" "2" 2324000 2324000 0
"1" "2" 2398000 2398000 0
"1" "2" 2411000 2424000 13000
"1" "2" 2425000 2425000 0
"1" "2" 2487000 2488000 1000
"1" "2" 2507000 2507000 0
"1" "2" 2520000 2520000 0
"1" "2" 2548000 2548000 0
"1" "2" 2587000 2596000 9000
"1" "2" 2764000 2788000 24000
"1" "2" 2814000 2814000 0
"1" "2" 2835000 2835000 0
"1" "2" 2841000 2859000 18000
"1" "2" 2862000 2879000 17000
"1" "2" 2912000 2956000 44000
"1" "2" 2977000 2977000 0
"1" "2" 2984000 2998000 14000
"1" "2" 3009000 3009000 0
"1" "2" 3016000 3016000 0
"1" "2" 3030000 3030000 0
"1" "2" 3055000 3055000 0
"1" "2" 3698000 3705000 7000
"1" "2" 3724000 3737000 13000
"1" "2" 3760000 3778000 18000
"1" "2" 5559000 5559000 0
"1" "2" 5563000 5563000 0
"1" "2" 5588000 5588000 0
"1" "2" 5618000 5618000 0
"1" "2" 5648000 5648000 0
"1" "2" 5652000 5652000 0
"1" "2" 5695000 5706000 11000
"1" "2" 7662000 7662000 0
"1" "2" 7664000 7664000 0
"1" "2" 7831000 7831000 0
"1" "2" 7833000 7852000 19000
"1" "2" 7866000 7878000 12000
"1" "2" 7887000 7887000 0
"1" "2" 7909000 7947000 38000
"1" "2" 7974000 7974000 0
"1" "2" 7985000 7985000 0
"1" "2" 8019000 8032000 13000
"1" "2" 8074000 8074000 0
"1" "2" 8116000 8116000 0
"1" "2" 8160000 8171000 11000
"1" "2" 8199000 8199000 0
"1" "2" 8243000 8243000 0
"1" "2" 8248000 8248000 0
"1" "2" 8532000 8532000 0
"1" "3" 1011000 1011000 0
"1" "3" 1020000 1050000 30000
"1" "3" 1087000 1097000 10000
"1" "3" 1135000 1135000 0
"1" "3" 1141000 1143000 2000
"1" "3" 1164000 1175000 11000
"1" "3" 1177000 1177000 0
"1" "3" 1265000 1265000 0
"1" "3" 1388000 1388000 0
"1" "3" 2253000 2253000 0
"1" "3" 2265000 2265000 0
"1" "3" 2289000 2289000 0
"1" "3" 3051000 3051000 0
"1" "3" 3053000 3071000 18000
"1" "3" 3136000 3136000 0
"1" "3" 3149000 3149000 0
"1" "3" 3484000 3484000 0
"1" "3" 3487000 3487000 0
"1" "3" 3529000 3529000 0
"1" "3" 3576000 3576000 0
"1" "3" 3601000 3601000 0
"1" "3" 3667000 3667000 0
"1" "3" 4864000 4864000 0
"1" "3" 4894000 4894000 0
"1" "3" 4896000 4913000 17000
"1" "3" 4920000 4949000 29000
"1" "3" 4974000 4974000 0
