"a" "b" "tinicio" "tfinal" "tcontato"
"0" "28" 1563422 1563422 0
"0" "28" 1567494 1573799 6305
"0" "28" 1737975 1738916 941
"0" "28" 1751788 1753046 1258
"0" "28" 1754613 1754613 0
"0" "28" 1756508 1761250 4742
"0" "28" 1762820 1762820 0
"0" "28" 1767520 1767520 0
"0" "28" 1772549 1774444 1895
"0" "28" 1783531 1783531 0
"0" "28" 1785410 1785410 0
"0" "28" 1789479 1789479 0
"0" "28" 1793548 1794174 626
"0" "28" 1795741 1795741 0
"0" "28" 1797306 1797306 0
"0" "28" 1802313 1802941 628
"0" "28" 1806382 1806382 0
"0" "28" 1809512 1809512 0
"0" "28" 1813273 1813273 0
"0" "28" 1822668 1822668 0
"0" "28" 1827053 1827053 0
"0" "28" 1828632 1828632 0
"0" "28" 1832402 1832402 0
"0" "28" 1834279 1834279 0
"0" "28" 1840545 1840545 0
"0" "28" 1842737 1842737 0
"0" "28" 1999103 1999103 0
"0" "28" 2001606 2002241 635
"0" "28" 2008862 2008862 0
"0" "28" 2013256 2013256 0
"0" "28" 2015133 2015133 0
"0" "28" 2020785 2027994 7209
"0" "28" 2047409 2047409 0
"0" "28" 2082736 2092759 10023
"0" "28" 4968085 4969374 1289
"0" "28" 4972502 4972502 0
"0" "28" 5004339 5004339 0
"0" "28" 5006216 5017200 10984
"0" "28" 5019086 5023164 4078
"0" "28" 5032269 5032269 0
"0" "28" 5036348 5040109 3761
"0" "28" 5044806 5053337 8531
"0" "28" 5120128 5128905 8777
"0" "28" 5293502 5293502 0
"0" "28" 5301330 5301330 0
"0" "28" 5310720 5310720 0
"0" "28" 5323551 5323551 0
"0" "28" 5336382 5336382 0
"0" "28" 5342017 5342017 0
"0" "28" 5352696 5352696 0
"0" "28" 5361461 5362715 1254
"0" "28" 5367756 5369327 1571
"0" "28" 5370590 5370590 0
"0" "28" 5381584 5387881 6297
"0" "28" 5398849 5402932 4083
"0" "28" 5405435 5420807 15372
"0" "28" 5421200 5422452 1252
"0" "28" 5432471 5432471 0
"0" "28" 8055292 8058430 3138
"0" "28" 8080094 8082289 2195
"0" "28" 8322260 8327274 5014
"0" "28" 8351395 8357977 6582
"0" "28" 8836612 8836612 0
"0" "28" 12665433 12665746 313
"0" "28" 12700383 12705709 5326
"0" "28" 12722997 12728680 5683
"0" "28" 12791702 12793297 1595
"0" "28" 12797735 12798048 313
"0" "28" 12815005 12821033 6028
"0" "28" 12899412 12918252 18840
"0" "28" 12923584 12923584 0
"0" "28" 12962526 12962526 0
"0" "28" 12972630 12977786 5156
"0" "28" 12982316 12983567 1251
"0" "28" 12985134 12985134 0
"0" "28" 12986401 12986401 0
"0" "28" 12990797 12992053 1256
"0" "28" 12993620 12994874 1254
"0" "28" 12998642 13003656 5014
"0" "28" 13006173 13011521 5348
"0" "28" 13341369 13343263 1894
"0" "28" 13346712 13356481 9769
"0" "28" 13406788 13425579 18791
"0" "28" 13500691 13502955 2264
"0" "28" 13508910 13510515 1605
"0" "28" 13510949 13530238 19289
"0" "28" 13532436 13534960 2524
"0" "28" 13566875 13566875 0
"0" "28" 13572198 13576094 3896
"0" "28" 13577443 13581574 4131
"0" "77" 8057491 8058743 1252
"0" "77" 8060631 8073829 13198
"0" "77" 8334481 8334481 0
"0" "77" 8351395 8354529 3134
"0" "77" 8357977 8357977 0
"1" "4" 3035619 3040112 4493
"1" "5" 4782988 4782988 0
"1" "6" 529490 529490 0
"1" "6" 1322267 1323879 1612
"1" "6" 1739202 1739525 323
"1" "6" 1750249 1750249 0
"1" "6" 2631349 2632623 1274
"1" "6" 4160415 4160730 315
"1" "6" 4162654 4163657 1003
"1" "6" 4166206 4170303 4097
"1" "6" 4241299 4241299 0
"1" "6" 4779816 4779816 0
"1" "6" 4870204 4870204 0
"1" "6" 4877513 4877513 0
"1" "6" 15229540 15229540 0
"1" "7" 202162 202162 0
"1" "7" 2682246 2682246 0
"1" "7" 4250852 4253382 2530
"1" "9" 643850 643850 0
"1" "9" 2597306 2597306 0
"1" "9" 2632623 2632623 0
"1" "9" 4317520 4317520 0
"1" "9" 15245717 15245717 0
"1" "9" 15810838 15810838 0
"1" "14" 268912 268912 0
"1" "14" 528842 529490 648
"1" "14" 530754 530754 0
"1" "14" 532674 532987 313
"1" "14" 1743498 1743498 0
"1" "14" 2685712 2686025 313
"1" "14" 3113453 3113766 313
"1" "14" 3196913 3197541 628
"1" "14" 4233308 4233308 0
"1" "14" 4234710 4234710 0
"1" "14" 4345565 4346510 945
"1" "14" 15139304 15139304 0
"1" "14" 15143553 15143904 351
"1" "14" 15234658 15234971 313
