"a" "b" "tinicio" "tfinal" "tcontato"
"1" "2" 991 991 0
"1" "2" 1192 1192 0
"1" "2" 1210 1210 0
"1" "2" 1290 1290 0
"1" "2" 1319 1319 0
"1" "2" 1334 1355 21
"1" "2" 1388 1388 0
"1" "2" 1415 1449 34
"1" "2" 1481 1481 0
"1" "2" 1518 1557 39
"1" "2" 1601 1601 0
"1" "2" 1617 1617 0
"1" "2" 1618 1618 0
"1" "2" 1652 1652 0
"1" "2" 1694 1694 0
"1" "2" 1708 1708 0
"1" "2" 1740 1756 16
"1" "2" 1773 1773 0
"1" "2" 1799 1799 0
"1" "2" 1816 1826 10
"1" "2" 1893 1925 32
"1" "2" 2061 2061 0
"1" "2" 2129 2129 0
"1" "2" 2145 2157 12
"1" "2" 2175 2175 0
"1" "2" 2277 2277 0
"1" "2" 2324 2324 0
"1" "2" 2398 2398 0
"1" "2" 2411 2424 13
"1" "2" 2425 2425 0
"1" "2" 2487 2488 1
"1" "2" 2507 2507 0
"1" "2" 2520 2520 0
"1" "2" 2548 2548 0
"1" "2" 2587 2596 9
"1" "2" 2764 2788 24
"1" "2" 2814 2814 0
"1" "2" 2835 2835 0
"1" "2" 2841 2859 18
"1" "2" 2862 2879 17
"1" "2" 2912 2956 44
"1" "2" 2977 2977 0
"1" "2" 2984 2998 14
"1" "2" 3009 3009 0
"1" "2" 3016 3016 0
"1" "2" 3030 3030 0
"1" "2" 3055 3055 0
"1" "2" 3698 3705 7
"1" "2" 3724 3737 13
"1" "2" 3760 3778 18
"1" "2" 5559 5559 0
"1" "2" 5563 5563 0
"1" "2" 5588 5588 0
"1" "2" 5618 5618 0
"1" "2" 5648 5648 0
"1" "2" 5652 5652 0
"1" "2" 5695 5706 11
"1" "2" 7662 7662 0
"1" "2" 7664 7664 0
"1" "2" 7831 7831 0
"1" "2" 7833 7852 19
"1" "2" 7866 7878 12
"1" "2" 7887 7887 0
"1" "2" 7909 7947 38
"1" "2" 7974 7974 0
"1" "2" 7985 7985 0
"1" "2" 8019 8032 13
"1" "2" 8074 8074 0
"1" "2" 8116 8116 0
"1" "2" 8160 8171 11
"1" "2" 8199 8199 0
"1" "2" 8243 8243 0
"1" "2" 8248 8248 0
"1" "2" 8532 8532 0
"1" "3" 1011 1011 0
"1" "3" 1020 1050 30
"1" "3" 1087 1097 10
"1" "3" 1135 1135 0
"1" "3" 1141 1143 2
"1" "3" 1164 1175 11
"1" "3" 1177 1177 0
"1" "3" 1265 1265 0
"1" "3" 1388 1388 0
"1" "3" 2253 2253 0
"1" "3" 2265 2265 0
"1" "3" 2289 2289 0
"1" "3" 3051 3051 0
"1" "3" 3053 3071 18
"1" "3" 3136 3136 0
"1" "3" 3149 3149 0
"1" "3" 3484 3484 0
"1" "3" 3487 3487 0
"1" "3" 3529 3529 0
"1" "3" 3576 3576 0
"1" "3" 3601 3601 0
"1" "3" 3667 3667 0
"1" "3" 4864 4864 0
"1" "3" 4894 4894 0
"1" "3" 4896 4913 17
"1" "3" 4920 4949 29
"1" "3" 4974 4974 0
"1" "3" 5019 5034 15
"1" "3" 5469 5469 0
"1" "3" 5563 5563 0
"1" "3" 5588 5633 45
"1" "3" 5635 5652 17
"1" "3" 5663 5663 0
"1" "3" 5688 5688 0
"1" "3" 5701 5701 0
"1" "3" 5707 5707 0
"1" "3" 5797 5825 28
"1" "3" 5875 5875 0
"1" "3" 5892 5892 0
"1" "3" 5918 5918 0
"1" "3" 6416 6416 0
"1" "3" 6633 6633 0
"1" "3" 6665 6681 16
"1" "3" 6683 6741 58
"1" "3" 6904 6904 0
"1" "3" 6955 6955 0
"1" "3" 6988 7001 13
"1" "3" 7029 7029 0
"1" "3" 7067 7067 0
"1" "3" 7083 7083 0
"1" "3" 7209 7222 13
"1" "3" 7343 7343 0
"1" "3" 7347 7365 18
"1" "3" 7405 7405 0
"1" "3" 7446 7476 30
"1" "3" 7512 7512 0
"1" "3" 7541 7541 0
"1" "3" 8805 8805 0
"1" "3" 8839 8839 0
"1" "3" 9101 9101 0
"1" "3" 9124 9124 0
"1" "4" 3016 3016 0
"1" "4" 3848 3865 17
"1" "4" 3878 3909 31
"1" "4" 3974 3989 15
"1" "4" 4007 4009 2
"1" "4" 4242 4242 0
"1" "4" 4246 4246 0
"1" "4" 4270 4270 0
"1" "4" 4281 4307 26
"1" "4" 4378 4378 0
"1" "4" 4398 4398 0
"1" "4" 4422 4422 0
"1" "4" 4431 4431 0
"1" "4" 4456 4456 0
"1" "4" 4469 4469 0
"1" "4" 4471 4471 0
"1" "4" 4490 4490 0
"1" "4" 4507 4574 67
"1" "4" 4575 4596 21
"1" "4" 4631 4631 0
"1" "4" 4646 4677 31
"1" "4" 4704 4704 0
"1" "4" 4740 4770 30
"1" "4" 6664 6664 0
"1" "4" 6697 6697 0
"1" "4" 7067 7067 0
"1" "4" 7121 7121 0
"1" "4" 7263 7276 13
"1" "4" 7389 7389 0
"1" "4" 7516 7516 0
"1" "4" 9187 9217 30
"1" "4" 9218 9218 0
"1" "4" 9248 9248 0
"1" "5" 1031 1031 0
"1" "5" 1042 1042 0
"1" "5" 1070 1070 0
"1" "5" 1097 1127 30
"1" "5" 1129 1129 0
"1" "5" 1160 1160 0
"1" "5" 1171 1171 0
"1" "5" 1201 1201 0
"1" "5" 1348 1372 24
"1" "5" 1512 1512 0
"1" "5" 1703 1722 19
"1" "5" 1738 1738 0
"1" "5" 1793 1793 0
"1" "5" 3825 3825 0
"1" "5" 3849 3849 0
"1" "5" 3857 3883 26
"1" "5" 3920 3920 0
"1" "5" 4782 4782 0
"1" "5" 5049 5049 0
"1" "5" 5081 5081 0
"1" "5" 5114 5132 18
"1" "5" 5154 5154 0
"1" "5" 5176 5197 21
"1" "5" 5202 5202 0
"1" "5" 5376 5376 0
"1" "5" 5430 5465 35
"1" "5" 5499 5507 8
"1" "5" 5575 5598 23
"1" "5" 5654 5654 0
"1" "5" 5692 5692 0
"1" "5" 5723 5723 0
"1" "5" 5736 5736 0
"1" "5" 5768 5768 0
"1" "5" 5813 5847 34
"1" "5" 5906 5906 0
"1" "5" 6299 6339 40
"1" "5" 6376 6376 0
"1" "5" 6414 6414 0
"1" "5" 6507 6507 0
"1" "5" 7680 7680 0
"1" "5" 7851 7851 0
"1" "5" 7852 7852 0
"1" "5" 7890 7890 0
"1" "5" 7905 7905 0
"1" "5" 8387 8387 0
"1" "5" 8481 8481 0
"1" "5" 8550 8550 0
"1" "5" 8563 8563 0
"1" "5" 8805 8805 0
"1" "5" 8819 8819 0
"1" "6" 1160 1163 3
"1" "6" 1228 1228 0
"1" "6" 1337 1337 0
"1" "6" 1371 1400 29
"1" "6" 1432 1432 0
"1" "6" 1440 1440 0
"1" "6" 1493 1493 0
"1" "6" 1578 1581 3
"1" "6" 1599 1599 0
"1" "6" 1617 1617 0
"1" "6" 1621 1621 0
"1" "6" 1657 1673 16
"1" "6" 1677 1694 17
"1" "6" 1720 1733 13
"1" "6" 1740 1740 0
"1" "6" 1787 1787 0
"1" "6" 1799 1813 14
"1" "6" 1856 1856 0
"1" "6" 1886 1886 0
"1" "6" 1892 1892 0
"1" "6" 1949 1949 0
"1" "6" 2071 2071 0
"1" "6" 2124 2124 0
"1" "6" 2164 2164 0
"1" "6" 2196 2196 0
"1" "6" 2197 2197 0
"1" "6" 2417 2417 0
"1" "6" 2561 2561 0
"1" "6" 2891 2891 0
"1" "6" 2933 2984 51
"1" "6" 3007 3007 0
"1" "6" 3013 3018 5
"1" "6" 3158 3158 0
"1" "6" 3693 3737 44
"1" "6" 5719 5719 0
"1" "6" 5762 5762 0
"1" "6" 7677 7677 0
"1" "6" 7890 7909 19
"1" "6" 7940 7940 0
"1" "6" 8548 8548 0
"1" "7" 1132 1147 15
"1" "7" 2396 2396 0
