"a" "b" "tempo"
"1" "2" 6027.02702702703
"1" "3" 6065.5737704918
"1" "4" 8575.75757575758
"1" "5" 5560
"1" "6" 5350
"1" "7" 4822.22222222222
"1" "8" 6458.33333333333
"1" "9" 5808.08080808081
"1" "10" 8783.78378378378
"1" "11" 3146.34146341463
"1" "12" 5722.22222222222
"1" "13" 3864.86486486487
"1" "14" 8088.88888888889
"1" "15" 4190.47619047619
"1" "16" 6592.59259259259
"1" "17" 1190.47619047619
"1" "18" 8444.44444444445
"1" "19" 3666.66666666667
"1" "20" 4272.72727272727
"1" "21" 10698.1132075472
"1" "22" 3000
"1" "23" 3741.93548387097
"1" "24" 4333.33333333333
"1" "25" 15962.7329192547
"1" "26" 1937.5
"1" "27" 5545.45454545455
"1" "28" 1333.33333333333
"1" "29" 1384.61538461538
"1" "30" 4333.33333333333
"1" "31" 5307.69230769231
"1" "32" 1400
"1" "33" 2000
"1" "34" 3282.05128205128
"1" "35" 1090.90909090909
"1" "36" 13300
"1" "37" 2941.17647058824
"1" "38" 4000
"1" "39" 5418.60465116279
"1" "40" 2388.88888888889
"1" "41" 33750
"1" "42" 0
"1" "43" 954.545454545455
"1" "44" 2586.20689655172
"1" "45" 6600
"1" "46" 5607.14285714286
"1" "47" 1772.72727272727
"1" "48" 2142.85714285714
"1" "49" 5782.60869565217
"1" "50" 6068.96551724138
"1" "51" 1538.46153846154
"1" "52" 2052.63157894737
"1" "53" 2347.82608695652
"1" "54" 5540.98360655738
"1" "55" 6847.45762711864
"1" "56" 2285.71428571429
"1" "57" 2187.5
"1" "58" 5395.83333333333
"1" "59" 8051.28205128205
"1" "60" 1888.88888888889
"1" "61" 4265.30612244898
"1" "62" 2466.66666666667
"1" "70" 19555.5555555556
"1" "73" 15500
"1" "81" 0
"1" "85" 15173.9130434783
"1" "88" 9461.53846153846
"1" "90" 0
"1" "91" 0
"1" "95" 11137.2549019608
"1" "98" 0
"1" "100" 0
"1" "104" 18000
"1" "105" 0
"1" "108" 1700
"1" "113" 0
"1" "114" 4000
"1" "115" 2200
"1" "119" 17000
"1" "120" 11538.4615384615
"1" "121" 8944.44444444445
"1" "129" 0
"1" "136" 0
"1" "139" 0
"1" "140" 0
"1" "144" 0
"1" "149" 19000
"1" "150" 6800
"1" "151" 7000
"1" "153" 0
"1" "156" 0
"1" "157" 19000
"1" "159" 0
"1" "165" 0
"1" "169" 0
"1" "176" 0
"1" "180" 0
"1" "182" 11000
"1" "188" 0
"1" "190" 0
"1" "192" 0
"1" "215" 0
"1" "216" 0
"1" "219" 0
"1" "226" 0
"1" "230" 0
"1" "244" 0
"1" "248" 0
"1" "262" 0
"1" "267" 0
"1" "272" 3000
"1" "277" 0
"1" "284" 0
"1" "285" 0
"1" "286" 0
"1" "287" 0
"1" "293" 15000
"1" "294" 3615.38461538462
"1" "295" 0
"1" "297" 0
"1" "300" 0
"1" "301" 0
"1" "302" 0
"1" "306" 13531.25
"1" "311" 500
"1" "318" 4888.88888888889
"1" "320" 0
"1" "337" 22629.6296296296
"1" "338" 16550
"1" "343" 0
"1" "344" 0
"1" "345" 29300
"1" "347" 0
"1" "348" 0
"1" "349" 16000
"1" "351" 0
"1" "353" 0
"1" "358" 0
"1" "359" 0
"1" "362" 0
"1" "363" 26888.8888888889
"1" "373" 0
"1" "375" 6545.45454545455
"1" "377" 17000
"1" "378" 0
"1" "379" 0
"1" "396" 6600
"1" "401" 32272.7272727273
"1" "407" 0
"1" "408" 4333.33333333333
"1" "410" 10900
"1" "412" 15666.6666666667
"1" "414" 0
"1" "415" 0
"1" "426" 0
"1" "427" 13409.0909090909
"1" "433" 14200
"1" "435" 14714.2857142857
"1" "436" 7300
"1" "437" 4083.33333333333
"1" "439" 25111.1111111111
"1" "440" 0
"1" "442" 0
"1" "446" 0
"1" "447" 0
"1" "452" 0
"1" "455" 0
"1" "458" 0
"1" "459" 11500
"1" "460" 6500
"1" "463" 34142.8571428571
"1" "467" 2000
"1" "468" 0
"1" "469" 0
"1" "471" 0
"1" "472" 7888.88888888889
"1" "475" 0
"1" "476" 0
"1" "482" 0
"1" "486" 0
"1" "488" 0
"1" "491" 0
"1" "501" 0
"1" "506" 0
"1" "510" 0
"1" "511" 0
"1" "513" 0
"1" "515" 0
"1" "517" 0
"1" "519" 0
"1" "522" 0
"1" "524" 0
"1" "525" 0
"1" "527" 0
"1" "534" 5150
"1" "535" 0
"1" "536" 0
"1" "540" 11000
"1" "546" 0
"1" "548" 20562.5
"1" "550" 0
"1" "551" 0
"1" "553" 0
"1" "554" 2800
"1" "557" 6642.85714285714
"1" "558" 0
"1" "567" 0
"1" "571" 0
"1" "574" 11200
"1" "575" 12846.1538461538
"1" "583" 0
"1" "585" 9363.63636363636
"1" "592" 0
"1" "596" 37200
"1" "599" 0
"1" "600" 0
"1" "602" 11333.3333333333
"1" "606" 0
"1" "607" 0
"1" "610" 0
"1" "611" 6384.61538461538
"1" "612" 0
"1" "614" 0
"1" "615" 0
"1" "616" 0
"1" "630" 0
"1" "631" 0
"1" "633" 0
"1" "638" 0
"1" "641" 0
"1" "645" 0
"1" "648" 0
"1" "651" 0
"1" "653" 0
"1" "654" 0
