"a" "b" "tempo"
"0" "28" 2666.44444444444
"0" "77" 3516.8
"1" "4" 4493
"1" "5" 0
"1" "6" 663.384615384615
"1" "7" 843.333333333333
"1" "9" 0
"1" "14" 273.142857142857
"1" "15" 422.666666666667
"1" "16" 0
"1" "20" 0
"1" "28" 158.75
"1" "29" 158
"1" "36" 3760
"1" "41" 0
"1" "43" 0
"1" "46" 7152.5
"1" "52" 1345.66666666667
"1" "56" 0
"1" "58" 1684.33333333333
"1" "62" 3434.28813559322
"1" "69" 814.714285714286
"1" "70" 0
"1" "73" 375.4
"1" "77" 0
"1" "79" 0
"1" "80" 0
"1" "81" 10408.7777777778
"1" "82" 52.1666666666667
"1" "84" 169.5
"1" "85" 313
"1" "88" 78.25
"1" "93" 5859.12121212121
"1" "94" 235
"1" "95" 1894
"1" "96" 2252.52873563218
"2" "1" 0
"2" "4" 0
"2" "6" 157
"2" "7" 0
"2" "9" 213.333333333333
"2" "10" 0
"2" "14" 0
"2" "15" 0
"2" "17" 0
"2" "23" 1680.2
"2" "26" 1761.78571428571
"2" "28" 496.5
"2" "29" 1747.33333333333
"2" "37" 0
"2" "38" 169.5
"2" "42" 0
"2" "46" 0
"2" "48" 0
"2" "56" 339
"2" "57" 1934.77777777778
"2" "58" 0
"2" "60" 1428.875
"2" "67" 368.111111111111
"2" "68" 0
"2" "69" 1920.47368421053
"2" "78" 627
"2" "80" 0
"2" "81" 0
"2" "82" 334
"2" "84" 0
"2" "90" 0
"2" "91" 0
"2" "93" 0
"2" "94" 339
"2" "95" 317.5
"2" "96" 798.5
"3" "5" 0
"3" "11" 4489.17391304348
"3" "15" 0
"3" "18" 3134.23529411765
"3" "19" 2356.47222222222
"3" "21" 190.181818181818
"3" "22" 3113.66666666667
"3" "25" 0
"3" "28" 130.6
"3" "29" 0
"3" "30" 3931.89855072464
"3" "34" 1996.5
"3" "35" 1255.62962962963
"3" "37" 375.892857142857
"3" "38" 0
"3" "39" 4309.6
"3" "41" 3917.71052631579
"3" "44" 827.212121212121
"3" "45" 1075.30555555556
"3" "49" 1531.69565217391
"3" "51" 1495
"3" "52" 0
"3" "54" 481.807692307692
"3" "55" 828.666666666667
"3" "56" 0
"3" "58" 0
"3" "63" 3395.52830188679
"3" "64" 0
"3" "66" 0
"3" "67" 0
"3" "69" 1879
"3" "71" 4146.8275862069
"3" "72" 928.951219512195
"3" "75" 0
"3" "76" 1192.15384615385
"3" "77" 0
"3" "78" 3935.35714285714
"3" "79" 0
"3" "81" 4462.25
"3" "83" 1425.52631578947
"3" "85" 332.666666666667
"3" "90" 0
"3" "91" 1540.16666666667
"3" "92" 0
"3" "95" 626
"4" "2" 0
"4" "5" 165.5
"4" "6" 0
"4" "9" 242.875
"4" "13" 331
"4" "14" 0
"4" "15" 717.2
"4" "17" 0
"4" "20" 0
"4" "23" 0
"4" "28" 1776.33333333333
"4" "29" 0
"4" "41" 0
"4" "43" 1280
"4" "56" 815.2
"4" "70" 649
"4" "77" 425.666666666667
"4" "80" 165.5
"4" "82" 811.5
"4" "84" 1883.5
"4" "88" 0
"4" "90" 0
"4" "92" 2880.8
"4" "94" 0
"5" "1" 0
"5" "6" 391.25
"5" "7" 426.944444444444
"5" "8" 677
"5" "9" 0
"5" "10" 296.8
"5" "12" 0
"5" "13" 8341.53333333333
"5" "14" 58
"5" "15" 2144.48148148148
"5" "16" 612.25
"5" "17" 5586.94594594595
"5" "20" 5364.18181818182
"5" "25" 1275
"5" "27" 0
"5" "28" 2073.76923076923
"5" "29" 0
"5" "32" 245.333333333333
"5" "33" 495.791666666667
"5" "36" 0
"5" "38" 900.7
"5" "40" 340
"5" "41" 359
"5" "42" 510.714285714286
"5" "43" 0
"5" "47" 758.285714285714
"5" "48" 495.75
"5" "49" 0
"5" "50" 805.666666666667
"5" "54" 280.25
"5" "56" 1114.375
"5" "58" 1560.5
"5" "59" 510.666666666667
"5" "60" 0
"5" "61" 5357
"5" "64" 0
"5" "68" 0
"5" "70" 106.875
"5" "73" 374
"5" "74" 1517.71428571429
"5" "75" 0
"5" "76" 1841
"5" "77" 1320.57142857143
"5" "79" 188
"5" "80" 6024.01818181818
"5" "82" 3658.35897435897
"5" "83" 0
"5" "84" 641.961538461538
"5" "85" 2748.65
"5" "87" 0
"5" "88" 160.461538461538
"5" "90" 168.428571428571
"5" "92" 0
"5" "93" 0
"5" "94" 487.828947368421
"5" "95" 3848.91071428571
"5" "96" 0
"6" "1" 457.095238095238
"6" "2" 1016
"6" "5" 474.333333333333
"6" "6" 0
"6" "7" 604.5703125
"6" "8" 0
"6" "9" 1499.22727272727
"6" "10" 70.1111111111111
"6" "11" 970.25
"6" "12" 0
"6" "13" 138.857142857143
"6" "14" 474.275862068966
"6" "15" 86.9523809523809
"6" "16" 380.413793103448
"6" "17" 303.214285714286
"6" "18" 474.5
"6" "19" 0
"6" "20" 1132.50248756219
"6" "22" 250.8
"6" "23" 636.416666666667
"6" "25" 0
"6" "27" 575.243243243243
"6" "28" 561.541666666667
"6" "29" 946.935064935065
"6" "30" 1470.5
"6" "31" 1779.04444444444
"6" "32" 0
"6" "33" 0
"6" "36" 771.432432432432
"6" "38" 342.266666666667
"6" "40" 0
"6" "41" 0
"6" "42" 459.691176470588
"6" "43" 780.294117647059
"6" "44" 0
"6" "45" 626
"6" "46" 236.916666666667
"6" "48" 5707
"6" "49" 1310.66666666667
"6" "50" 1776.79245283019
"6" "52" 964
"6" "53" 1735.52422907489
"6" "56" 2048.34482758621
"6" "57" 671.75
"6" "58" 332.25
"6" "59" 685.025641025641
"6" "60" 705.8
"6" "61" 1363.44444444444
"6" "62" 2035.73493975904
"6" "64" 666.5
"6" "68" 956.857142857143
"6" "69" 491.5
"6" "70" 507.423076923077
"6" "73" 1143.94152046784
"6" "74" 980.354838709677
"6" "75" 791.375
"6" "76" 0
"6" "77" 1077.75
"6" "79" 708.595744680851
"6" "80" 572.385964912281
"6" "81" 158.75
"6" "82" 1688.97959183673
"6" "83" 0
"6" "84" 154.2
"6" "85" 197.555555555556
"6" "87" 709.181818181818
"6" "88" 1406.22535211268
"6" "89" 976
"6" "90" 1012.32835820896
"6" "91" 0
"6" "92" 0
"6" "93" 226.235294117647
"6" "94" 312.739130434783
"6" "95" 260.96
"6" "96" 734.162790697674
"7" "1" 636.5
"7" "4" 0
"7" "5" 235.428571428571
"7" "6" 754.914634146341
"7" "8" 319
"7" "9" 262.117647058824
"7" "10" 0
"7" "12" 319.4
"7" "13" 500.318181818182
"7" "14" 235.7
"7" "15" 184.62962962963
"7" "16" 396.428571428571
"7" "17" 419.625
"7" "19" 1411
"7" "20" 851.395833333333
"7" "21" 0
"7" "23" 89.5
"7" "27" 2278.66666666667
"7" "28" 258.833333333333
"7" "29" 176.407407407407
"7" "30" 0
"7" "32" 740
"7" "33" 2683.66666666667
"7" "36" 202.235294117647
"7" "38" 1642.20689655172
"7" "41" 0
"7" "42" 1752.01149425287
"7" "43" 147.2
"7" "46" 0
"7" "47" 137.714285714286
"7" "48" 1684
"7" "49" 0
"7" "50" 284.574074074074
"7" "52" 839
"7" "53" 379.631578947368
"7" "54" 313
"7" "56" 677.153846153846
"7" "57" 0
"7" "58" 1391.6
"7" "59" 514
"7" "60" 344.75
"7" "61" 3483.80769230769
"7" "62" 1990.9
"7" "64" 0
"7" "67" 0
"7" "68" 1808.625
"7" "69" 2373
"7" "70" 1064.64705882353
"7" "72" 0
"7" "73" 218.825
"7" "74" 415.333333333333
"7" "75" 831.842105263158
"7" "76" 0
"7" "77" 1376.01886792453
"7" "79" 2788.63492063492
"7" "80" 1698.0297029703
"7" "81" 0
"7" "82" 463.137931034483
"7" "83" 0
"7" "84" 709.109375
"7" "85" 178.647058823529
"7" "87" 465.5
"7" "88" 707.75
"7" "89" 218
"7" "90" 1296.2972972973
"7" "92" 343
"7" "93" 271.5
"7" "94" 257.333333333333
"7" "95" 195.439024390244
"7" "96" 812
"8" "1" 0
"8" "5" 1797.75
"8" "6" 0
"8" "7" 960
"8" "10" 405
"8" "13" 573.125
"8" "14" 1340
"8" "15" 2266.57142857143
"8" "17" 975.75
"8" "18" 473
"8" "20" 734.5
"8" "23" 0
"8" "28" 1964.92307692308
"8" "29" 0
"8" "33" 640.666666666667
"8" "38" 1973
"8" "39" 0
"8" "42" 0
"8" "47" 5544
"8" "48" 0
"8" "52" 469.5
"8" "56" 1252.16666666667
"8" "67" 80.5
"8" "69" 1575
"8" "70" 0
"8" "72" 0
"8" "74" 2978
"8" "75" 0
"8" "76" 0
"8" "77" 0
"8" "79" 0
"8" "80" 129.4
"8" "81" 0
"8" "82" 571.25
"8" "84" 0
"8" "85" 190.8
"8" "88" 1050
"8" "90" 0
"8" "94" 1791
"8" "95" 2402.5
"9" "1" 0
"9" "2" 0
"9" "3" 0
"9" "4" 324.7
"9" "5" 0
"9" "6" 1450.5375
"9" "7" 316.288888888889
"9" "8" 0
"9" "10" 35.3333333333333
"9" "11" 209
"9" "12" 788.818181818182
"9" "13" 0
"9" "14" 73.75
"9" "15" 52.2222222222222
"9" "16" 87.6666666666667
"9" "17" 117.2
"9" "19" 0
"9" "20" 402.266666666667
"9" "23" 2902.375
"9" "25" 55.9655172413793
"9" "26" 3664.5
"9" "27" 192.333333333333
"9" "28" 118.535714285714
