"a" "b" "tempo"
"1" "2" 6.02702702702703
"1" "3" 6.0655737704918
"1" "4" 8.57575757575758
"1" "5" 5.56
"1" "6" 5.35
"1" "7" 4.82222222222222
"1" "8" 6.45833333333333
"1" "9" 5.80808080808081
"1" "10" 8.78378378378378
"1" "11" 3.14634146341463
"1" "12" 5.72222222222222
"1" "13" 3.86486486486486
"1" "14" 8.08888888888889
"1" "15" 4.19047619047619
"1" "16" 6.59259259259259
"1" "17" 1.19047619047619
"1" "18" 8.44444444444444
"1" "19" 3.66666666666667
"1" "20" 4.27272727272727
"1" "21" 10.6981132075472
"1" "22" 3
"1" "23" 3.74193548387097
"1" "24" 4.33333333333333
"1" "25" 15.9627329192547
"1" "26" 1.9375
"1" "27" 5.54545454545455
"1" "28" 1.33333333333333
"1" "29" 1.38461538461538
"1" "30" 4.33333333333333
"1" "31" 5.30769230769231
"1" "32" 1.4
"1" "33" 2
"1" "34" 3.28205128205128
"1" "35" 1.09090909090909
"1" "36" 13.3
"1" "37" 2.94117647058824
"1" "38" 4
"1" "39" 5.41860465116279
"1" "40" 2.38888888888889
"1" "41" 33.75
"1" "42" 0
"1" "43" 0.954545454545455
"1" "44" 2.58620689655172
"1" "45" 6.6
"1" "46" 5.60714285714286
"1" "47" 1.77272727272727
"1" "48" 2.14285714285714
"1" "49" 5.78260869565217
"1" "50" 6.06896551724138
"1" "51" 1.53846153846154
"1" "52" 2.05263157894737
"1" "53" 2.34782608695652
"1" "54" 5.54098360655738
"1" "55" 6.84745762711864
"1" "56" 2.28571428571429
"1" "57" 2.1875
"1" "58" 5.39583333333333
"1" "59" 8.05128205128205
"1" "60" 1.88888888888889
"1" "61" 4.26530612244898
"1" "62" 2.46666666666667
"1" "70" 19.5555555555556
"1" "73" 15.5
"1" "81" 0
"1" "85" 15.1739130434783
"1" "88" 9.46153846153846
"1" "90" 0
"1" "91" 0
"1" "95" 11.1372549019608
"1" "98" 0
"1" "100" 0
"1" "104" 18
"1" "105" 0
"1" "108" 1.7
"1" "113" 0
"1" "114" 4
"1" "115" 2.2
"1" "119" 17
"1" "120" 11.5384615384615
"1" "121" 8.94444444444444
"1" "129" 0
"1" "136" 0
"1" "139" 0
"1" "140" 0
"1" "144" 0
"1" "149" 19
"1" "150" 6.8
"1" "151" 7
"1" "153" 0
"1" "156" 0
"1" "157" 19
"1" "159" 0
"1" "165" 0
"1" "169" 0
"1" "176" 0
"1" "180" 0
"1" "182" 11
"1" "188" 0
"1" "190" 0
"1" "192" 0
"1" "215" 0
"1" "216" 0
"1" "219" 0
"1" "226" 0
"1" "230" 0
"1" "244" 0
"1" "248" 0
"1" "262" 0
"1" "267" 0
"1" "272" 3
"1" "277" 0
"1" "284" 0
"1" "285" 0
"1" "286" 0
"1" "287" 0
"1" "293" 15
"1" "294" 3.61538461538462
"1" "295" 0
"1" "297" 0
"1" "300" 0
"1" "301" 0
"1" "302" 0
"1" "306" 13.53125
"1" "311" 0.5
"1" "318" 4.88888888888889
"1" "320" 0
"1" "337" 22.6296296296296
"1" "338" 16.55
"1" "343" 0
"1" "344" 0
"1" "345" 29.3
"1" "347" 0
"1" "348" 0
"1" "349" 16
"1" "351" 0
"1" "353" 0
"1" "358" 0
"1" "359" 0
"1" "362" 0
"1" "363" 26.8888888888889
"1" "373" 0
"1" "375" 6.54545454545455
"1" "377" 17
"1" "378" 0
"1" "379" 0
"1" "396" 6.6
"1" "401" 32.2727272727273
"1" "407" 0
"1" "408" 4.33333333333333
"1" "410" 10.9
"1" "412" 15.6666666666667
"1" "414" 0
"1" "415" 0
"1" "426" 0
"1" "427" 13.4090909090909
"1" "433" 14.2
"1" "435" 14.7142857142857
"1" "436" 7.3
"1" "437" 4.08333333333333
"1" "439" 25.1111111111111
"1" "440" 0
"1" "442" 0
"1" "446" 0
"1" "447" 0
"1" "452" 0
"1" "455" 0
"1" "458" 0
"1" "459" 11.5
"1" "460" 6.5
"1" "463" 34.1428571428571
"1" "467" 2
"1" "468" 0
"1" "469" 0
"1" "471" 0
"1" "472" 7.88888888888889
"1" "475" 0
"1" "476" 0
"1" "482" 0
"1" "486" 0
"1" "488" 0
"1" "491" 0
"1" "501" 0
"1" "506" 0
"1" "510" 0
"1" "511" 0
"1" "513" 0
"1" "515" 0
"1" "517" 0
"1" "519" 0
"1" "522" 0
"1" "524" 0
"1" "525" 0
"1" "527" 0
"1" "534" 5.15
"1" "535" 0
"1" "536" 0
"1" "540" 11
"1" "546" 0
"1" "548" 20.5625
"1" "550" 0
"1" "551" 0
"1" "553" 0
"1" "554" 2.8
"1" "557" 6.64285714285714
"1" "558" 0
"1" "567" 0
"1" "571" 0
"1" "574" 11.2
"1" "575" 12.8461538461538
"1" "583" 0
"1" "585" 9.36363636363636
"1" "592" 0
"1" "596" 37.2
"1" "599" 0
"1" "600" 0
"1" "602" 11.3333333333333
"1" "606" 0
"1" "607" 0
"1" "610" 0
"1" "611" 6.38461538461539
"1" "612" 0
"1" "614" 0
"1" "615" 0
"1" "616" 0
"1" "630" 0
"1" "631" 0
"1" "633" 0
"1" "638" 0
"1" "641" 0
"1" "645" 0
"1" "648" 0
"1" "651" 0
"1" "653" 0
