"a" "b" "tempo"
"1" "2" 97191.7808219178
"1" "3" 129050
"1" "4" 185906.25
"1" "5" 153265.306122449
"1" "6" 183948.717948718
"1" "7" 187636.363636364
"1" "8" 339478.260869565
"1" "9" 75479.5918367347
"1" "10" 144777.777777778
"1" "11" 208950
"1" "12" 237600
"1" "13" 199777.777777778
"1" "14" 167977.272727273
"1" "15" 206536.585365854
"1" "16" 134113.20754717
"1" "17" 361950
"1" "18" 1098000
"1" "19" 418000
"1" "20" 171187.5
"1" "21" 138769.230769231
"1" "22" 272842.105263158
"1" "23" 100233.333333333
"1" "24" 646000
"1" "25" 33525
"1" "26" 210709.677419355
"1" "27" 337800
"1" "28" 71875
"1" "29" 667083.333333333
"1" "30" 251187.5
"1" "31" 254166.666666667
"1" "32" 423263.157894737
"1" "33" 486555.555555556
"1" "34" 205947.368421053
"1" "35" 352476.19047619
"1" "36" 815222.222222222
"1" "37" 4e+05
"1" "38" 213666.666666667
"1" "39" 183428.571428571
"1" "40" 460470.588235294
"1" "41" 1831333.33333333
"1" "42" 663272.727272727
"1" "43" 323428.571428571
"1" "44" 290178.571428571
"1" "45" 161775.510204082
"1" "46" 264666.666666667
"1" "47" 319238.095238095
"1" "48" 599846.153846154
"1" "49" 303636.363636364
"1" "50" 265464.285714286
"1" "51" 209842.105263158
"1" "52" 220297.297297297
"1" "53" 268636.363636364
"1" "54" 89583.3333333333
"1" "55" 108431.034482759
"1" "56" 196829.268292683
"1" "57" 380666.666666667
"1" "58" 138680.85106383
"1" "59" 183289.473684211
"1" "60" 293807.692307692
"1" "61" 165291.666666667
"1" "62" 619642.857142857
"1" "70" 134377.358490566
"1" "73" 369333.333333333
"1" "81" 0
"1" "85" 213545.454545455
"1" "88" 198720
"1" "90" 1022000
"1" "91" 0
"1" "95" 130080
"1" "98" 0
"1" "100" 0
"1" "104" 0
"1" "105" 0
"1" "108" 81000
"1" "113" 0
"1" "114" 756666.666666667
"1" "115" 644000
"1" "119" 0
"1" "120" 300800
"1" "121" 438764.705882353
"1" "129" 0
"1" "136" 0
"1" "139" 0
"1" "140" 0
"1" "144" 1513500
"1" "149" 0
"1" "150" 39250
"1" "151" 223666.666666667
"1" "153" 348714.285714286
"1" "156" 0
"1" "157" 149000
"1" "159" 68000
"1" "165" 0
"1" "169" 0
"1" "176" 0
"1" "180" 0
"1" "182" 0
"1" "188" 0
"1" "190" 0
"1" "192" 0
"1" "215" 0
"1" "216" 0
"1" "219" 0
"1" "226" 0
"1" "230" 0
"1" "244" 0
"1" "248" 0
"1" "262" 0
"1" "267" 0
"1" "272" 0
"1" "277" 0
"1" "284" 0
"1" "285" 0
"1" "286" 0
"1" "287" 122000
"1" "293" 0
"1" "294" 327000
"1" "295" 0
"1" "297" 1838000
"1" "300" 0
"1" "301" 0
"1" "302" 0
"1" "306" 209129.032258065
"1" "311" 1183200
"1" "318" 726500
"1" "320" 0
"1" "337" 236384.615384615
"1" "338" 333263.157894737
