"a" "b" "tempo"
"1" "2" 446000
"1" "3" 370000
"1" "4" 283000
"1" "5" 278000
"1" "6" 214000
"1" "7" 217000
"1" "8" 155000
"1" "9" 575000
"1" "10" 325000
"1" "11" 129000
"1" "12" 206000
"1" "13" 143000
"1" "14" 364000
"1" "15" 176000
"1" "16" 356000
"1" "17" 25000
"1" "18" 76000
"1" "19" 55000
"1" "20" 141000
"1" "21" 567000
"1" "22" 60000
"1" "23" 116000
"1" "24" 39000
"1" "25" 2570000
"1" "26" 62000
"1" "27" 61000
"1" "28" 12000
"1" "29" 18000
"1" "30" 143000
"1" "31" 69000
"1" "32" 28000
"1" "33" 38000
"1" "34" 128000
"1" "35" 24000
"1" "36" 133000
"1" "37" 50000
"1" "38" 112000
"1" "39" 233000
"1" "40" 43000
"1" "41" 135000
"1" "42" 0
"1" "43" 21000
"1" "44" 75000
"1" "45" 330000
"1" "46" 157000
"1" "47" 39000
"1" "48" 30000
"1" "49" 133000
"1" "50" 176000
"1" "51" 60000
"1" "52" 78000
"1" "53" 54000
"1" "54" 338000
"1" "55" 404000
"1" "56" 96000
"1" "57" 35000
"1" "58" 259000
"1" "59" 314000
"1" "60" 51000
"1" "61" 209000
"1" "62" 37000
"1" "70" 1056000
"1" "73" 62000
"1" "81" 0
"1" "85" 349000
"1" "88" 246000
"1" "90" 0
"1" "91" 0
"1" "95" 568000
"1" "98" 0
"1" "100" 0
"1" "104" 18000
"1" "105" 0
"1" "108" 17000
"1" "113" 0
"1" "114" 16000
"1" "115" 11000
"1" "119" 17000
"1" "120" 3e+05
"1" "121" 161000
"1" "129" 0
"1" "136" 0
"1" "139" 0
"1" "140" 0
"1" "144" 0
"1" "149" 19000
"1" "150" 34000
"1" "151" 133000
"1" "153" 0
"1" "156" 0
"1" "157" 38000
"1" "159" 0
"1" "165" 0
"1" "169" 0
"1" "176" 0
"1" "180" 0
"1" "182" 11000
"1" "188" 0
"1" "190" 0
"1" "192" 0
"1" "215" 0
"1" "216" 0
"1" "219" 0
"1" "226" 0
"1" "230" 0
"1" "244" 0
"1" "248" 0
"1" "262" 0
"1" "267" 0
"1" "272" 3000
"1" "277" 0
"1" "284" 0
"1" "285" 0
"1" "286" 0
"1" "287" 0
"1" "293" 15000
"1" "294" 47000
"1" "295" 0
"1" "297" 0
"1" "300" 0
"1" "301" 0
