"a" "b" "tempo"
"1" "2" 7095000
"1" "3" 7743000
"1" "4" 5949000
"1" "5" 7510000
"1" "6" 7174000
"1" "7" 8256000
"1" "8" 7808000
"1" "9" 7397000
"1" "10" 5212000
"1" "11" 8358000
"1" "12" 8316000
"1" "13" 7192000
"1" "14" 7391000
"1" "15" 8468000
"1" "16" 7108000
"1" "17" 7239000
"1" "18" 8784000
"1" "19" 5852000
"1" "20" 5478000
"1" "21" 7216000
"1" "22" 5184000
"1" "23" 3007000
"1" "24" 5168000
"1" "25" 5364000
"1" "26" 6532000
"1" "27" 3378000
"1" "28" 575000
"1" "29" 8005000
"1" "30" 8038000
"1" "31" 3050000
"1" "32" 8042000
"1" "33" 8758000
"1" "34" 7826000
"1" "35" 7402000
"1" "36" 7337000
"1" "37" 6400000
"1" "38" 5769000
"1" "39" 7704000
"1" "40" 7828000
"1" "41" 5494000
"1" "42" 7296000
"1" "43" 6792000
"1" "44" 8125000
"1" "45" 7927000
"1" "46" 7146000
"1" "47" 6704000
"1" "48" 7798000
"1" "49" 6680000
"1" "50" 7433000
"1" "51" 7974000
"1" "52" 8151000
"1" "53" 5910000
"1" "54" 5375000
"1" "55" 6289000
"1" "56" 8070000
"1" "57" 5710000
"1" "58" 6518000
"1" "59" 6965000
"1" "60" 7639000
"1" "61" 7934000
"1" "62" 8675000
"1" "70" 7122000
"1" "73" 1108000
"1" "81" 0
"1" "85" 4698000
"1" "88" 4968000
"1" "90" 3066000
"1" "91" 0
"1" "95" 6504000
"1" "98" 0
"1" "100" 0
"1" "104" 0
"1" "105" 0
"1" "108" 729000
"1" "113" 0
"1" "114" 2270000
"1" "115" 2576000
"1" "119" 0
"1" "120" 7520000
"1" "121" 7459000
"1" "129" 0
"1" "136" 0
"1" "139" 0
"1" "140" 0
"1" "144" 6054000
"1" "149" 0
"1" "150" 157000
"1" "151" 4026000
"1" "153" 2441000
"1" "156" 0
"1" "157" 149000
"1" "159" 136000
"1" "165" 0
"1" "169" 0
"1" "176" 0
"1" "180" 0
"1" "182" 0
"1" "188" 0
"1" "190" 0
"1" "192" 0
"1" "215" 0
"1" "216" 0
"1" "219" 0
"1" "226" 0
"1" "230" 0
"1" "244" 0
"1" "248" 0
"1" "262" 0
"1" "267" 0
"1" "272" 0
"1" "277" 0
"1" "284" 0
"1" "285" 0
"1" "286" 0
"1" "287" 122000
"1" "293" 0
"1" "294" 3924000
"1" "295" 0
"1" "297" 1838000
"1" "300" 0
"1" "301" 0
"1" "302" 0
"1" "306" 6483000
"1" "311" 5916000
"1" "318" 5812000
"1" "320" 0
"1" "337" 6146000
"1" "338" 6332000
"1" "343" 0
"1" "344" 0
"1" "345" 5624000
"1" "347" 0
"1" "348" 0
"1" "349" 0
"1" "351" 0
"1" "353" 0
"1" "358" 0
"1" "359" 0
"1" "362" 0
"1" "363" 472000
"1" "373" 0
"1" "375" 8192000
"1" "377" 5016000
"1" "378" 0
"1" "379" 0
"1" "396" 5384000
"1" "401" 5493000
"1" "407" 0
"1" "408" 1803000
"1" "410" 2505000
"1" "412" 43000
"1" "414" 0
"1" "415" 0
"1" "426" 0
"1" "427" 4161000
"1" "433" 7244000
"1" "435" 577000
"1" "436" 6802000
"1" "437" 8282000
"1" "439" 7053000
"1" "440" 0
"1" "442" 0
"1" "446" 0
"1" "447" 0
"1" "452" 0
"1" "455" 0
"1" "458" 0
"1" "459" 331000
"1" "460" 7241000
"1" "463" 3610000
"1" "467" 0
"1" "468" 0
"1" "469" 0
"1" "471" 0
"1" "472" 6942000
"1" "475" 0
"1" "476" 0
"1" "482" 0
"1" "486" 0
"1" "488" 0
"1" "491" 0
"1" "501" 0
"1" "506" 0
"1" "510" 0
"1" "511" 0
"1" "513" 0
"1" "515" 0
"1" "517" 0
"1" "519" 0
"1" "522" 0
"1" "524" 0
"1" "525" 0
"1" "527" 0
"1" "534" 7313000
"1" "535" 0
"1" "536" 0
"1" "540" 0
"1" "546" 0
"1" "548" 6091000
"1" "550" 0
"1" "551" 0
"1" "553" 0
"1" "554" 2186000
"1" "557" 4072000
"1" "558" 0
"1" "567" 0
"1" "571" 0
"1" "574" 5880000
"1" "575" 7702000
"1" "583" 0
"1" "585" 1618000
"1" "592" 0
"1" "596" 997000
"1" "599" 0
"1" "600" 0
"1" "602" 56000
"1" "606" 0
"1" "607" 0
"1" "610" 0
"1" "611" 5397000
"1" "612" 0
"1" "614" 0
"1" "615" 0
"1" "616" 0
"1" "630" 0
"1" "631" 0
"1" "633" 0
"1" "638" 0
"1" "641" 0
"1" "645" 0
"1" "648" 0
"1" "651" 0
"1" "653" 0
"1" "654" 0
"1" "665" 0
"1" "667" 0
"1" "668" 0
"1" "674" 0
"1" "675" 0
"1" "679" 0
"1" "682" 0
"1" "685" 0
"1" "687" 0
"1" "689" 0
"1" "693" 0
"1" "698" 0
"1" "701" 0
"1" "702" 0
"1" "710" 0
"1" "712" 0
"1" "713" 0
"1" "714" 0
"1" "718" 0
"1" "720" 148000
"1" "728" 0
"1" "729" 0
"1" "730" 0
"1" "731" 0
"1" "736" 0
"1" "738" 0
"1" "745" 0
"1" "746" 0
"1" "749" 0
"1" "755" 0
"1" "757" 0
"1" "761" 0
"1" "768" 0
"1" "771" 0
"1" "772" 0
"1" "773" 0
"1" "787" 0
"1" "791" 0
"1" "792" 0
"1" "798" 0
"1" "800" 0
"1" "801" 0
"1" "802" 4588000
"1" "806" 0
"1" "808" 238000
"1" "813" 7764000
"1" "823" 0
"1" "826" 0
"1" "828" 0
"1" "840" 0
"1" "846" 2104000
"1" "848" 0
"1" "849" 0
"1" "851" 5451000
"1" "855" 0
"1" "860" 1043000
"1" "861" 2407000
"1" "862" 0
"1" "866" 0
"1" "867" 0
"1" "868" 597000
"1" "873" 8169000
"1" "877" 0
"1" "878" 0
"1" "879" 0
"1" "880" 0
"1" "881" 0
"1" "882" 6405000
"1" "891" 7453000
"1" "894" 0
"1" "911" 0
"1" "918" 0
"1" "920" 5829000
"1" "926" 8037000
"1" "928" 0
"1" "934" 0
"1" "940" 0
"1" "941" 0
"1" "943" 0
"1" "945" 0
"1" "950" 0
"1" "952" 0
"1" "958" 0
"1" "960" 0
"1" "970" 0
"1" "971" 0
"1" "974" 0
"1" "975" 0
"1" "979" 0
"1" "980" 0
"1" "984" 0
"1" "986" 0
"1" "987" 4420000
"1" "992" 0
"1" "993" 0
"1" "994" 0
"1" "996" 40000
"1" "999" 0
"1" "1002" 0
"1" "1003" 6002000
"1" "1004" 14000
"1" "1017" 17000
"1" "1027" 8212000
"1" "1030" 0
"1" "1038" 0
"1" "1041" 0
"1" "1046" 5598000
"1" "1048" 0
"1" "1052" 0
"1" "1054" 0
"1" "1056" 30000
"1" "1058" 5333000
"1" "1065" 0
"1" "1066" 0
"1" "1070" 5593000
"1" "1072" 30000
"1" "1074" 4582000
"1" "1075" 0
"1" "1081" 5814000
"1" "1083" 5668000
"1" "1084" 0
"1" "1092" 7959000
"1" "1095" 0
"1" "1103" 0
"1" "1107" 0
"1" "1109" 5681000
"1" "1110" 0
"2" "3" 8454000
"2" "4" 6300000
"2" "5" 7600000
"2" "6" 7129000
"2" "7" 5270000
"2" "8" 8662000
"2" "9" 7594000
"2" "10" 2229000
"2" "11" 7703000
"2" "12" 8181000
"2" "13" 8316000
"2" "14" 7448000
"2" "15" 7037000
"2" "16" 7723000
"2" "17" 8317000
"2" "18" 5169000
"2" "19" 6006000
"2" "20" 8887000
"2" "21" 6822000
"2" "22" 3547000
"2" "23" 2826000
"2" "24" 0
"2" "25" 8563000
"2" "26" 6691000
"2" "27" 474000
"2" "28" 3312000
"2" "29" 8821000
"2" "30" 6941000
"2" "31" 928000
"2" "32" 5605000
"2" "33" 8529000
"2" "34" 8521000
"2" "35" 8552000
"2" "36" 6769000
"2" "37" 7335000
"2" "38" 7595000
"2" "39" 8530000
"2" "40" 5497000
"2" "41" 6998000
"2" "42" 3931000
"2" "43" 8478000
"2" "44" 7388000
"2" "45" 8418000
"2" "46" 7205000
"2" "47" 8172000
"2" "48" 8687000
"2" "49" 6442000
"2" "50" 7336000
"2" "51" 8728000
"2" "52" 8272000
"2" "53" 1504000
"2" "54" 6133000
"2" "55" 7049000
"2" "56" 8942000
"2" "57" 5551000
"2" "58" 7192000
"2" "59" 7991000
"2" "60" 8494000
"2" "61" 7619000
"2" "62" 766000
"2" "70" 8378000
"2" "73" 0
"2" "81" 0
"2" "83" 0
"2" "85" 2664000
"2" "88" 5747000
"2" "90" 2389000
"2" "95" 6381000
"2" "98" 0
"2" "102" 0
"2" "105" 0
"2" "108" 1852000
"2" "114" 2222000
"2" "115" 0
"2" "119" 0
"2" "120" 7515000
"2" "121" 6061000
"2" "135" 0
"2" "136" 0
"2" "139" 0
"2" "142" 0
"2" "149" 0
"2" "150" 392000
"2" "151" 4868000
"2" "153" 4160000
"2" "157" 1308000
"2" "158" 0
"2" "159" 80000
"2" "160" 0
"2" "161" 0
"2" "166" 0
"2" "176" 0
"2" "181" 0
"2" "190" 0
"2" "192" 0
"2" "194" 0
"2" "196" 0
"2" "199" 0
"2" "211" 0
"2" "212" 0
"2" "213" 0
"2" "214" 0
"2" "222" 0
"2" "225" 0
"2" "230" 0
"2" "239" 0
"2" "262" 0
"2" "267" 0
"2" "272" 0
"2" "278" 0
"2" "284" 0
"2" "287" 0
"2" "290" 0
"2" "292" 0
"2" "294" 4782000
"2" "297" 0
"2" "306" 6356000
"2" "307" 0
"2" "309" 0
"2" "311" 0
"2" "318" 0
"2" "321" 0
"2" "322" 0
"2" "323" 0
"2" "325" 0
"2" "333" 0
"2" "335" 0
"2" "336" 0
"2" "337" 7739000
"2" "338" 6174000
"2" "344" 0
"2" "345" 552000
"2" "348" 0
"2" "351" 0
"2" "353" 38000
"2" "356" 0
"2" "358" 0
"2" "362" 0
"2" "363" 289000
"2" "365" 0
"2" "367" 0
"2" "374" 0
"2" "375" 6371000
"2" "377" 2186000
"2" "379" 0
"2" "381" 0
"2" "384" 0
"2" "395" 0
"2" "396" 4343000
"2" "401" 2864000
"2" "408" 1927000
"2" "410" 1687000
"2" "411" 0
"2" "422" 0
"2" "423" 0
"2" "424" 0
"2" "427" 4392000
"2" "428" 0
"2" "429" 0
"2" "433" 4529000
"2" "434" 0
"2" "436" 6312000
"2" "437" 8405000
"2" "439" 2941000
"2" "445" 0
"2" "446" 33000
"2" "455" 0
"2" "460" 5179000
"2" "463" 4634000
"2" "464" 0
"2" "465" 0
"2" "469" 0
"2" "471" 0
"2" "472" 4450000
"2" "473" 0
"2" "475" 0
"2" "476" 0
"2" "480" 0
"2" "486" 0
"2" "492" 0
"2" "500" 0
"2" "501" 88000
"2" "505" 0
"2" "506" 0
"2" "507" 0
"2" "509" 0
"2" "519" 0
"2" "522" 0
"2" "524" 0
"2" "526" 0
"2" "530" 0
"2" "534" 7540000
"2" "540" 730000
"2" "542" 0
"2" "548" 6317000
"2" "550" 0
"2" "553" 0
"2" "556" 217000
"2" "557" 3169000
"2" "574" 4269000
"2" "575" 7830000
"2" "581" 0
"2" "585" 2086000
"2" "589" 0
"2" "592" 0
"2" "601" 0
"2" "603" 0
"2" "606" 0
"2" "611" 4186000
"2" "615" 0
"2" "616" 0
"2" "624" 0
"2" "631" 0
"2" "637" 63000
"2" "638" 0
"2" "639" 0
"2" "641" 0
"2" "642" 0
"2" "644" 0
"2" "651" 0
"2" "652" 0
"2" "654" 0
"2" "658" 0
"2" "660" 0
"2" "662" 0
"2" "668" 0
"2" "674" 0
"2" "675" 0
"2" "682" 22000
"2" "683" 0
"2" "687" 0
"2" "690" 0
"2" "691" 0
"2" "703" 0
"2" "712" 0
"2" "713" 0
"2" "715" 0
"2" "720" 0
"2" "723" 0
"2" "727" 0
"2" "728" 0
"2" "735" 0
"2" "736" 0
"2" "737" 0
"2" "738" 0
"2" "739" 0
"2" "743" 0
"2" "744" 0
"2" "745" 0
"2" "752" 0
"2" "754" 0
"2" "755" 0
"2" "756" 0
"2" "758" 0
"2" "762" 0
"2" "763" 0
"2" "764" 0
"2" "771" 0
"2" "772" 0
"2" "779" 52000
"2" "792" 0
"2" "796" 0
"2" "802" 4598000
"2" "808" 196000
"2" "809" 0
"2" "813" 4926000
"2" "820" 0
"2" "826" 0
"2" "827" 0
"2" "840" 0
"2" "842" 0
"2" "843" 0
"2" "849" 0
"2" "851" 5549000
"2" "855" 0
"2" "860" 2613000
"2" "861" 2588000
"2" "862" 0
"2" "863" 0
"2" "868" 0
"2" "873" 217000
"2" "882" 6481000
"2" "888" 0
"2" "891" 7948000
"2" "900" 0
"2" "904" 0
"2" "908" 0
"2" "916" 0
"2" "920" 6460000
"2" "922" 0
"2" "923" 0
"2" "926" 5106000
"2" "928" 0
"2" "934" 0
"2" "935" 0
"2" "939" 0
"2" "946" 0
"2" "947" 0
"2" "955" 0
"2" "957" 0
"2" "958" 0
"2" "960" 0
"2" "965" 0
"2" "966" 0
"2" "968" 0
"2" "970" 0
"2" "972" 0
"2" "978" 0
"2" "983" 0
"2" "987" 4520000
"2" "992" 0
"2" "995" 0
"2" "996" 801000
"2" "998" 661000
"2" "1003" 869000
"2" "1005" 0
"2" "1007" 0
"2" "1021" 0
"2" "1027" 6745000
"2" "1031" 0
"2" "1035" 0
"2" "1037" 0
"2" "1038" 0
"2" "1045" 0
"2" "1046" 0
"2" "1048" 0
"2" "1054" 30000
"2" "1056" 1096000
"2" "1058" 4877000
"2" "1060" 0
"2" "1070" 6443000
"2" "1072" 0
"2" "1074" 8464000
"2" "1075" 0
"2" "1080" 0
"2" "1081" 5872000
"2" "1082" 0
"2" "1083" 2736000
"2" "1087" 0
"2" "1090" 0
"2" "1091" 0
"2" "1092" 8113000
"2" "1093" 0
"2" "1095" 0
"2" "1107" 49000
"2" "1109" 224000
"3" "4" 5998000
"3" "5" 8794000
"3" "6" 8512000
"3" "7" 7096000
"3" "8" 8481000
"3" "9" 7823000
"3" "10" 6695000
"3" "11" 7394000
"3" "12" 7580000
"3" "13" 8204000
"3" "14" 7610000
"3" "15" 7285000
"3" "16" 8606000
"3" "17" 7114000
"3" "18" 6147000
"3" "19" 8008000
"3" "20" 7469000
"3" "21" 7618000
"3" "22" 6007000
"3" "23" 3570000
"3" "24" 3728000
"3" "25" 8e+06
"3" "26" 7692000
"3" "27" 3464000
"3" "28" 6743000
"3" "29" 8848000
"3" "30" 7096000
"3" "31" 2201000
"3" "32" 7302000
"3" "33" 7590000
"3" "34" 8554000
"3" "35" 8767000
"3" "36" 6846000
"3" "37" 7317000
"3" "38" 6802000
"3" "39" 8788000
"3" "40" 7385000
"3" "41" 5598000
"3" "42" 6158000
"3" "43" 8499000
"3" "44" 6972000
"3" "45" 8332000
"3" "46" 8390000
"3" "47" 7933000
"3" "48" 7099000
"3" "49" 6971000
"3" "50" 6833000
"3" "51" 7874000
"3" "52" 7835000
"3" "53" 6408000
"3" "54" 6800000
"3" "55" 7813000
"3" "56" 6789000
"3" "57" 714000
"3" "58" 6937000
"3" "59" 7629000
"3" "60" 7699000
"3" "61" 7296000
"3" "62" 7453000
"3" "70" 8388000
"3" "73" 853000
"3" "85" 3045000
"3" "88" 7538000
"3" "90" 1058000
"3" "92" 0
"3" "95" 4989000
"3" "102" 0
"3" "104" 0
"3" "106" 45000
"3" "108" 2950000
"3" "114" 403000
"3" "115" 6294000
"3" "120" 8138000
"3" "121" 8473000
"3" "126" 0
"3" "136" 0
"3" "139" 0
"3" "144" 6266000
"3" "149" 0
"3" "150" 246000
"3" "151" 6427000
"3" "153" 0
"3" "157" 0
"3" "159" 536000
"3" "167" 0
"3" "173" 0
"3" "176" 0
"3" "197" 0
"3" "207" 0
"3" "209" 0
"3" "210" 0
"3" "211" 0
"3" "214" 0
"3" "218" 0
"3" "220" 0
"3" "224" 0
"3" "230" 0
"3" "236" 0
"3" "252" 0
"3" "253" 0
"3" "258" 0
"3" "265" 0
"3" "269" 0
"3" "270" 0
"3" "271" 1375000
"3" "272" 0
"3" "284" 0
"3" "285" 0
"3" "286" 0
"3" "287" 0
"3" "292" 0
"3" "294" 3839000
"3" "297" 63000
"3" "300" 0
"3" "306" 6680000
"3" "311" 6737000
"3" "318" 8427000
"3" "319" 0
"3" "320" 0
"3" "321" 0
"3" "323" 0
"3" "329" 0
"3" "330" 0
"3" "332" 0
"3" "337" 6362000
"3" "338" 6255000
"3" "343" 0
"3" "344" 0
"3" "345" 2391000
"3" "350" 0
"3" "353" 60000
"3" "363" 728000
"3" "365" 0
"3" "366" 0
"3" "375" 6517000
"3" "377" 6342000
"3" "394" 0
"3" "395" 0
"3" "396" 2476000
"3" "401" 6948000
"3" "408" 0
"3" "410" 1478000
"3" "423" 0
"3" "427" 4277000
"3" "428" 0
"3" "433" 4012000
"3" "435" 598000
"3" "436" 7256000
"3" "437" 8382000
"3" "439" 5283000
"3" "440" 0
"3" "451" 7e+05
"3" "459" 357000
"3" "460" 6378000
"3" "462" 0
"3" "463" 6141000
"3" "464" 0
"3" "467" 0
"3" "468" 0
"3" "469" 0
"3" "471" 0
"3" "472" 2565000
"3" "476" 420000
"3" "487" 55000
"3" "495" 0
"3" "506" 0
"3" "510" 0
"3" "516" 0
"3" "524" 0
"3" "530" 0
"3" "534" 5905000
"3" "540" 141000
"3" "541" 0
"3" "548" 7503000
"3" "550" 0
"3" "551" 0
"3" "554" 20000
"3" "557" 3552000
"3" "566" 0
"3" "571" 0
"3" "573" 0
"3" "574" 2476000
"3" "575" 8115000
"3" "585" 2073000
"3" "592" 0
"3" "596" 767000
"3" "599" 0
"3" "611" 6213000
"3" "615" 0
"3" "617" 0
"3" "621" 0
"3" "622" 0
"3" "626" 0
"3" "631" 0
"3" "632" 0
"3" "635" 0
"3" "637" 0
"3" "646" 0
"3" "653" 0
"3" "654" 0
"3" "657" 0
"3" "658" 0
"3" "662" 0
"3" "665" 0
"3" "667" 0
"3" "668" 0
"3" "671" 0
"3" "672" 0
"3" "674" 0
"3" "676" 25000
"3" "677" 0
"3" "682" 0
"3" "691" 0
"3" "697" 0
"3" "701" 0
"3" "704" 0
"3" "712" 0
"3" "713" 0
