"tempo" "com" "a" "b" "status"
"1156087816" "CONN" "1" "10" "up"
"1156087846" "CONN" "1" "10" "down"
"1156087859" "CONN" "1" "10" "up"
"1156087873" "CONN" "1" "10" "down"
"1156087879" "CONN" "1" "10" "up"
"1156087879" "CONN" "1" "10" "down"
"1156087907" "CONN" "1" "10" "up"
"1156087907" "CONN" "1" "10" "down"
"1156087910" "CONN" "1" "10" "up"
"1156087910" "CONN" "1" "10" "down"
"1156088124" "CONN" "1" "10" "up"
"1156088124" "CONN" "1" "10" "down"
"1156088146" "CONN" "1" "10" "up"
"1156088146" "CONN" "1" "10" "down"
"1156088241" "CONN" "1" "10" "up"
"1156088241" "CONN" "1" "10" "down"
"1156088267" "CONN" "1" "10" "up"
"1156088267" "CONN" "1" "10" "down"
"1156088296" "CONN" "1" "10" "up"
"1156088296" "CONN" "1" "10" "down"
"1156088321" "CONN" "1" "10" "up"
"1156088321" "CONN" "1" "10" "down"
"1156088322" "CONN" "1" "10" "up"
"1156088339" "CONN" "1" "10" "down"
"1156088347" "CONN" "1" "10" "up"
"1156088387" "CONN" "1" "10" "down"
"1156088416" "CONN" "1" "10" "up"
"1156088493" "CONN" "1" "10" "down"
"1156088534" "CONN" "1" "10" "up"
"1156088551" "CONN" "1" "10" "down"
"1156088563" "CONN" "1" "10" "up"
"1156088563" "CONN" "1" "10" "down"
"1156088621" "CONN" "1" "10" "up"
"1156088621" "CONN" "1" "10" "down"
"1156088652" "CONN" "1" "10" "up"
"1156088675" "CONN" "1" "10" "down"
"1156090655" "CONN" "1" "10" "up"
"1156090673" "CONN" "1" "10" "down"
"1156090701" "CONN" "1" "10" "up"
"1156090701" "CONN" "1" "10" "down"
"1156090718" "CONN" "1" "10" "up"
"1156090718" "CONN" "1" "10" "down"
"1156090724" "CONN" "1" "10" "up"
"1156090724" "CONN" "1" "10" "down"
"1156090757" "CONN" "1" "10" "up"
"1156090757" "CONN" "1" "10" "down"
"1156090806" "CONN" "1" "10" "up"
"1156090842" "CONN" "1" "10" "down"
"1156090855" "CONN" "1" "10" "up"
"1156090855" "CONN" "1" "10" "down"
"1156090857" "CONN" "1" "10" "up"
"1156090873" "CONN" "1" "10" "down"
"1156091750" "CONN" "1" "10" "up"
"1156091750" "CONN" "1" "10" "down"
"1156091808" "CONN" "1" "10" "up"
"1156091808" "CONN" "1" "10" "down"
"1156091826" "CONN" "1" "10" "up"
"1156091826" "CONN" "1" "10" "down"
"1156092013" "CONN" "1" "10" "up"
"1156092013" "CONN" "1" "10" "down"
"1156092020" "CONN" "1" "10" "up"
"1156092027" "CONN" "1" "10" "down"
"1156092045" "CONN" "1" "10" "up"
"1156092060" "CONN" "1" "10" "down"
"1156092072" "CONN" "1" "10" "up"
"1156092072" "CONN" "1" "10" "down"
"1156092086" "CONN" "1" "10" "up"
"1156092086" "CONN" "1" "10" "down"
"1156092103" "CONN" "1" "10" "up"
"1156092103" "CONN" "1" "10" "down"
"1156093237" "CONN" "1" "10" "up"
"1156093252" "CONN" "1" "10" "down"
"1156093353" "CONN" "1" "10" "up"
"1156093353" "CONN" "1" "10" "down"
"1156087109" "CONN" "1" "100" "up"
"1156087109" "CONN" "1" "100" "down"
"1156092606" "CONN" "1" "1002" "up"
"1156092606" "CONN" "1" "1002" "down"
"1156087796" "CONN" "1" "1003" "up"
"1156087826" "CONN" "1" "1003" "down"
"1156088261" "CONN" "1" "1003" "up"
"1156088261" "CONN" "1" "1003" "down"
"1156088306" "CONN" "1" "1003" "up"
"1156088322" "CONN" "1" "1003" "down"
"1156093223" "CONN" "1" "1003" "up"
"1156093223" "CONN" "1" "1003" "down"
"1156093268" "CONN" "1" "1003" "up"
"1156093268" "CONN" "1" "1003" "down"
"1156093327" "CONN" "1" "1003" "up"
"1156093342" "CONN" "1" "1003" "down"
"1156093371" "CONN" "1" "1003" "up"
"1156093371" "CONN" "1" "1003" "down"
"1156093623" "CONN" "1" "1003" "up"
"1156093623" "CONN" "1" "1003" "down"
"1156093859" "CONN" "1" "1003" "up"
"1156093859" "CONN" "1" "1003" "down"
"1156093313" "CONN" "1" "1004" "up"
"1156093313" "CONN" "1" "1004" "down"
"1156093327" "CONN" "1" "1004" "up"
"1156093327" "CONN" "1" "1004" "down"
"1156087513" "CONN" "1" "1017" "up"
"1156087513" "CONN" "1" "1017" "down"
"1156087530" "CONN" "1" "1017" "up"
"1156087556" "CONN" "1" "1017" "down"
"1156084832" "CONN" "1" "1027" "up"
"1156084832" "CONN" "1" "1027" "down"
"1156084872" "CONN" "1" "1027" "up"
"1156084891" "CONN" "1" "1027" "down"
"1156085573" "CONN" "1" "1027" "up"
"1156085594" "CONN" "1" "1027" "down"
"1156085640" "CONN" "1" "1027" "up"
"1156085640" "CONN" "1" "1027" "down"
"1156085713" "CONN" "1" "1027" "up"
"1156085713" "CONN" "1" "1027" "down"
"1156085776" "CONN" "1" "1027" "up"
"1156085776" "CONN" "1" "1027" "down"
"1156085808" "CONN" "1" "1027" "up"
"1156085864" "CONN" "1" "1027" "down"
"1156085894" "CONN" "1" "1027" "up"
"1156085894" "CONN" "1" "1027" "down"
"1156086130" "CONN" "1" "1027" "up"
"1156086130" "CONN" "1" "1027" "down"
"1156086177" "CONN" "1" "1027" "up"
"1156086210" "CONN" "1" "1027" "down"
"1156086251" "CONN" "1" "1027" "up"
"1156086251" "CONN" "1" "1027" "down"
"1156086426" "CONN" "1" "1027" "up"
"1156086426" "CONN" "1" "1027" "down"
"1156086441" "CONN" "1" "1027" "up"
"1156086477" "CONN" "1" "1027" "down"
"1156086930" "CONN" "1" "1027" "up"
"1156086930" "CONN" "1" "1027" "down"
"1156087749" "CONN" "1" "1027" "up"
"1156087760" "CONN" "1" "1027" "down"
