"a" "b" "tempo"
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 21000
"1" "2" 0
"1" "2" 34000
"1" "2" 0
"1" "2" 39000
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 16000
"1" "2" 0
"1" "2" 0
"1" "2" 10000
"1" "2" 32000
"1" "2" 0
"1" "2" 0
"1" "2" 12000
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 13000
"1" "2" 0
"1" "2" 1000
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 9000
"1" "2" 24000
"1" "2" 0
"1" "2" 0
"1" "2" 18000
"1" "2" 17000
"1" "2" 44000
"1" "2" 0
"1" "2" 14000
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 7000
"1" "2" 13000
"1" "2" 18000
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 11000
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 19000
"1" "2" 12000
"1" "2" 0
"1" "2" 38000
"1" "2" 0
"1" "2" 0
"1" "2" 13000
"1" "2" 0
"1" "2" 0
"1" "2" 11000
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "2" 0
"1" "3" 0
"1" "3" 30000
"1" "3" 10000
"1" "3" 0
"1" "3" 2000
"1" "3" 11000
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 18000
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 17000
"1" "3" 29000
"1" "3" 0
"1" "3" 15000
"1" "3" 0
"1" "3" 0
"1" "3" 45000
"1" "3" 17000
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 28000
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 16000
"1" "3" 58000
"1" "3" 0
"1" "3" 0
"1" "3" 13000
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 13000
"1" "3" 0
"1" "3" 18000
"1" "3" 0
"1" "3" 30000
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "3" 0
"1" "4" 0
"1" "4" 17000
"1" "4" 31000
"1" "4" 15000
"1" "4" 2000
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 26000
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 67000
"1" "4" 21000
"1" "4" 0
"1" "4" 31000
"1" "4" 0
"1" "4" 30000
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 0
"1" "4" 13000
"1" "4" 0
"1" "4" 0
"1" "4" 30000
"1" "4" 0
"1" "4" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 30000
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 24000
"1" "5" 0
"1" "5" 19000
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 26000
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 18000
"1" "5" 0
"1" "5" 21000
"1" "5" 0
"1" "5" 0
"1" "5" 35000
"1" "5" 8000
"1" "5" 23000
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 0
"1" "5" 34000
"1" "5" 0
"1" "5" 40000
"1" "5" 0
