"tempo" "com" "a" "b" "status"
"3381000" "CONN" "1" "10" "up"
"3411000" "CONN" "1" "10" "down"
"3424000" "CONN" "1" "10" "up"
"3438000" "CONN" "1" "10" "down"
"3444000" "CONN" "1" "10" "up"
"3444000" "CONN" "1" "10" "down"
"3472000" "CONN" "1" "10" "up"
"3472000" "CONN" "1" "10" "down"
"3475000" "CONN" "1" "10" "up"
"3475000" "CONN" "1" "10" "down"
"3689000" "CONN" "1" "10" "up"
"3689000" "CONN" "1" "10" "down"
"3711000" "CONN" "1" "10" "up"
"3711000" "CONN" "1" "10" "down"
"3806000" "CONN" "1" "10" "up"
"3806000" "CONN" "1" "10" "down"
"3832000" "CONN" "1" "10" "up"
"3832000" "CONN" "1" "10" "down"
"3861000" "CONN" "1" "10" "up"
"3861000" "CONN" "1" "10" "down"
"3886000" "CONN" "1" "10" "up"
"3886000" "CONN" "1" "10" "down"
"3887000" "CONN" "1" "10" "up"
"3904000" "CONN" "1" "10" "down"
"3912000" "CONN" "1" "10" "up"
"3952000" "CONN" "1" "10" "down"
"3981000" "CONN" "1" "10" "up"
"4058000" "CONN" "1" "10" "down"
"4099000" "CONN" "1" "10" "up"
"4116000" "CONN" "1" "10" "down"
"4128000" "CONN" "1" "10" "up"
"4128000" "CONN" "1" "10" "down"
"4186000" "CONN" "1" "10" "up"
"4186000" "CONN" "1" "10" "down"
"4217000" "CONN" "1" "10" "up"
"4240000" "CONN" "1" "10" "down"
"6220000" "CONN" "1" "10" "up"
"6238000" "CONN" "1" "10" "down"
"6266000" "CONN" "1" "10" "up"
"6266000" "CONN" "1" "10" "down"
"6283000" "CONN" "1" "10" "up"
"6283000" "CONN" "1" "10" "down"
"6289000" "CONN" "1" "10" "up"
"6289000" "CONN" "1" "10" "down"
"6322000" "CONN" "1" "10" "up"
"6322000" "CONN" "1" "10" "down"
"6371000" "CONN" "1" "10" "up"
"6407000" "CONN" "1" "10" "down"
"6420000" "CONN" "1" "10" "up"
"6420000" "CONN" "1" "10" "down"
"6422000" "CONN" "1" "10" "up"
"6438000" "CONN" "1" "10" "down"
"7315000" "CONN" "1" "10" "up"
"7315000" "CONN" "1" "10" "down"
"7373000" "CONN" "1" "10" "up"
"7373000" "CONN" "1" "10" "down"
"7391000" "CONN" "1" "10" "up"
"7391000" "CONN" "1" "10" "down"
"7578000" "CONN" "1" "10" "up"
"7578000" "CONN" "1" "10" "down"
"7585000" "CONN" "1" "10" "up"
"7592000" "CONN" "1" "10" "down"
"7610000" "CONN" "1" "10" "up"
"7625000" "CONN" "1" "10" "down"
"7637000" "CONN" "1" "10" "up"
