"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.76326" "-122.42175" "1212183599" "B" "37.75185" "-122.39429" "1212183599" "2730.20520174401"
"A" "37.78741" "-122.4199" "1212187276" "B" "37.75185" "-122.39435" "1212187276" "4552.43994908868"
"A" "37.77666" "-122.408" "1212188882" "B" "37.7518" "-122.39429" "1212188882" "3018.97078189513"
"A" "37.78412" "-122.40798" "1212189669" "B" "37.75185" "-122.39439" "1212189669" "3786.10977346839"
"A" "37.78203" "-122.42073" "1212189974" "B" "37.75185" "-122.39433" "1212189974" "4084.62943476888"
"A" "37.7777" "-122.41989" "1212190094" "B" "37.75189" "-122.39432" "1212190094" "3649.44173111825"
"A" "37.7602" "-122.42156" "1212190514" "B" "37.75182" "-122.3943" "1212190514" "2574.18318012981"
"A" "37.7522" "-122.3907" "1212192147" "B" "37.75179" "-122.39436" "1212192147" "325.35858570865"
"A" "37.77575" "-122.39668" "1212192450" "B" "37.75181" "-122.39431" "1212192450" "2673.13753794309"
"A" "37.80839" "-122.41007" "1212199233" "B" "37.75155" "-122.39409" "1212199233" "6481.72491991464"
"A" "37.77397" "-122.42241" "1212199983" "B" "37.75152" "-122.39415" "1212199983" "3525.72652727562"
"A" "37.83366" "-122.29495" "1212207336" "B" "37.75182" "-122.39417" "1212207336" "12616.6889212573"
"A" "37.82526" "-122.30712" "1212207397" "B" "37.75183" "-122.39417" "1212207397" "11201.0478712178"
"A" "37.78515" "-122.41935" "1212208781" "B" "37.75191" "-122.39413" "1212208781" "4314.76054914795"
"A" "37.78648" "-122.42269" "1212214888" "B" "37.75185" "-122.39411" "1212214888" "4602.81226605318"
"A" "37.78921" "-122.40839" "1212217305" "B" "37.7519" "-122.39408" "1212217305" "4340.0169249288"
"A" "37.78032" "-122.43215" "1212218822" "B" "37.75187" "-122.39412" "1212218822" "4607.61771436315"
"A" "37.78106" "-122.40452" "1212220325" "B" "37.75189" "-122.39408" "1212220325" "3374.65226458102"
"A" "37.781" "-122.41213" "1212220626" "B" "37.75189" "-122.39407" "1212220626" "3609.2513190137"
"A" "37.792" "-122.40895" "1212222021" "B" "37.75185" "-122.39412" "1212222021" "4656.0810545041"
"A" "37.75128" "-122.39507" "1212246184" "B" "37.75183" "-122.39408" "1212246184" "106.496336051292"
"A" "37.87166" "-122.27267" "1212251937" "B" "37.75185" "-122.39425" "1212251937" "17094.1092321422"
"A" "37.78467" "-122.43146" "1212253988" "B" "37.75189" "-122.39409" "1212253988" "4912.18659206265"
"A" "37.71139" "-122.45571" "1212265289" "B" "37.75181" "-122.39414" "1212265289" "7044.83126113573"
"A" "37.75155" "-122.39411" "1212281353" "B" "37.78521" "-122.42468" "1212281353" "4612.65969153318"
"A" "37.77689" "-122.39469" "1212444126" "B" "37.74997" "-122.39336" "1212444126" "2999.00554498856"
"A" "37.78449" "-122.38796" "1212444383" "B" "37.75133" "-122.39457" "1212444383" "3736.9013584186"
"A" "37.79798" "-122.40613" "1212445538" "B" "37.75112" "-122.39448" "1212445538" "5316.19702032415"
"A" "37.79728" "-122.41126" "1212445598" "B" "37.75111" "-122.39449" "1212445598" "5347.25103977605"
"A" "37.75268" "-122.38769" "1212451177" "B" "37.7516" "-122.39428" "1212451177" "592.358233293128"
"A" "37.77678" "-122.39493" "1212452638" "B" "37.75162" "-122.39425" "1212452638" "2801.43759919927"
"A" "37.79422" "-122.39694" "1212461482" "B" "37.75192" "-122.39446" "1212461482" "4713.86819341593"
"A" "37.78662" "-122.40366" "1212466414" "B" "37.75192" "-122.39456" "1212466414" "3944.91367996589"
"A" "37.79248" "-122.40668" "1212468046" "B" "37.75191" "-122.39449" "1212468046" "4641.86252524586"
"A" "37.78915" "-122.39943" "1212472623" "B" "37.75192" "-122.39447" "1212472623" "4167.34298633668"
"A" "37.78061" "-122.41254" "1212476564" "B" "37.75196" "-122.39442" "1212476564" "3565.70685217683"
"A" "37.79418" "-122.397" "1212479101" "B" "37.75183" "-122.39451" "1212479101" "4719.46898458103"
"A" "37.79422" "-122.39701" "1212479403" "B" "37.75194" "-122.39447" "1212479403" "4711.89166134787"
"A" "37.79424" "-122.39711" "1212479463" "B" "37.75194" "-122.39446" "1212479463" "4714.58434912702"
"A" "37.802" "-122.42724" "1212481786" "B" "37.75186" "-122.39448" "1212481786" "6281.90786580282"
"A" "37.79667" "-122.42364" "1212482029" "B" "37.75187" "-122.39448" "1212482029" "5608.44092549764"
"A" "37.75443" "-122.40317" "1212482511" "B" "37.75191" "-122.39449" "1212482511" "813.848867347202"
"A" "37.74962" "-122.39815" "1212482571" "B" "37.75191" "-122.39449" "1212482571" "410.808469646509"
