"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.7618" "-122.4204" "1212183451" "B" "37.78779" "-122.4001" "1212183451" "3400.15350756184"
"A" "37.75132" "-122.39465" "1212191563" "B" "37.74638" "-122.40455" "1212191563" "1030.4143401278"
"A" "37.7522" "-122.3907" "1212192147" "B" "37.7773" "-122.42137" "1212192147" "3884.81067200383"
"A" "37.77858" "-122.39397" "1212192628" "B" "37.79873" "-122.44346" "1212192628" "4897.64682265317"
"A" "37.7967" "-122.40525" "1212196718" "B" "37.78257" "-122.40371" "1212196718" "1578.76790047847"
"A" "37.77389" "-122.4317" "1212204296" "B" "37.78108" "-122.39925" "1212204296" "2965.22533530908"
"A" "37.79304" "-122.42121" "1212208317" "B" "37.78804" "-122.39381" "1212208317" "2473.83183943321"
"A" "37.77014" "-122.44597" "1212210292" "B" "37.78781" "-122.42016" "1212210292" "3004.34132562083"
"A" "37.78921" "-122.40839" "1212217305" "B" "37.76871" "-122.40764" "1212217305" "2283.0034353001"
"A" "37.80068" "-122.42273" "1212258328" "B" "37.80347" "-122.4436" "1212258328" "1861.75506312814"
"A" "37.71134" "-122.41385" "1212267096" "B" "37.72455" "-122.40148" "1212267096" "1830.01795522147"
"A" "37.80118" "-122.41943" "1212274995" "B" "37.43648" "-122.10988" "1212274995" "48920.3483357152"
"A" "37.79419" "-122.42144" "1212297045" "B" "37.63988" "-122.40561" "1212297045" "17234.1774988413"
"A" "37.79025" "-122.40388" "1212304977" "B" "37.75101" "-122.40314" "1212304977" "4368.66213098971"
"A" "37.79892" "-122.42855" "1212307328" "B" "37.77697" "-122.42222" "1212307328" "2506.11668490707"
"A" "37.79561" "-122.42665" "1212307388" "B" "37.77565" "-122.42545" "1212307388" "2224.4436752192"
"A" "37.79766" "-122.41702" "1212359334" "B" "37.76788" "-122.42853" "1212359334" "3466.31137821407"
"A" "37.78044" "-122.39001" "1212360236" "B" "37.78469" "-122.40694" "1212360236" "1562.83914169997"
"A" "37.62606" "-122.40149" "1212376051" "B" "37.61627" "-122.38617" "1212376051" "1735.61450082194"
"A" "37.67605" "-122.38868" "1212389173" "B" "37.78948" "-122.39553" "1212389173" "12641.3631560488"
"A" "37.7771" "-122.42127" "1212390361" "B" "37.75765" "-122.40441" "1212390361" "2624.72213302305"
"A" "37.77258" "-122.43459" "1212390362" "B" "37.75063" "-122.39338" "1212390362" "4373.03873209839"
"A" "37.77301" "-122.43735" "1212390363" "B" "37.75062" "-122.39339" "1212390363" "4602.08074979164"
"A" "37.75163" "-122.39479" "1212406582" "B" "37.7857" "-122.46256" "1212406582" "7067.40401532297"
"A" "37.76737" "-122.43574" "1212434275" "B" "37.61623" "-122.38595" "1212434275" "17387.095271133"
"A" "37.7854" "-122.42442" "1212442781" "B" "37.77401" "-122.4083" "1212442781" "1902.42379236337"
"A" "37.77689" "-122.39469" "1212444126" "B" "37.77275" "-122.41256" "1212444126" "1638.52267528876"
"A" "37.77397" "-122.42248" "1212448495" "B" "37.64998" "-122.40682" "1212448495" "13871.2288262898"
"A" "37.7986" "-122.40766" "1212454198" "B" "37.78796" "-122.40346" "1212454198" "1240.72575871599"
"A" "37.79497" "-122.39438" "1212456221" "B" "37.79042" "-122.42579" "1212456221" "2809.12615475804"
