"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.78126" "-122.39607" "1212246637" "B" "37.86933" "-122.2902" "1212246637" "13519.4624080254"
"A" "37.78351" "-122.40292" "1212248663" "B" "37.825" "-122.31415" "1212248663" "9071.52150076924"
"A" "37.80028" "-122.41028" "1212249984" "B" "37.78674" "-122.41461" "1212249984" "1554.64927686911"
"A" "37.78883" "-122.39464" "1212252844" "B" "37.78697" "-122.41463" "1212252844" "1770.74859267914"
"A" "37.77747" "-122.41805" "1212258696" "B" "37.73418" "-122.42595" "1212258696" "4868.92168652271"
"A" "37.79495" "-122.40025" "1212270698" "B" "37.80597" "-122.41836" "1212270698" "2010.55934668319"
"A" "37.79677" "-122.43023" "1212292705" "B" "37.79055" "-122.41066" "1212292705" "1855.54642366548"
"A" "37.79574" "-122.42437" "1212295966" "B" "37.78696" "-122.41797" "1212295966" "1127.94475009413"
"A" "37.80051" "-122.40909" "1212297612" "B" "37.79064" "-122.43929" "1212297612" "2874.78716624428"
"A" "37.78921" "-122.42042" "1212303674" "B" "37.70989" "-122.45766" "1212303674" "9418.6401137845"
"A" "37.79493" "-122.43506" "1212306997" "B" "37.78216" "-122.42228" "1212306997" "1812.41596090607"
"A" "37.78156" "-122.45555" "1212313731" "B" "37.77725" "-122.39968" "1212313731" "4939.0345917608"
"A" "37.78522" "-122.39738" "1212360037" "B" "37.78579" "-122.41389" "1212360037" "1453.88409466041"
"A" "37.78985" "-122.43416" "1212364517" "B" "37.7641" "-122.43373" "1212364517" "2866.72656415722"
"A" "37.79998" "-122.4412" "1212366215" "B" "37.61516" "-122.39031" "1212366215" "21056.5744117854"
"A" "37.78129" "-122.41904" "1212367042" "B" "37.63693" "-122.40403" "1212367042" "16124.3584516726"
"A" "37.80493" "-122.42357" "1212367845" "B" "37.78381" "-122.40823" "1212367845" "2710.79507915203"
