"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.80327" "-122.44008" "1212757630" "B" "37.79089" "-122.41568" "1212757630" "2550.65916500602"
"A" "37.61655" "-122.38622" "1212768850" "B" "37.8062" "-122.40456" "1212768850" "21173.4317383132"
"A" "37.77559" "-122.41952" "1212777826" "B" "37.78772" "-122.40681" "1212777826" "1753.22449924953"
"A" "37.76859" "-122.42004" "1212796420" "B" "37.74787" "-122.42028" "1212796420" "2306.63656120837"
"A" "37.78873" "-122.39862" "1212797141" "B" "37.76937" "-122.42654" "1212797141" "3267.90305635892"
"A" "37.79287" "-122.39365" "1212797382" "B" "37.77667" "-122.41934" "1212797382" "2891.44237334368"
"A" "37.69914" "-122.39308" "1212803654" "B" "37.79177" "-122.41145" "1212803654" "10437.5408991"
"A" "37.74818" "-122.43603" "1212812421" "B" "37.78942" "-122.4308" "1212812421" "4613.82651496487"
"A" "37.75386" "-122.43432" "1212812539" "B" "37.78934" "-122.4323" "1212812539" "3953.61312988937"
"A" "37.78922" "-122.42201" "1212814415" "B" "37.76102" "-122.43357" "1212814415" "3299.88536468395"
"A" "37.78419" "-122.41926" "1212820407" "B" "37.78226" "-122.41079" "1212820407" "775.540697893879"
"A" "37.76189" "-122.41724" "1212822081" "B" "37.77662" "-122.39564" "1212822081" "2510.27236052185"
"A" "37.76386" "-122.42177" "1212907448" "B" "37.78778" "-122.44276" "1212907448" "3240.56452235373"
"A" "37.78949" "-122.43398" "1212908485" "B" "37.77552" "-122.43625" "1212908485" "1567.90493878043"
"A" "37.80394" "-122.40168" "1212909747" "B" "37.77222" "-122.42351" "1212909747" "4019.5205238272"
"A" "37.80689" "-122.41808" "1212912235" "B" "37.6155" "-122.39033" "1212912235" "21445.1360919344"
"A" "37.8076" "-122.42041" "1212916987" "B" "37.79778" "-122.40684" "1212916987" "1618.51787661692"
"A" "37.72327" "-122.4556" "1212921831" "B" "37.79773" "-122.43045" "1212921831" "8579.2783657181"
"A" "37.78343" "-122.4024" "1212969060" "B" "37.75177" "-122.39521" "1212969060" "3580.71753780425"
"A" "37.77718" "-122.41046" "1212969241" "B" "37.75167" "-122.39522" "1212969241" "3140.52902643659"
"A" "37.78655" "-122.42135" "1212977195" "B" "37.7791" "-122.44713" "1212977195" "2414.99249383506"
"A" "37.79395" "-122.39729" "1212980710" "B" "37.7786" "-122.41163" "1212980710" "2124.00900408996"
"A" "37.79398" "-122.39729" "1212980954" "B" "37.79497" "-122.41657" "1212980954" "1699.56581968048"
"A" "37.79878" "-122.40087" "1212981293" "B" "37.79793" "-122.42224" "1212981293" "1882.11965864938"
"A" "37.77026" "-122.43519" "1212983367" "B" "37.7601" "-122.3922" "1212983367" "3948.61108293753"
"A" "37.74873" "-122.43806" "1212986718" "B" "37.77472" "-122.43784" "1212986718" "2893.25834703571"
"A" "37.67717" "-122.38842" "1212989589" "B" "37.78576" "-122.40259" "1212989589" "12152.3884400985"
"A" "37.77571" "-122.39678" "1212991106" "B" "37.78643" "-122.3986" "1212991106" "1204.0402788037"
"A" "37.75889" "-122.41514" "1212992902" "B" "37.78055" "-122.40827" "1212992902" "2485.80909791181"
"A" "37.78568" "-122.40698" "1212994305" "B" "37.76899" "-122.39117" "1212994305" "2320.97984200484"
"A" "37.78242" "-122.42239" "1212994950" "B" "37.75074" "-122.39194" "1212994950" "4429.11745129662"
"A" "37.78942" "-122.42377" "1212994951" "B" "37.73901" "-122.40045" "1212994951" "5975.09866652525"
"A" "37.78817" "-122.39947" "1212997195" "B" "37.76532" "-122.45317" "1212997195" "5366.09966187676"
"A" "37.79297" "-122.43101" "1213031053" "B" "37.70424" "-122.39391" "1213031053" "10403.1995826592"
"A" "37.79297" "-122.43101" "1213031113" "B" "37.71739" "-122.39907" "1213031113" "8870.73369254173"
"A" "37.79296" "-122.431" "1213033404" "B" "37.78648" "-122.41122" "1213033404" "1883.67692721961"
"A" "37.78691" "-122.44995" "1213034511" "B" "37.78645" "-122.42196" "1213034511" "2462.96696936655"
"A" "37.78101" "-122.46858" "1213034945" "B" "37.7926" "-122.405" "1213034945" "5740.3435129941"
"A" "37.78771" "-122.45102" "1213037498" "B" "37.77009" "-122.4248" "1213037498" "3028.09373936609"
