"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75157" "-122.39408" "1212284384" "B" "37.77842" "-122.41452" "1212284384" "3488.43563609589"
"A" "37.75157" "-122.3941" "1212284445" "B" "37.77839" "-122.41453" "1212284445" "3485.12080494692"
"A" "37.76886" "-122.42221" "1212287360" "B" "37.66611" "-122.39644" "1212287360" "11661.0082335167"
"A" "37.78992" "-122.42203" "1212290223" "B" "37.76057" "-122.43505" "1212290223" "3462.25563032519"
"A" "37.79802" "-122.42732" "1212292429" "B" "37.78622" "-122.40626" "1212292429" "2271.05619333852"
"A" "37.78046" "-122.4172" "1212294736" "B" "37.77856" "-122.40585" "1212294736" "1020.7717738513"
"A" "37.78777" "-122.4182" "1212303514" "B" "37.62961" "-122.42905" "1212303514" "17632.2014367991"
"A" "37.78921" "-122.42042" "1212303674" "B" "37.6493" "-122.45177" "1212303674" "15817.4649694825"
"A" "37.79844" "-122.4075" "1212306512" "B" "37.87037" "-122.50733" "1212306512" "11880.6450701427"
"A" "37.79641" "-122.41777" "1212307729" "B" "37.8005" "-122.43113" "1212307729" "1260.28138562777"
"A" "37.77705" "-122.41248" "1212308558" "B" "37.79889" "-122.43589" "1212308558" "3186.25787305781"
"A" "37.78914" "-122.42476" "1212308892" "B" "37.79926" "-122.43324" "1212308892" "1351.13774490274"
"A" "37.78503" "-122.41281" "1212311005" "B" "37.7822" "-122.42074" "1212311005" "765.5041334322"
"A" "37.78266" "-122.41559" "1212311065" "B" "37.78101" "-122.42048" "1212311065" "467.796779964121"
"A" "37.77045" "-122.41395" "1212311428" "B" "37.7742" "-122.41689" "1212311428" "491.108631796239"
"A" "37.77978" "-122.42193" "1212311729" "B" "37.7614" "-122.42715" "1212311729" "2096.97777442288"
"A" "37.79865" "-122.43065" "1212312394" "B" "37.74737" "-122.45112" "1212312394" "5985.88729688069"
