"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.80156" "-122.42468" "1212292135" "B" "37.78532" "-122.43654" "1212292135" "2087.2725313424"
"A" "37.78247" "-122.40162" "1212298297" "B" "37.78012" "-122.41292" "1212298297" "1028.03702744251"
"A" "37.7831" "-122.40607" "1212302265" "B" "37.74302" "-122.47614" "1212302265" "7611.26069521217"
"A" "37.78921" "-122.42042" "1212303674" "B" "37.80029" "-122.41135" "1212303674" "1468.97604459099"
"A" "37.78672" "-122.4129" "1212304740" "B" "37.75698" "-122.41898" "1212304740" "3353.59083486872"
"A" "37.79729" "-122.41076" "1212312575" "B" "37.7871" "-122.41035" "1212312575" "1134.9188576472"
"A" "37.66589" "-122.39657" "1212355602" "B" "37.78172" "-122.46224" "1212355602" "14131.2880185096"
"A" "37.79236" "-122.41601" "1212359455" "B" "37.76084" "-122.43535" "1212359455" "3899.65628146173"
"A" "37.78833" "-122.40858" "1212359661" "B" "37.76501" "-122.43197" "1212359661" "3312.78335445585"
"A" "37.78571" "-122.42187" "1212360834" "B" "37.79689" "-122.43716" "1212360834" "1832.5118966579"
"A" "37.79015" "-122.40902" "1212377022" "B" "37.7808" "-122.40857" "1212377022" "1041.58988878432"
"A" "37.61637" "-122.38612" "1212380534" "B" "37.79273" "-122.41077" "1212380534" "19751.9787410194"
"A" "37.61628" "-122.38809" "1212384566" "B" "37.76885" "-122.4529" "1212384566" "17917.833901942"
"A" "37.7771" "-122.42127" "1212390361" "B" "37.78982" "-122.42178" "1212390361" "1416.69465266171"
"A" "37.77258" "-122.43459" "1212390362" "B" "37.78976" "-122.42191" "1212390362" "2214.07513725614"
"A" "37.77301" "-122.43735" "1212390363" "B" "37.78988" "-122.42202" "1212390363" "2312.11741287452"
"A" "37.78522" "-122.46334" "1212416377" "B" "37.76439" "-122.43535" "1212416377" "3382.6463588752"
"A" "37.78606" "-122.41106" "1212423604" "B" "37.7796" "-122.41186" "1212423604" "722.560113022667"
"A" "37.7871" "-122.41125" "1212424666" "B" "37.72429" "-122.40153" "1212424666" "7044.11753866105"
"A" "37.78977" "-122.43421" "1212435573" "B" "37.69128" "-122.39098" "1212435573" "11605.5329421943"
"A" "37.78584" "-122.43325" "1212447065" "B" "37.70634" "-122.39463" "1212447065" "9480.35746380797"
"A" "37.72734" "-122.42632" "1212449412" "B" "37.61615" "-122.38616" "1212449412" "12873.4960693188"
"A" "37.72993" "-122.42609" "1212449473" "B" "37.61616" "-122.38617" "1212449473" "13144.1830502418"
"A" "37.7787" "-122.39277" "1212452849" "B" "37.72054" "-122.39993" "1212452849" "6504.94247817422"
"A" "37.79391" "-122.39782" "1212460409" "B" "37.79232" "-122.39366" "1212460409" "406.503328518881"
"A" "37.79248" "-122.40668" "1212468046" "B" "37.80023" "-122.40912" "1212468046" "889.023734902903"
"A" "37.78061" "-122.41254" "1212476564" "B" "37.80016" "-122.4125" "1212476564" "2176.29888980814"
"A" "37.76739" "-122.4055" "1212482450" "B" "37.76484" "-122.42376" "1212482450" "1631.76035087289"
"A" "37.78022" "-122.39732" "1212504156" "B" "37.71284" "-122.39645" "1212504156" "7501.09821155795"
"A" "37.78989" "-122.40717" "1212505575" "B" "37.66366" "-122.46884" "1212505575" "15064.4592077793"
