"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.78046" "-122.4172" "1212294736" "B" "37.78649" "-122.40187" "1212294736" "1506.53221701143"
"A" "37.78233" "-122.3971" "1212303115" "B" "37.71695" "-122.39676" "1212303115" "7278.12983544441"
"A" "37.78884" "-122.4103" "1212304617" "B" "37.71676" "-122.39689" "1212304617" "8110.25297575967"
"A" "37.78547" "-122.40559" "1212305280" "B" "37.71801" "-122.39901" "1212305280" "7531.91228059136"
"A" "37.78515" "-122.40364" "1212305757" "B" "37.76974" "-122.42242" "1212305757" "2381.8255448047"
"A" "37.77337" "-122.43739" "1212316155" "B" "37.75555" "-122.38822" "1212316155" "4760.09808505658"
"A" "37.69106" "-122.39102" "1212358196" "B" "37.79674" "-122.43033" "1212358196" "12262.5945756846"
"A" "37.79674" "-122.42337" "1212368457" "B" "37.78219" "-122.411" "1212368457" "1951.31692594655"
"A" "37.72919" "-122.40354" "1212385760" "B" "37.80931" "-122.47722" "1212385760" "11026.4988159736"
"A" "37.7771" "-122.42127" "1212390361" "B" "37.7514" "-122.39529" "1212390361" "3662.23519379471"
"A" "37.77258" "-122.43459" "1212390362" "B" "37.75129" "-122.3949" "1212390362" "4221.05794817012"
"A" "37.75161" "-122.39478" "1212410365" "B" "37.77521" "-122.42875" "1212410365" "3979.79756917808"
"A" "37.75166" "-122.39476" "1212412107" "B" "37.75352" "-122.40305" "1212412107" "758.462526988934"
"A" "37.75268" "-122.42752" "1212414385" "B" "37.77388" "-122.43588" "1212414385" "2471.99108607945"
"A" "37.76875" "-122.43578" "1212414807" "B" "37.77391" "-122.43581" "1212414807" "574.414638366222"
"A" "37.77118" "-122.43699" "1212414867" "B" "37.77392" "-122.43592" "1212414867" "319.21616117252"
"A" "37.78522" "-122.46334" "1212416377" "B" "37.62819" "-122.40184" "1212416377" "18300.3988310445"
"A" "37.79285" "-122.396" "1212431550" "B" "37.77936" "-122.39344" "1212431550" "1518.4947510183"
"A" "37.7923" "-122.40104" "1212431670" "B" "37.78485" "-122.40025" "1212431670" "832.237156456234"
"A" "37.77838" "-122.41521" "1212437599" "B" "37.78228" "-122.42415" "1212437599" "898.428082298283"
"A" "37.77266" "-122.41843" "1212442533" "B" "37.77215" "-122.43031" "1212442533" "1046.89147754021"
"A" "37.78577" "-122.42792" "1212442880" "B" "37.7677" "-122.4293" "1212442880" "2015.20457368089"
"A" "37.78796" "-122.40836" "1212443242" "B" "37.78137" "-122.42216" "1212443242" "1418.51661048378"
"A" "37.78788" "-122.40827" "1212443423" "B" "37.78526" "-122.418" "1212443423" "904.325717628802"
"A" "37.79592" "-122.42236" "1212445663" "B" "37.73582" "-122.4044" "1212445663" "6874.4501656473"
"A" "37.78625" "-122.41812" "1212447842" "B" "37.61649" "-122.38623" "1212447842" "19105.1920206985"
"A" "37.79036" "-122.39695" "1212451645" "B" "37.7966" "-122.40211" "1212451645" "829.790248764265"
"A" "37.79598" "-122.39725" "1212452045" "B" "37.79954" "-122.40142" "1212452045" "539.996269092533"
"A" "37.80467" "-122.4165" "1212454313" "B" "37.78212" "-122.44971" "1212454313" "3851.74801988907"
"A" "37.79754" "-122.3964" "1212455149" "B" "37.78968" "-122.40257" "1212455149" "1029.64112748577"
"A" "37.79395" "-122.39675" "1212461058" "B" "37.62289" "-122.401" "1212461058" "19045.9902285867"
"A" "37.7875" "-122.40334" "1212473066" "B" "37.75363" "-122.42165" "1212473066" "4100.21455161014"
"A" "37.78061" "-122.41254" "1212476564" "B" "37.61653" "-122.38608" "1212476564" "18413.3909689057"
"A" "37.75151" "-122.39527" "1212482727" "B" "37.75532" "-122.38958" "1212482727" "656.270136724019"
"A" "37.75134" "-122.39527" "1212503434" "B" "37.74839" "-122.41028" "1212503434" "1361.37130513229"
"A" "37.79101" "-122.3995" "1212506144" "B" "37.75055" "-122.42029" "1212506144" "4861.33882583318"
"A" "37.78888" "-122.40413" "1212516459" "B" "37.79004" "-122.40991" "1212516459" "524.619813128388"
"A" "37.79059" "-122.43591" "1212517201" "B" "37.79184" "-122.40205" "1212517201" "2981.91646999807"
"A" "37.78912" "-122.43383" "1212517321" "B" "37.79206" "-122.40179" "1212517321" "2837.52362665955"
"A" "37.78539" "-122.43089" "1212521016" "B" "37.73369" "-122.40509" "1212521016" "6186.93468961848"
"A" "37.77066" "-122.45547" "1212523923" "B" "37.71791" "-122.3992" "1212523923" "7682.18618826761"
"A" "37.65974" "-122.40484" "1212527325" "B" "37.75082" "-122.39345" "1212527325" "10188.4835257547"
"A" "37.78479" "-122.4091" "1212531886" "B" "37.79257" "-122.39128" "1212531886" "1791.00364309642"
"A" "37.81272" "-122.36218" "1212537704" "B" "37.77541" "-122.3973" "1212537704" "5176.33933064321"
"A" "37.79738" "-122.37864" "1212537944" "B" "37.77628" "-122.39586" "1212537944" "2795.01055401424"
"A" "37.75143" "-122.39533" "1212538938" "B" "37.76353" "-122.42411" "1212538938" "2868.811321301"
"A" "37.78029" "-122.39097" "1212541474" "B" "37.79459" "-122.40539" "1212541474" "2035.5285169796"
"A" "37.78865" "-122.39924" "1212547054" "B" "37.77362" "-122.46484" "1212547054" "6009.24643902761"
"A" "37.78577" "-122.40812" "1212554543" "B" "37.60462" "-122.37911" "1212554543" "20326.7829196061"
"A" "37.80479" "-122.43306" "1212556607" "B" "37.74834" "-122.41206" "1212556607" "6550.0082349703"
"A" "37.80441" "-122.42305" "1212557088" "B" "37.64748" "-122.40669" "1212557088" "17528.6546273248"
"A" "37.80504" "-122.41801" "1212557144" "B" "37.63417" "-122.40401" "1212557144" "19061.0679095613"
"A" "37.75155" "-122.39524" "1212562051" "B" "37.79718" "-122.40571" "1212562051" "5162.37539651663"
"A" "37.75165" "-122.39501" "1212562884" "B" "37.77522" "-122.40607" "1212562884" "2798.51225891624"
"A" "37.78716" "-122.39466" "1212600340" "B" "37.74823" "-122.41702" "1212600340" "4759.44052730354"
"A" "37.78705" "-122.38713" "1212601895" "B" "37.77174" "-122.45414" "1212601895" "6137.20923323968"
"A" "37.79001" "-122.43409" "1212605421" "B" "37.792" "-122.40943" "1212605421" "2180.63052413854"
"A" "37.7928" "-122.40407" "1212629283" "B" "37.80515" "-122.40363" "1212629283" "1375.34037726041"
"A" "37.80413" "-122.37167" "1212632551" "B" "37.79241" "-122.40093" "1212632551" "2885.54819297807"
"A" "37.78408" "-122.48294" "1212637854" "B" "37.61639" "-122.38598" "1212637854" "20527.9267725419"
"A" "37.78747" "-122.41208" "1212639800" "B" "37.79588" "-122.43791" "1212639800" "2457.56024819783"
"A" "37.69922" "-122.39281" "1212649555" "B" "37.78539" "-122.39678" "1212649555" "9598.76443420795"
"A" "37.73772" "-122.40789" "1212649556" "B" "37.78864" "-122.39287" "1212649556" "5820.46520963722"
"A" "37.78657" "-122.41458" "1212670555" "B" "37.75149" "-122.39354" "1212670555" "4321.75486566209"
"A" "37.77288" "-122.44731" "1212675974" "B" "37.72798" "-122.48436" "1212675974" "5968.01198042129"
"A" "37.79253" "-122.40344" "1212678480" "B" "37.78281" "-122.48498" "1212678480" "7254.573284004"
"A" "37.78825" "-122.40348" "1212679735" "B" "37.78096" "-122.4646" "1212679735" "5438.10591523106"
"A" "37.72047" "-122.40004" "1212685444" "B" "37.76149" "-122.48243" "1212685444" "8570.54102112344"
"A" "37.61556" "-122.38852" "1212686334" "B" "37.758" "-122.49717" "1212686334" "18521.2370727519"
"A" "37.70736" "-122.39468" "1212695202" "B" "37.79428" "-122.40102" "1212695202" "9691.96849044929"
"A" "37.73951" "-122.42382" "1212698647" "B" "37.78963" "-122.43574" "1212698647" "5677.0871006954"
"A" "37.75185" "-122.39515" "1212701478" "B" "37.75132" "-122.39345" "1212701478" "160.841128958096"
"A" "37.75197" "-122.40299" "1212714284" "B" "37.78797" "-122.40514" "1212714284" "4011.96491999124"
"A" "37.71131" "-122.40371" "1212717048" "B" "37.78906" "-122.42433" "1212717048" "8843.33840165531"
"A" "37.79774" "-122.4188" "1212722461" "B" "37.78822" "-122.41037" "1212722461" "1293.45317682115"
"A" "37.78792" "-122.41104" "1212764877" "B" "37.78971" "-122.40683" "1212764877" "420.566794564133"
"A" "37.61656" "-122.38622" "1212768494" "B" "37.74527" "-122.45204" "1212768494" "15456.9066801646"
"A" "37.61653" "-122.38622" "1212769151" "B" "37.76282" "-122.4293" "1212769151" "16721.260355973"
"A" "37.61656" "-122.38627" "1212769211" "B" "37.76303" "-122.42662" "1212769211" "16687.9022624452"
"A" "37.78503" "-122.40377" "1212772710" "B" "37.7634" "-122.4342" "1212772710" "3600.96520565219"
"A" "37.68109" "-122.38892" "1212790006" "B" "37.7767" "-122.41943" "1212790006" "10977.0095140427"
"A" "37.72812" "-122.40257" "1212805683" "B" "37.76102" "-122.43136" "1212805683" "4453.73068991601"
"A" "37.77296" "-122.38942" "1212806528" "B" "37.77583" "-122.39971" "1212806528" "960.132571031021"
"A" "37.78564" "-122.42896" "1212813336" "B" "37.7661" "-122.43092" "1212813336" "2182.00869041055"
"A" "37.78565" "-122.42896" "1212813396" "B" "37.76772" "-122.42927" "1212813396" "1996.14483420351"
"A" "37.76189" "-122.41724" "1212822081" "B" "37.63836" "-122.40479" "1212822081" "13794.9498039078"
"A" "37.78949" "-122.43398" "1212908485" "B" "37.77542" "-122.42677" "1212908485" "1689.84426785019"
"A" "37.79848" "-122.41056" "1212917265" "B" "37.76749" "-122.43563" "1212917265" "4094.62791724158"
