"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.79406" "-122.40801" "1212212704" "B" "37.77714" "-122.42126" "1212212704" "2215.06400414588"
"A" "37.78952" "-122.42164" "1212213657" "B" "37.80244" "-122.41334" "1212213657" "1612.95067770575"
"A" "37.78701" "-122.41039" "1212215096" "B" "37.78579" "-122.42117" "1212215096" "958.054383746181"
"A" "37.78921" "-122.40839" "1212217305" "B" "37.80002" "-122.43612" "1212217305" "2719.97494823022"
"A" "37.78883" "-122.41489" "1212220775" "B" "37.78496" "-122.42103" "1212220775" "690.923824367992"
"A" "37.80805" "-122.41722" "1212221521" "B" "37.75001" "-122.41823" "1212221521" "6461.5943382222"
"A" "37.86697" "-122.30255" "1212251028" "B" "37.78599" "-122.41145" "1212251028" "13151.1079538412"
"A" "37.78467" "-122.43146" "1212253988" "B" "37.78612" "-122.41079" "1212253988" "1825.6351310969"
"A" "37.77961" "-122.41842" "1212258650" "B" "37.7783" "-122.39127" "1212258650" "2393.23189218902"
"A" "37.7911" "-122.41663" "1212263079" "B" "37.78594" "-122.41117" "1212263079" "748.776526094287"
"A" "37.80146" "-122.42287" "1212275280" "B" "37.79602" "-122.40416" "1212275280" "1753.63288747924"
"A" "37.75155" "-122.39413" "1212282742" "B" "37.78273" "-122.47063" "1212282742" "7574.03374144843"
"A" "37.75125" "-122.39477" "1212285756" "B" "37.78128" "-122.45576" "1212285756" "6323.05251005135"
"A" "37.75124" "-122.39478" "1212285816" "B" "37.78223" "-122.44772" "1212285816" "5796.92665826888"
"A" "37.78754" "-122.4082" "1212296348" "B" "37.78246" "-122.47056" "1212296348" "5515.3454527158"
"A" "37.76608" "-122.40959" "1212299103" "B" "37.77597" "-122.39946" "1212299103" "1416.56271648035"
"A" "37.77729" "-122.41302" "1212300146" "B" "37.75675" "-122.4243" "1212300146" "2492.66979962903"
"A" "37.78921" "-122.42042" "1212303674" "B" "37.77153" "-122.43556" "1212303674" "2376.53569879117"
"A" "37.79196" "-122.40232" "1212304431" "B" "37.75317" "-122.42081" "1212304431" "4614.42281607268"
