"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.79802" "-122.40702" "1212250068" "B" "37.77174" "-122.40646" "1212250068" "2925.89104163729"
"A" "37.87846" "-122.25897" "1212251537" "B" "37.74888" "-122.40667" "1212251537" "19411.1897063491"
"A" "37.78947" "-122.40132" "1212253343" "B" "37.79021" "-122.42578" "1212253343" "2153.36524177228"
"A" "37.78746" "-122.40994" "1212254869" "B" "37.80833" "-122.40995" "1212254869" "2323.23793937597"
"A" "37.65444" "-122.40695" "1212256340" "B" "37.79342" "-122.43478" "1212256340" "15664.0392751727"
"A" "37.80068" "-122.42273" "1212258618" "B" "37.79493" "-122.42481" "1212258618" "665.722446776627"
"A" "37.77962" "-122.39478" "1212261062" "B" "37.7994" "-122.44096" "1212261062" "4620.89844972151"
"A" "37.79853" "-122.40126" "1212262191" "B" "37.7846" "-122.40845" "1212262191" "1674.71459164381"
"A" "37.71093" "-122.41251" "1212267505" "B" "37.79827" "-122.44248" "1212267505" "10074.1074432121"
"A" "37.74672" "-122.40395" "1212267867" "B" "37.79852" "-122.42733" "1212267867" "6122.3443831352"
"A" "37.75436" "-122.41051" "1212268105" "B" "37.79635" "-122.42012" "1212268105" "4750.17124125233"
"A" "37.75173" "-122.39516" "1212278112" "B" "37.78639" "-122.45413" "1212278112" "6466.37767700671"
"A" "37.75155" "-122.39412" "1212281596" "B" "37.74772" "-122.4185" "1212281596" "2187.86203368723"
"A" "37.75156" "-122.39409" "1212281958" "B" "37.76311" "-122.40829" "1212281958" "1793.04159152097"
"A" "37.75155" "-122.3941" "1212282439" "B" "37.76407" "-122.40348" "1212282439" "1619.86405073187"
"A" "37.75155" "-122.39413" "1212282499" "B" "37.76772" "-122.40387" "1212282499" "1993.71849356716"
"A" "37.75127" "-122.39472" "1212286177" "B" "37.80763" "-122.42029" "1212286177" "6665.1366987313"
"A" "37.75165" "-122.42786" "1212286985" "B" "37.78764" "-122.40829" "1212286985" "4360.81408734382"
"A" "37.79099" "-122.42261" "1212290161" "B" "37.77907" "-122.39561" "1212290161" "2720.88685657126"
"A" "37.7992" "-122.42622" "1212290856" "B" "37.7956" "-122.41666" "1212290856" "931.53297206786"
"A" "37.77273" "-122.41297" "1212301680" "B" "37.7421" "-122.42209" "1212301680" "3502.91551497011"
"A" "37.77032" "-122.4138" "1212311347" "B" "37.78269" "-122.43255" "1212311347" "2148.93558282815"
"A" "37.76582" "-122.46" "1212315428" "B" "37.79377" "-122.42649" "1212315428" "4286.41543531338"
"A" "37.75187" "-122.39392" "1212317868" "B" "37.78385" "-122.43274" "1212317868" "4933.88035416337"
"A" "37.78338" "-122.43018" "1212365118" "B" "37.78685" "-122.41176" "1212365118" "1665.94466953749"
"A" "37.79025" "-122.41541" "1212369726" "B" "37.79009" "-122.424" "1212369726" "755.88383857516"
"A" "37.80041" "-122.4394" "1212415541" "B" "37.80062" "-122.43624" "1212415541" "278.931902901259"
"A" "37.76436" "-122.43071" "1212418913" "B" "37.7957" "-122.42381" "1212418913" "3541.17909175487"
"A" "37.7626" "-122.43523" "1212419033" "B" "37.79129" "-122.42258" "1212419033" "3382.14865178326"
"A" "37.79548" "-122.41802" "1212427348" "B" "37.78079" "-122.41209" "1212427348" "1716.48078045574"
"A" "37.78948" "-122.39099" "1212428078" "B" "37.7654" "-122.41044" "1212428078" "3180.27512018656"
