"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75139" "-122.39539" "1212160478" "B" "37.68941" "-122.39172" "1212160478" "6907.14589004676"
"A" "37.75145" "-122.39493" "1212166010" "B" "37.78658" "-122.40646" "1212166010" "4040.12693990357"
"A" "37.75183" "-122.39465" "1212176966" "B" "37.79112" "-122.40871" "1212176966" "4545.35646087741"
"A" "37.75179" "-122.39436" "1212192147" "B" "37.7773" "-122.42137" "1212192147" "3703.24651179293"
"A" "37.75182" "-122.39432" "1212192329" "B" "37.79123" "-122.42419" "1212192329" "5114.19305131078"
"A" "37.75186" "-122.39433" "1212192751" "B" "37.79901" "-122.44619" "1212192751" "6954.9202047354"
"A" "37.75183" "-122.39432" "1212194380" "B" "37.79069" "-122.41379" "1212194380" "4652.78315027873"
"A" "37.75189" "-122.3941" "1212215190" "B" "37.78584" "-122.42073" "1212215190" "4446.83981994745"
"A" "37.7519" "-122.39408" "1212217305" "B" "37.76871" "-122.40764" "1212217305" "2219.4214842469"
"A" "37.75185" "-122.39413" "1212218760" "B" "37.65404" "-122.40724" "1212218760" "10949.2129576212"
"A" "37.75186" "-122.39416" "1212220023" "B" "37.60347" "-122.38249" "1212220023" "16550.6673929046"
"A" "37.75184" "-122.39421" "1212235688" "B" "37.76126" "-122.42574" "1212235688" "2966.51991749627"
"A" "37.75187" "-122.39414" "1212237259" "B" "37.79503" "-122.42181" "1212237259" "5386.2366245372"
"A" "37.75188" "-122.39413" "1212237319" "B" "37.79447" "-122.42584" "1212237319" "5501.20811097761"
"A" "37.75187" "-122.39412" "1212237380" "B" "37.79442" "-122.42582" "1212237380" "5496.92506507667"
"A" "37.75185" "-122.39411" "1212240755" "B" "37.76582" "-122.43108" "1212240755" "3606.22678156443"
"A" "37.75179" "-122.39412" "1212242210" "B" "37.62474" "-122.40073" "1212242210" "14155.1230732114"
"A" "37.75185" "-122.39413" "1212243459" "B" "37.78559" "-122.42106" "1212243459" "4441.02198308917"
"A" "37.75187" "-122.39413" "1212243519" "B" "37.78523" "-122.42781" "1212243519" "4751.2868059899"
"A" "37.75188" "-122.39412" "1212243580" "B" "37.78341" "-122.43984" "1212243580" "5339.1172730996"
"A" "37.75187" "-122.39414" "1212243640" "B" "37.78218" "-122.45018" "1212243640" "5975.26495679832"
"A" "37.75185" "-122.39412" "1212243701" "B" "37.78225" "-122.45026" "1212243701" "5988.18450134137"
"A" "37.75186" "-122.39411" "1212243761" "B" "37.78226" "-122.45025" "1212243761" "5988.18395021738"
"A" "37.75188" "-122.39413" "1212243882" "B" "37.78225" "-122.45023" "1212243882" "5983.39245415361"
"A" "37.75187" "-122.39414" "1212244066" "B" "37.78229" "-122.45023" "1212244066" "5985.81265804947"
"A" "37.75188" "-122.39411" "1212244246" "B" "37.7822" "-122.45083" "1212244246" "6025.36843568536"
"A" "37.75187" "-122.39411" "1212244306" "B" "37.78178" "-122.45404" "1212244306" "6236.89458940586"
"A" "37.75187" "-122.39411" "1212244366" "B" "37.78128" "-122.46207" "1212244366" "6817.92822463023"
"A" "37.75187" "-122.39411" "1212249788" "B" "37.80631" "-122.40473" "1212249788" "6131.8447855984"
"A" "37.75187" "-122.39413" "1212254350" "B" "37.76001" "-122.43533" "1212254350" "3737.60344768897"
"A" "37.75184" "-122.39413" "1212263399" "B" "37.61495" "-122.39134" "1212263399" "15240.5072695696"
"A" "37.7848" "-122.40697" "1212282934" "B" "37.77945" "-122.45555" "1212282934" "4315.40721300955"
"A" "37.7513" "-122.39428" "1212370581" "B" "37.55203" "-122.30948" "1212370581" "23407.8790246394"
"A" "37.75143" "-122.39424" "1212370707" "B" "37.54745" "-122.323" "1212370707" "23559.1011400265"
"A" "37.7513" "-122.39432" "1212370886" "B" "37.55252" "-122.29982" "1212370886" "23643.6336041127"
"A" "37.7896" "-122.41601" "1212379486" "B" "37.75738" "-122.43863" "1212379486" "4101.95743316215"
"A" "37.75016" "-122.39327" "1212443203" "B" "37.77282" "-122.41251" "1212443203" "3038.09439915748"
"A" "37.74963" "-122.39835" "1212444066" "B" "37.77274" "-122.41254" "1212444066" "2859.67586226342"
"A" "37.74997" "-122.39336" "1212444126" "B" "37.77275" "-122.41256" "1212444126" "3047.24305047032"
"A" "37.75133" "-122.39459" "1212448388" "B" "37.67349" "-122.39011" "1212448388" "8674.08597851202"
"A" "37.7519" "-122.39445" "1212459901" "B" "37.74805" "-122.42045" "1212459901" "2328.28440367776"
"A" "37.75187" "-122.3945" "1212460344" "B" "37.67141" "-122.39148" "1212460344" "8960.71390209402"
"A" "37.75193" "-122.39443" "1212463698" "B" "37.58813" "-122.35796" "1212463698" "18515.1374031476"
"A" "37.75202" "-122.39453" "1212469915" "B" "37.63241" "-122.40265" "1212469915" "13334.1225575276"
"A" "37.75192" "-122.39447" "1212475302" "B" "37.7935" "-122.42437" "1212475302" "5324.14409737097"
"A" "37.75196" "-122.39442" "1212476564" "B" "37.80508" "-122.42344" "1212476564" "6441.00254374485"
"A" "37.75188" "-122.39448" "1212477697" "B" "37.78196" "-122.39196" "1212477697" "3355.82532131794"
"A" "37.75192" "-122.39449" "1212488506" "B" "37.74835" "-122.4181" "1212488506" "2115.78675552284"
"A" "37.75148" "-122.39446" "1212496260" "B" "37.78104" "-122.43063" "1212496260" "4578.12920108251"
"A" "37.77261" "-122.43059" "1212503402" "B" "37.79968" "-122.44273" "1212503402" "3197.08941883785"
