"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75186" "-122.39408" "1212229147" "B" "37.78103" "-122.42058" "1212229147" "3997.80110580405"
"A" "37.75193" "-122.39409" "1212233145" "B" "37.75036" "-122.42269" "1212233145" "2523.36875781101"
"A" "37.75191" "-122.39424" "1212234663" "B" "37.7394" "-122.4082" "1212234663" "1857.24296837164"
"A" "37.75182" "-122.39413" "1212234965" "B" "37.65966" "-122.40474" "1212234965" "10301.6723324236"
"A" "37.75189" "-122.3941" "1212250154" "B" "37.7866" "-122.41454" "1212250154" "4262.02278385301"
"A" "37.75187" "-122.39414" "1212250274" "B" "37.78673" "-122.41461" "1212250274" "4278.27696666636"
"A" "37.75189" "-122.39415" "1212250574" "B" "37.78663" "-122.41452" "1212250574" "4262.45648588038"
"A" "37.75193" "-122.3942" "1212250635" "B" "37.78679" "-122.41461" "1212250635" "4276.05609510254"
"A" "37.75192" "-122.39415" "1212253388" "B" "37.78684" "-122.41314" "1212253388" "4231.2307930152"
"A" "37.75187" "-122.39413" "1212254350" "B" "37.79549" "-122.41832" "1212254350" "5301.78159987808"
"A" "37.75192" "-122.39413" "1212260376" "B" "37.75137" "-122.39543" "1212260376" "129.773134513081"
"A" "37.75186" "-122.39411" "1212265714" "B" "37.7936" "-122.39296" "1212265714" "4647.57728293835"
"A" "37.75114" "-122.39429" "1212370217" "B" "37.78886" "-122.42215" "1212370217" "4862.2484730983"
"A" "37.75134" "-122.39428" "1212371186" "B" "37.79173" "-122.41132" "1212371186" "4739.61943502384"
"A" "37.75125" "-122.3946" "1212449060" "B" "37.79229" "-122.40418" "1212449060" "4645.67260651779"
"A" "37.7516" "-122.39426" "1212451417" "B" "37.77241" "-122.40391" "1212451417" "2467.31926391234"
"A" "37.75186" "-122.39446" "1212461180" "B" "37.80711" "-122.47583" "1212461180" "9438.35236144544"
"A" "37.75188" "-122.39447" "1212471900" "B" "37.78359" "-122.39913" "1212471900" "3553.68006755979"
"A" "37.75189" "-122.39446" "1212472807" "B" "37.73491" "-122.4313" "1212472807" "3753.58130102223"
"A" "37.75188" "-122.39445" "1212474093" "B" "37.73226" "-122.44363" "1212474093" "4848.9806836742"
"A" "37.75196" "-122.39442" "1212476564" "B" "37.7324" "-122.44359" "1212476564" "4845.18375661363"
"A" "37.75173" "-122.39427" "1212497533" "B" "37.66128" "-122.40307" "1212497533" "10098.6316014741"
