"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.79531" "-122.42168" "1212280959" "B" "37.75167" "-122.39449" "1212280959" "5415.1601631349"
"A" "37.77412" "-122.4298" "1212282275" "B" "37.77598" "-122.39437" "1212282275" "3124.33131759652"
"A" "37.75185" "-122.39449" "1212460832" "B" "37.78689" "-122.40654" "1212460832" "4042.19023125748"
"A" "37.75187" "-122.3945" "1212462732" "B" "37.79947" "-122.44313" "1212462732" "6810.74371991767"
"A" "37.75193" "-122.39447" "1212467018" "B" "37.75503" "-122.42324" "1212467018" "2555.59865372766"
"A" "37.75192" "-122.39451" "1212469736" "B" "37.75263" "-122.41271" "1212469736" "1603.84810314552"
"A" "37.7519" "-122.39449" "1212470935" "B" "37.78529" "-122.40061" "1212470935" "3755.76924125272"
"A" "37.75184" "-122.39444" "1212473675" "B" "37.77376" "-122.4401" "1212473675" "4701.12866343548"
"A" "37.75191" "-122.39452" "1212475060" "B" "37.80698" "-122.4104" "1212475060" "6287.56715927176"
"A" "37.75196" "-122.39442" "1212476564" "B" "37.78999" "-122.40447" "1212476564" "4324.86013397211"
