"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75126" "-122.39426" "1212370399" "B" "37.76359" "-122.41651" "1212370399" "2391.36162849976"
"A" "37.7512" "-122.39427" "1212371590" "B" "37.75823" "-122.419" "1212371590" "2312.98606454092"
"A" "37.75193" "-122.39446" "1212459841" "B" "37.7886" "-122.40836" "1212459841" "4261.39339648679"
"A" "37.7519" "-122.39445" "1212459901" "B" "37.79138" "-122.40894" "1212459901" "4576.10929980072"
"A" "37.75191" "-122.39448" "1212467260" "B" "37.79517" "-122.40638" "1212467260" "4928.20376583416"
"A" "37.75192" "-122.39452" "1212467441" "B" "37.78601" "-122.40608" "1212467441" "3928.85525846318"
"A" "37.75191" "-122.39449" "1212468046" "B" "37.80023" "-122.40912" "1212468046" "5530.84458047461"
"A" "37.7519" "-122.39441" "1212468227" "B" "37.80792" "-122.40899" "1212468227" "6366.69009986772"
"A" "37.75193" "-122.39442" "1212473350" "B" "37.7872" "-122.41041" "1212473350" "4170.74928171555"
"A" "37.75193" "-122.39446" "1212476089" "B" "37.78605" "-122.41785" "1212476089" "4320.0501546889"
"A" "37.75196" "-122.39442" "1212476564" "B" "37.80016" "-122.4125" "1212476564" "5596.46173052103"
"A" "37.75188" "-122.39446" "1212478341" "B" "37.78114" "-122.46017" "1212478341" "6636.72448155655"
"A" "37.7519" "-122.39444" "1212481549" "B" "37.75971" "-122.42142" "1212481549" "2528.72520297603"
"A" "37.75185" "-122.39446" "1212481844" "B" "37.75655" "-122.40673" "1212481844" "1199.9987217546"
"A" "37.75193" "-122.39445" "1212482268" "B" "37.76501" "-122.42049" "1212482268" "2715.18981323711"
"A" "37.7519" "-122.39446" "1212482632" "B" "37.76104" "-122.43363" "1212482632" "3594.41985622859"
"A" "37.75187" "-122.39452" "1212485295" "B" "37.773" "-122.43738" "1212485295" "4445.19247450179"
"A" "37.75189" "-122.39444" "1212488832" "B" "37.79051" "-122.40414" "1212488832" "4383.06950914048"
"A" "37.75195" "-122.3945" "1212489727" "B" "37.78634" "-122.42404" "1212489727" "4627.38102753003"
"A" "37.75195" "-122.3945" "1212489787" "B" "37.78683" "-122.41984" "1212489787" "4477.54643163707"
"A" "37.75194" "-122.39452" "1212489847" "B" "37.78765" "-122.41373" "1212489847" "4319.69946461537"
"A" "37.75192" "-122.39446" "1212490028" "B" "37.78659" "-122.4082" "1212490028" "4044.40053847005"
"A" "37.75189" "-122.39436" "1212490149" "B" "37.79259" "-122.40422" "1212490149" "4613.02674642904"
"A" "37.75189" "-122.39437" "1212490209" "B" "37.79354" "-122.39745" "1212490209" "4644.37090695847"
"A" "37.75193" "-122.3945" "1212494628" "B" "37.7873" "-122.41925" "1212494628" "4499.56874974247"
"A" "37.75193" "-122.39449" "1212494689" "B" "37.7874" "-122.42002" "1212494689" "4542.85985643468"
"A" "37.75194" "-122.39451" "1212494992" "B" "37.78702" "-122.4193" "1212494992" "4473.06438797361"
