"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75126" "-122.39424" "1212371431" "B" "37.78539" "-122.44762" "1212371431" "6041.48626470596"
"A" "37.80405" "-122.41557" "1212378373" "B" "37.76471" "-122.39293" "1212378373" "4811.00010514599"
"A" "37.75099" "-122.39445" "1212445165" "B" "37.75145" "-122.39415" "1212445165" "57.6141813305554"
"A" "37.75163" "-122.39427" "1212449656" "B" "37.61536" "-122.391" "1212449656" "15172.2422064527"
"A" "37.7519" "-122.39471" "1212459597" "B" "37.6656" "-122.39669" "1212459597" "9608.45447143273"
"A" "37.75189" "-122.3945" "1212462967" "B" "37.60095" "-122.3777" "1212462967" "16867.6351911234"
"A" "37.75192" "-122.39445" "1212463874" "B" "37.61721" "-122.3874" "1212463874" "15008.7047899784"
"A" "37.75191" "-122.39442" "1212472567" "B" "37.77088" "-122.43932" "1212472567" "4480.33215964523"
"A" "37.75196" "-122.39442" "1212476564" "B" "37.61653" "-122.38608" "1212476564" "15093.8916382686"
"A" "37.75192" "-122.39445" "1212480372" "B" "37.61498" "-122.39228" "1212480372" "15245.28975391"
"A" "37.78677" "-122.41819" "1212504975" "B" "37.77645" "-122.39589" "1212504975" "2273.58302036106"
