"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.7518" "-122.3941" "1212214585" "B" "37.79084" "-122.42407" "1212214585" "5083.4678332259"
"A" "37.7519" "-122.39408" "1212217305" "B" "37.80002" "-122.43612" "1212217305" "6509.75942310492"
"A" "37.75182" "-122.39416" "1212219843" "B" "37.76673" "-122.43335" "1212219843" "3827.62520125462"
"A" "37.75189" "-122.39411" "1212222505" "B" "37.76828" "-122.4201" "1212222505" "2925.86161854005"
"A" "37.75187" "-122.39411" "1212222931" "B" "37.74926" "-122.41819" "1212222931" "2139.30672352071"
"A" "37.75183" "-122.39409" "1212244429" "B" "37.78602" "-122.41111" "1212244429" "4090.09189541433"
"A" "37.7519" "-122.3942" "1212251060" "B" "37.78566" "-122.41079" "1212251060" "4031.73331296985"
"A" "37.75188" "-122.39419" "1212251120" "B" "37.78566" "-122.41086" "1212251120" "4036.36185006725"
"A" "37.75189" "-122.39409" "1212253988" "B" "37.78612" "-122.41079" "1212253988" "4084.01849479461"
"A" "37.75184" "-122.39415" "1212255674" "B" "37.78511" "-122.40578" "1212255674" "3842.39654203782"
"A" "37.75181" "-122.39419" "1212255798" "B" "37.77803" "-122.39626" "1212255798" "2924.47594260225"
"A" "37.75179" "-122.39424" "1212257151" "B" "37.78802" "-122.41165" "1212257151" "4314.27454923739"
"A" "37.75185" "-122.39409" "1212258785" "B" "37.78246" "-122.39288" "1212258785" "3409.15284665362"
"A" "37.75184" "-122.39412" "1212262780" "B" "37.78481" "-122.40958" "1212262780" "3914.22906129909"
"A" "37.75188" "-122.39411" "1212267185" "B" "37.78708" "-122.4032" "1212267185" "3999.25408151081"
"A" "37.75188" "-122.39411" "1212267245" "B" "37.78835" "-122.4034" "1212267245" "4141.30652157482"
"A" "37.792" "-122.40278" "1212379012" "B" "37.78087" "-122.39948" "1212379012" "1272.5454540465"
"A" "37.75136" "-122.39459" "1212446469" "B" "37.78744" "-122.42301" "1212446469" "4731.36027694928"
"A" "37.75133" "-122.39461" "1212446589" "B" "37.7872" "-122.42327" "1212446589" "4722.77811036731"
"A" "37.7514" "-122.39461" "1212448237" "B" "37.78687" "-122.40303" "1212448237" "4017.41800298928"
"A" "37.75131" "-122.39457" "1212448873" "B" "37.80569" "-122.41289" "1212448873" "6264.47947037714"
"A" "37.75193" "-122.39444" "1212463937" "B" "37.79336" "-122.40701" "1212463937" "4742.74271204951"
"A" "37.75193" "-122.39448" "1212464721" "B" "37.75572" "-122.41879" "1212464721" "2180.83448563269"
"A" "37.75185" "-122.39445" "1212471660" "B" "37.80404" "-122.42503" "1212471660" "6402.55702298299"
"A" "37.75196" "-122.39442" "1212476564" "B" "37.76865" "-122.42757" "1212476564" "3458.79542486586"
"A" "37.75195" "-122.39447" "1212495477" "B" "37.76662" "-122.41983" "1212495477" "2765.53594705877"
"A" "37.75191" "-122.3945" "1212495598" "B" "37.76175" "-122.42384" "1212495598" "2804.96855059493"
"A" "37.75173" "-122.39426" "1212497775" "B" "37.6147" "-122.38975" "1212497775" "15259.2835016845"
"A" "37.75173" "-122.39426" "1212498380" "B" "37.73759" "-122.40777" "1212498380" "1972.7931006097"
"A" "37.78745" "-122.41494" "1212505048" "B" "37.74467" "-122.42045" "1212505048" "4786.86882381915"
"A" "37.78448" "-122.39498" "1212507277" "B" "37.80241" "-122.43817" "1212507277" "4291.6943798638"
