"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75186" "-122.39421" "1212252118" "B" "37.77413" "-122.40506" "1212252118" "2656.61107998423"
"A" "37.75186" "-122.39422" "1212252904" "B" "37.79079" "-122.41193" "1212252904" "4605.34398318775"
"A" "37.75184" "-122.39416" "1212256967" "B" "37.79764" "-122.43892" "1212256967" "6442.45030823079"
"A" "37.75183" "-122.39419" "1212257329" "B" "37.78542" "-122.43322" "1212257329" "5077.17696869143"
"A" "37.7519" "-122.39414" "1212259257" "B" "37.79932" "-122.42581" "1212259257" "5969.13424667268"
"A" "37.75189" "-122.3942" "1212263802" "B" "37.78819" "-122.42021" "1212263802" "4644.05711015696"
"A" "37.76569" "-122.4355" "1212281914" "B" "37.76307" "-122.40852" "1212281914" "2392.14181132937"
"A" "37.78906" "-122.4152" "1212379426" "B" "37.6874" "-122.39037" "1212379426" "11525.9093528874"
"A" "37.75127" "-122.39458" "1212448994" "B" "37.78635" "-122.42174" "1212448994" "4578.403031622"
"A" "37.75165" "-122.39429" "1212450498" "B" "37.8054" "-122.40162" "1212450498" "6018.07968839325"
"A" "37.75188" "-122.39449" "1212460587" "B" "37.75981" "-122.44542" "1212460587" "4568.55931362194"
"A" "37.75189" "-122.39448" "1212460707" "B" "37.76243" "-122.43562" "1212460707" "3806.11843912408"
"A" "37.75189" "-122.3945" "1212462512" "B" "37.7595" "-122.40618" "1212462512" "1332.06640347882"
"A" "37.75188" "-122.39448" "1212463208" "B" "37.61783" "-122.38554" "1212463208" "14943.1470738396"
"A" "37.75193" "-122.39448" "1212465632" "B" "37.79055" "-122.40646" "1212465632" "4426.51480951112"
"A" "37.75192" "-122.39454" "1212466538" "B" "37.78995" "-122.42731" "1212466538" "5122.23970427837"
"A" "37.75192" "-122.39441" "1212473105" "B" "37.78521" "-122.41779" "1212473105" "4238.62273402742"
"A" "37.75173" "-122.39428" "1212497109" "B" "37.72679" "-122.4026" "1212497109" "2871.29483650922"
