"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.78516" "-122.40073" "1212248774" "B" "37.81827" "-122.3464" "1212248774" "6035.01125187172"
"A" "37.76001" "-122.43533" "1212254350" "B" "37.79549" "-122.41832" "1212254350" "4223.67219018185"
"A" "37.90275" "-122.50021" "1212256745" "B" "37.77829" "-122.4232" "1212256745" "15420.4325375341"
"A" "37.78307" "-122.43103" "1212259285" "B" "37.75464" "-122.42311" "1212259285" "3240.64178859251"
"A" "37.77548" "-122.43804" "1212259589" "B" "37.76215" "-122.41944" "1212259589" "2209.26320436899"
"A" "37.78239" "-122.4119" "1212261668" "B" "37.77565" "-122.40207" "1212261668" "1144.97728489367"
"A" "37.78497" "-122.4035" "1212269919" "B" "37.79831" "-122.42602" "1212269919" "2475.86172964393"
"A" "37.3329" "-122.11078" "1212273975" "B" "37.7781" "-122.42999" "1212273975" "57006.0602263259"
"A" "37.45604" "-122.13318" "1212275086" "B" "37.7533" "-122.42785" "1212275086" "42075.4859244574"
"A" "37.59097" "-122.3625" "1212276012" "B" "37.78554" "-122.41296" "1212276012" "22110.8651842007"
"A" "37.73864" "-122.3976" "1212309503" "B" "37.78836" "-122.40748" "1212309503" "5602.68206709019"
"A" "37.74002" "-122.38812" "1212309813" "B" "37.79085" "-122.40446" "1212309813" "5838.21881198426"
"A" "37.78581" "-122.43513" "1212329190" "B" "37.78947" "-122.42919" "1212329190" "662.627893551669"
"A" "37.71633" "-122.44119" "1212330960" "B" "37.78684" "-122.42486" "1212330960" "7979.652272685"
"A" "37.71581" "-122.44151" "1212331496" "B" "37.76501" "-122.45885" "1212331496" "5685.65655132443"
"A" "37.76531" "-122.45134" "1212332871" "B" "37.78885" "-122.41039" "1212332871" "4455.20964031274"
"A" "37.60587" "-122.38485" "1212340394" "B" "37.7882" "-122.42368" "1212340394" "20583.036396934"
"A" "37.58273" "-122.25266" "1212354078" "B" "37.77605" "-122.42271" "1212354078" "26221.7499026773"
"A" "37.75556" "-122.38821" "1212361770" "B" "37.79549" "-122.42166" "1212361770" "5331.08660832964"
"A" "37.56835" "-122.31146" "1212370472" "B" "37.77816" "-122.41587" "1212370472" "25102.4396366524"
"A" "37.78839" "-122.40841" "1212372990" "B" "37.80577" "-122.42071" "1212372990" "2216.70905440142"
"A" "37.70428" "-122.3942" "1212373721" "B" "37.78956" "-122.40869" "1212373721" "9578.62284273374"
"A" "37.63409" "-122.40385" "1212373973" "B" "37.7846" "-122.40482" "1212373973" "16754.9143326233"
"A" "37.77546" "-122.44616" "1212386105" "B" "37.79153" "-122.41263" "1212386105" "3449.97969338251"
"A" "37.75765" "-122.40441" "1212390361" "B" "37.75254" "-122.41404" "1212390361" "1020.75965990119"
"A" "37.75063" "-122.39338" "1212390362" "B" "37.75257" "-122.41404" "1212390362" "1831.2154648318"
"A" "37.75062" "-122.39339" "1212390363" "B" "37.75277" "-122.41357" "1212390363" "1792.23847870991"
"A" "37.7591" "-122.4391" "1212403024" "B" "37.79977" "-122.43623" "1212403024" "4534.40024019756"
"A" "37.72157" "-122.47527" "1212407322" "B" "37.77114" "-122.45264" "1212407322" "5866.63934709877"
"A" "37.80077" "-122.43785" "1212414776" "B" "37.79184" "-122.41073" "1212414776" "2584.41820523354"
"A" "37.80036" "-122.44122" "1212414836" "B" "37.79183" "-122.41076" "1212414836" "2842.67484063516"
"A" "37.75748" "-122.4067" "1212423128" "B" "37.61752" "-122.38689" "1212423128" "15677.7063675056"
"A" "37.78238" "-122.39553" "1212433213" "B" "37.76301" "-122.39288" "1212433213" "2168.82996670073"
"A" "37.39194" "-122.00271" "1212437067" "B" "37.80326" "-122.40252" "1212437067" "57792.8874220727"
"A" "37.46242" "-122.14416" "1212437413" "B" "37.7923" "-122.40278" "1212437413" "43224.9999847479"
"A" "37.80508" "-122.42344" "1212476564" "B" "37.7324" "-122.44359" "1212476564" "8282.71990938816"
"A" "37.80687" "-122.41899" "1212476612" "B" "37.73237" "-122.4436" "1212476612" "8571.38153133849"
"A" "37.80073" "-122.41092" "1212489857" "B" "37.72233" "-122.39374" "1212489857" "8857.44274396069"
"A" "37.7642" "-122.43496" "1212490901" "B" "37.73211" "-122.4326" "1212490901" "3578.27725380827"
"A" "37.78314" "-122.48061" "1212491739" "B" "37.73214" "-122.40581" "1212491739" "8693.07575371466"
"A" "37.79503" "-122.42676" "1212499357" "B" "37.61625" "-122.38605" "1212499357" "20222.0849545027"
"A" "37.79513" "-122.27841" "1212533472" "B" "37.79482" "-122.40053" "1212533472" "10742.4182697854"
"A" "37.77922" "-122.4077" "1212535442" "B" "37.77873" "-122.4147" "1212535442" "618.303531302478"
"A" "37.81975" "-122.33928" "1212549831" "B" "37.75572" "-122.43564" "1212549831" "11075.5690480593"
"A" "37.828" "-122.29468" "1212561191" "B" "37.78111" "-122.46092" "1212561191" "15525.2859683641"
"A" "37.78305" "-122.39699" "1212562884" "B" "37.7502" "-122.47603" "1212562884" "7858.18616333417"
"A" "37.79724" "-122.41067" "1212583456" "B" "37.76038" "-122.39726" "1212583456" "4269.50341387966"
"A" "37.7985" "-122.4012" "1212583516" "B" "37.76038" "-122.39725" "1212583516" "4257.70664145044"
"A" "37.78822" "-122.40427" "1212601107" "B" "37.61639" "-122.3859" "1212601107" "19196.333697616"
"A" "37.78318" "-122.41815" "1212603900" "B" "37.57164" "-122.31492" "1212603900" "25243.8911911769"
"A" "37.79237" "-122.39851" "1212606917" "B" "37.56623" "-122.30888" "1212606917" "26383.2740512779"
"A" "37.63983" "-122.40539" "1212671124" "B" "37.78837" "-122.40186" "1212671124" "16538.318900659"
"A" "37.79511" "-122.42882" "1212672992" "B" "37.77194" "-122.40157" "1212672992" "3521.41190539267"
"A" "37.78847" "-122.4376" "1212673233" "B" "37.77849" "-122.41011" "1212673233" "2661.5113462079"
"A" "37.7881" "-122.4403" "1212673293" "B" "37.78146" "-122.41151" "1212673293" "2638.53014019441"
"A" "37.78219" "-122.44938" "1212674811" "B" "37.78562" "-122.40506" "1212674811" "3917.8713815276"
"A" "37.78441" "-122.45002" "1212674936" "B" "37.78555" "-122.40529" "1212674936" "3937.28085847809"
"A" "37.80133" "-122.42654" "1212690044" "B" "37.79071" "-122.40439" "1212690044" "2279.02042786282"
"A" "37.80804" "-122.40893" "1212690827" "B" "37.79359" "-122.39771" "1212690827" "1887.18074877592"
"A" "37.67112" "-122.39157" "1212700125" "B" "37.61651" "-122.38623" "1212700125" "6097.35264298923"
"A" "37.78938" "-122.25504" "1212724709" "B" "37.67313" "-122.39011" "1212724709" "17574.9943678209"
"A" "37.80119" "-122.43645" "1212731966" "B" "37.66306" "-122.40005" "1212731966" "15706.9583274722"
"A" "37.70033" "-122.39337" "1212734040" "B" "37.67678" "-122.38844" "1212734040" "2657.30352304491"
"A" "37.67365" "-122.39" "1212734144" "B" "37.70323" "-122.39366" "1212734144" "3308.57768118545"
"A" "37.77719" "-122.41347" "1212735767" "B" "37.78562" "-122.42248" "1212735767" "1228.42861946622"
"A" "37.77532" "-122.41579" "1212735768" "B" "37.78569" "-122.42239" "1212735768" "1292.20650750817"
"A" "37.67809" "-122.38833" "1212737167" "B" "37.78994" "-122.41078" "1212737167" "12606.9781211696"
"A" "37.79913" "-122.43589" "1212738186" "B" "37.80478" "-122.4269" "1212738186" "1010.37049166798"
"A" "37.76329" "-122.4195" "1212742708" "B" "37.78041" "-122.4126" "1212742708" "2000.1672104109"
"A" "37.78728" "-122.43161" "1212756701" "B" "37.76039" "-122.3973" "1212756701" "4251.40871268239"
"A" "37.78731" "-122.43093" "1212756761" "B" "37.76268" "-122.39475" "1212756761" "4201.41187003023"
"A" "37.73262" "-122.40535" "1212773040" "B" "37.79238" "-122.39789" "1212773040" "6684.76893824655"
"A" "37.74991" "-122.39324" "1212791589" "B" "37.79968" "-122.40932" "1212791589" "5718.1796708025"
"A" "37.75431" "-122.43774" "1212804401" "B" "37.65347" "-122.45592" "1212804401" "11339.0778431897"
"A" "37.63593" "-122.40315" "1212811267" "B" "37.788" "-122.40848" "1212811267" "16934.8611452537"
"A" "37.7863" "-122.41626" "1212812549" "B" "37.79596" "-122.4167" "1212812549" "1076.04267939479"
"A" "37.78636" "-122.42315" "1212818897" "B" "37.77023" "-122.44558" "1212818897" "2668.12285954868"
"A" "37.78141" "-122.41574" "1212819085" "B" "37.76593" "-122.45733" "1212819085" "4044.96978970271"
"A" "37.61636" "-122.38616" "1212823224" "B" "37.76439" "-122.38912" "1212823224" "16480.687027189"
"A" "37.78896" "-122.44113" "1212846112" "B" "37.78129" "-122.45964" "1212846112" "1838.72093304675"
"A" "37.6152" "-122.39745" "1212848236" "B" "37.78551" "-122.41291" "1212848236" "19007.6600840529"
"A" "37.79664" "-122.42445" "1212853711" "B" "37.78627" "-122.45465" "1212853711" "2896.65249949374"
