"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.66721" "-122.39489" "1212191264" "B" "37.74965" "-122.41812" "1212191264" "9402.44875405323"
"A" "37.78339" "-122.42435" "1212757581" "B" "37.79011" "-122.41541" "1212757581" "1085.44322106783"
"A" "37.64929" "-122.40685" "1212758313" "B" "37.788" "-122.44133" "1212758313" "15736.7977510362"
"A" "37.57726" "-122.33998" "1212776805" "B" "37.80015" "-122.39827" "1212776805" "25337.7652237811"
"A" "37.40353" "-122.18624" "1212779050" "B" "37.77836" "-122.39145" "1212779050" "45482.9451731648"
"A" "37.7667" "-122.4298" "1212804755" "B" "37.77265" "-122.4072" "1212804755" "2096.10410522844"
"A" "37.76403" "-122.4051" "1212810004" "B" "37.78371" "-122.44392" "1212810004" "4057.97495594174"
"A" "37.61526" "-122.39012" "1212811069" "B" "37.78489" "-122.41925" "1212811069" "19056.6355894802"
"A" "37.62418" "-122.40055" "1212811190" "B" "37.78483" "-122.41913" "1212811190" "17958.1882160837"
"A" "37.78527" "-122.4195" "1212814066" "B" "37.75845" "-122.42371" "1212814066" "3008.48370553643"
"A" "37.75005" "-122.39251" "1212828015" "B" "37.77804" "-122.42153" "1212828015" "4028.70520370426"
"A" "37.68816" "-122.13456" "1212868048" "B" "37.59034" "-122.36177" "1212868048" "22797.4935448949"
"A" "37.62206" "-122.39983" "1212873412" "B" "37.56031" "-122.30251" "1212873412" "10997.4118846103"
"A" "37.63507" "-122.40282" "1212873472" "B" "37.5647" "-122.30726" "1212873472" "11506.4392504039"
"A" "37.64666" "-122.40579" "1212873532" "B" "37.57056" "-122.31362" "1212873532" "11740.2080379559"
"A" "37.64692" "-122.40568" "1212873592" "B" "37.5776" "-122.32121" "1212873592" "10725.2737160105"
"A" "37.64501" "-122.40536" "1212873652" "B" "37.58674" "-122.33366" "1212873652" "9058.06156561292"
"A" "37.77328" "-122.40277" "1212876394" "B" "37.61533" "-122.39024" "1212876394" "17617.5203267811"
"A" "37.75171" "-122.39528" "1212876776" "B" "37.69259" "-122.39136" "1212876776" "6590.25351774537"
"A" "37.75135" "-122.3953" "1212877143" "B" "37.77806" "-122.39197" "1212877143" "2987.74962943797"
"A" "37.74989" "-122.39512" "1212877324" "B" "37.78606" "-122.40178" "1212877324" "4068.85469859928"
"A" "37.74564" "-122.40497" "1212885100" "B" "37.75182" "-122.39425" "1212885100" "1167.74464492507"
"A" "37.78515" "-122.40336" "1212888017" "B" "37.75182" "-122.39432" "1212888017" "3794.59863453927"
"A" "37.79043" "-122.40615" "1212890695" "B" "37.8052" "-122.42364" "1212890695" "2251.71395419057"
"A" "37.77992" "-122.40001" "1212897491" "B" "37.7629" "-122.40519" "1212897491" "1948.71450453958"
"A" "37.7777" "-122.41999" "1212905759" "B" "37.79689" "-122.42224" "1212905759" "2145.37218534859"
"A" "37.50912" "-122.25029" "1212911227" "B" "37.61519" "-122.39017" "1212911227" "17081.507731158"
"A" "37.7876" "-122.39375" "1212919335" "B" "37.79503" "-122.42342" "1212919335" "2737.98552217293"
"A" "37.78445" "-122.3953" "1212919455" "B" "37.78665" "-122.42173" "1212919455" "2338.08988323296"
"A" "37.77178" "-122.40648" "1212919575" "B" "37.78453" "-122.43283" "1212919575" "2718.37458951337"
"A" "37.75012" "-122.39516" "1212919749" "B" "37.78326" "-122.43335" "1212919749" "4990.38317669644"
"A" "37.78942" "-122.4372" "1212936244" "B" "37.78519" "-122.40497" "1212936244" "2874.26066669191"
"A" "37.78941" "-122.43737" "1212937603" "B" "37.78939" "-122.40649" "1212937603" "2716.58474355189"
"A" "37.77693" "-122.41814" "1212953383" "B" "37.77977" "-122.49086" "1212953383" "6406.10603229178"
"A" "37.7692" "-122.41025" "1212961402" "B" "37.62836" "-122.40289" "1212961402" "15691.6337698429"
"A" "37.70083" "-122.39353" "1212981449" "B" "37.79171" "-122.42109" "1212981449" "10403.5120731212"
"A" "37.76422" "-122.40518" "1212988513" "B" "37.76861" "-122.43579" "1212988513" "2737.63978521795"
"A" "37.75077" "-122.4035" "1212988578" "B" "37.77111" "-122.43685" "1212988578" "3706.88947881201"
"A" "37.74387" "-122.40097" "1213001643" "B" "37.79799" "-122.45386" "1213001643" "7612.87061976239"
"A" "37.79485" "-122.40022" "1213020726" "B" "37.70649" "-122.39434" "1213020726" "9849.79662430621"
"A" "37.82516" "-122.31125" "1213023453" "B" "37.79194" "-122.41129" "1213023453" "9544.02568498145"
"A" "37.80007" "-122.44288" "1213032362" "B" "37.78616" "-122.39666" "1213032362" "4350.75187087125"
