"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75678" "-122.40347" "1212279966" "B" "37.75167" "-122.39444" "1212279966" "977.362521888339"
"A" "37.78736" "-122.43092" "1212286214" "B" "37.78448" "-122.43136" "1212286214" "322.92859978654"
"A" "37.8034" "-122.40984" "1212287756" "B" "37.61582" "-122.38437" "1212287756" "21001.4396227729"
"A" "37.78445" "-122.41304" "1212290042" "B" "37.76095" "-122.43403" "1212290042" "3202.30256495211"
"A" "37.7538" "-122.39223" "1212292073" "B" "37.77872" "-122.39291" "1212292073" "2774.72704016225"
"A" "37.7775" "-122.41332" "1212300582" "B" "37.66322" "-122.39869" "1212300582" "12786.6507832861"
"A" "37.77547" "-122.41067" "1212300642" "B" "37.65379" "-122.40713" "1212300642" "13548.942360075"
"A" "37.78616" "-122.3993" "1212307026" "B" "37.79906" "-122.4416" "1212307026" "3988.54435414167"
"A" "37.78324" "-122.40298" "1212307148" "B" "37.8004" "-122.4395" "1212307148" "3737.65918233233"
"A" "37.76531" "-122.45134" "1212332871" "B" "37.80673" "-122.41226" "1212332871" "5751.57306836395"
"A" "37.7662" "-122.45284" "1212332931" "B" "37.80721" "-122.41637" "1212332931" "5579.91177095895"
"A" "37.77103" "-122.45312" "1212332991" "B" "37.80689" "-122.41837" "1212332991" "5028.01985232423"
"A" "37.65971" "-122.4047" "1212339203" "B" "37.78549" "-122.39394" "1212339203" "14033.7833085575"
"A" "37.5369" "-122.0151" "1212350976" "B" "37.78103" "-122.39112" "1212350976" "42856.2162504014"
"A" "37.59021" "-122.05475" "1212353199" "B" "37.79874" "-122.42415" "1212353199" "39970.2911265026"
"A" "37.78562" "-122.40576" "1212358290" "B" "37.75176" "-122.39429" "1212358290" "3902.07542829082"
"A" "37.7725" "-122.42252" "1212359768" "B" "37.75173" "-122.39425" "1212359768" "3396.38790865427"
"A" "37.7832" "-122.41055" "1212382599" "B" "37.76264" "-122.39744" "1212382599" "2563.00827560885"
"A" "37.73725" "-122.40785" "1212383039" "B" "37.69755" "-122.3927" "1212383039" "4616.35307438936"
