"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.76289" "-122.40528" "1212297462" "B" "37.78823" "-122.43172" "1212297462" "3656.41308378934"
"A" "37.75557" "-122.38819" "1212310085" "B" "37.78261" "-122.41399" "1212310085" "3770.26200828102"
"A" "37.61756" "-122.38725" "1212339771" "B" "37.77309" "-122.43568" "1212339771" "17831.3205705072"
"A" "37.61635" "-122.38845" "1212339831" "B" "37.77309" "-122.43568" "1212339831" "17937.3329632594"
"A" "37.61234" "-122.39624" "1212339891" "B" "37.77376" "-122.43294" "1212339891" "18257.6768836731"
"A" "37.75806" "-122.4093" "1212343313" "B" "37.77226" "-122.44424" "1212343313" "3457.29277632855"
"A" "37.58655" "-122.33289" "1212347793" "B" "37.7891" "-122.40767" "1212347793" "23490.379876683"
"A" "37.76589" "-122.4312" "1212359395" "B" "37.76082" "-122.43689" "1212359395" "754.503171012705"
"A" "37.76579" "-122.43096" "1212359576" "B" "37.76178" "-122.43506" "1212359576" "573.977242987792"
"A" "37.74324" "-122.40605" "1212378960" "B" "37.80382" "-122.41541" "1212378960" "6793.84064807864"
"A" "37.6137" "-122.39718" "1212380983" "B" "37.79924" "-122.40778" "1212380983" "20675.3053445783"
"A" "37.73725" "-122.40785" "1212383039" "B" "37.78865" "-122.4283" "1212383039" "5998.17313273339"
"A" "37.78347" "-122.43989" "1212385959" "B" "37.7809" "-122.40853" "1212385959" "2773.87271715768"
"A" "37.7844" "-122.43282" "1212387017" "B" "37.80837" "-122.41002" "1212387017" "3338.01127560196"
"A" "37.78084" "-122.39973" "1212389921" "B" "37.79013" "-122.42124" "1212389921" "2156.52489645324"
"A" "37.75765" "-122.40441" "1212390361" "B" "37.78982" "-122.42178" "1212390361" "3893.6659513912"
"A" "37.75063" "-122.39338" "1212390362" "B" "37.78976" "-122.42191" "1212390362" "5027.59944124801"
"A" "37.75062" "-122.39339" "1212390363" "B" "37.78988" "-122.42202" "1212390363" "5044.5306965975"
"A" "37.786" "-122.39698" "1212416122" "B" "37.76969" "-122.44923" "1212416122" "4942.80994091176"
"A" "37.79422" "-122.39493" "1212418120" "B" "37.76375" "-122.43307" "1212418120" "4771.37066397436"
"A" "37.79122" "-122.40695" "1212421058" "B" "37.76424" "-122.38972" "1212421058" "3364.32334878617"
