"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.7264" "-122.40238" "1212292544" "B" "37.78898" "-122.40429" "1212292544" "6968.40156043157"
"A" "37.77693" "-122.40113" "1212298879" "B" "37.71678" "-122.39686" "1212298879" "6706.40804711291"
"A" "37.78455" "-122.41622" "1212300464" "B" "37.71677" "-122.39688" "1212300464" "7734.87640717269"
"A" "37.79852" "-122.4249" "1212334748" "B" "37.79866" "-122.40244" "1212334748" "1975.67299599694"
"A" "37.77393" "-122.43068" "1212336993" "B" "37.78637" "-122.4027" "1212336993" "2824.54138792975"
"A" "37.77633" "-122.42415" "1212338637" "B" "37.73592" "-122.42449" "1212338637" "4498.52015099977"
"A" "37.74793" "-122.40367" "1212343016" "B" "37.79967" "-122.41597" "1212343016" "5860.47348577471"
"A" "37.68873" "-122.1351" "1212348906" "B" "37.78577" "-122.42785" "1212348906" "27944.4140870444"
"A" "37.59904" "-122.21589" "1212353924" "B" "37.68176" "-122.38891" "1212353924" "17815.8609532702"
"A" "37.75321" "-122.43644" "1212379389" "B" "37.76904" "-122.41811" "1212379389" "2389.04863113437"
"A" "37.73606" "-122.40719" "1212382288" "B" "37.61652" "-122.38618" "1212382288" "13435.26752497"
"A" "37.77329" "-122.41221" "1212386524" "B" "37.88923" "-122.5158" "1212386524" "15796.4595970221"
"A" "37.75765" "-122.40441" "1212390361" "B" "37.7514" "-122.39529" "1212390361" "1062.24662595197"
"A" "37.75063" "-122.39338" "1212390362" "B" "37.75129" "-122.3949" "1212390362" "152.633656821317"
"A" "37.78968" "-122.39793" "1212416209" "B" "37.61778" "-122.38722" "1212416209" "19159.0550286617"
"A" "37.7914" "-122.40716" "1212421288" "B" "37.78792" "-122.45371" "1212421288" "4113.37756096547"
"A" "37.71329" "-122.39631" "1212439297" "B" "37.79031" "-122.3968" "1212439297" "8573.93565294242"
