"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.78168" "-122.40516" "1212213137" "B" "37.79967" "-122.40751" "1212213137" "2013.2797458686"
"A" "37.78664" "-122.4027" "1212214863" "B" "37.78702" "-122.41014" "1212214863" "655.901990989138"
"A" "37.76871" "-122.40764" "1212217305" "B" "37.80002" "-122.43612" "1212217305" "4292.5798935771"
"A" "37.58968" "-122.34977" "1212220262" "B" "37.75516" "-122.42094" "1212220262" "19459.2566385334"
"A" "37.76684" "-122.42997" "1212245742" "B" "37.80003" "-122.41249" "1212245742" "4001.97902769889"
"A" "37.78589" "-122.40567" "1212247836" "B" "37.78838" "-122.40718" "1212247836" "307.374154761971"
"A" "37.78573" "-122.40606" "1212247896" "B" "37.78825" "-122.40719" "1212247896" "297.619000571448"
"A" "37.78459" "-122.40463" "1212247957" "B" "37.78824" "-122.40716" "1212247957" "463.28624980097"
"A" "37.78671" "-122.40128" "1212248018" "B" "37.78824" "-122.40727" "1212248018" "553.808096656515"
"A" "37.90279" "-122.49802" "1212256871" "B" "37.78882" "-122.41061" "1212256871" "14832.481999998"
"A" "37.79747" "-122.41056" "1212287938" "B" "37.79846" "-122.4011" "1212287938" "839.38739392246"
"A" "37.79871" "-122.41713" "1212290324" "B" "37.78108" "-122.46523" "1212290324" "4664.40986441469"
"A" "37.71666" "-122.39907" "1212295468" "B" "37.78256" "-122.47071" "1212295468" "9673.59253877501"
"A" "37.577" "-122.32076" "1212347845" "B" "37.79669" "-122.42366" "1212347845" "26081.7402647021"
"A" "37.62581" "-122.08026" "1212353343" "B" "37.79818" "-122.41223" "1212353343" "34969.2862075311"
"A" "37.77993" "-122.40734" "1212357919" "B" "37.78812" "-122.44026" "1212357919" "3036.36605903862"
"A" "37.75731" "-122.43874" "1212379570" "B" "37.77381" "-122.40872" "1212379570" "3217.56563141424"
"A" "37.7553" "-122.40503" "1212422925" "B" "37.79133" "-122.39937" "1212422925" "4041.64358319462"
"A" "37.61628" "-122.38601" "1212430147" "B" "37.78551" "-122.42455" "1212430147" "19141.98046191"
"A" "37.61625" "-122.38608" "1212430570" "B" "37.78042" "-122.45875" "1212430570" "19363.8248151743"
"A" "37.64934" "-122.40662" "1212432464" "B" "37.78782" "-122.40847" "1212432464" "15416.383812244"
"A" "37.39075" "-122.02546" "1212436511" "B" "37.77954" "-122.43904" "1212436511" "56605.7392554157"
"A" "37.39075" "-122.02547" "1212436692" "B" "37.77346" "-122.43744" "1212436692" "55998.6381633114"
"A" "37.77697" "-122.40319" "1212461556" "B" "37.79352" "-122.3923" "1212461556" "2076.56195461933"
"A" "37.60465" "-122.37937" "1212464843" "B" "37.76007" "-122.42139" "1212464843" "17692.8936638141"
"A" "37.61576" "-122.38796" "1212465071" "B" "37.76173" "-122.43729" "1212465071" "16820.3435731642"
"A" "37.78109" "-122.39947" "1212466934" "B" "37.80687" "-122.41889" "1212466934" "3339.78875085537"
"A" "37.61621" "-122.38581" "1212469163" "B" "37.78507" "-122.41832" "1212469163" "19014.2498344998"
"A" "37.80508" "-122.42344" "1212476564" "B" "37.76865" "-122.42757" "1212476564" "4071.6130204236"
"A" "37.78905" "-122.41783" "1212498182" "B" "37.68564" "-122.38973" "1212498182" "11774.3467048218"
"A" "37.78691" "-122.42335" "1212498573" "B" "37.74887" "-122.41809" "1212498573" "4259.81561208146"
"A" "37.79772" "-122.43832" "1212499163" "B" "37.74829" "-122.41141" "1212499163" "5990.36798764723"
"A" "37.70619" "-122.39463" "1212500004" "B" "37.74831" "-122.41444" "1212500004" "5002.68396681096"
"A" "37.74436" "-122.39537" "1212501250" "B" "37.75183" "-122.42513" "1212501250" "2748.33750454578"
"A" "37.78282" "-122.44342" "1212502253" "B" "37.72776" "-122.43224" "1212502253" "6207.73258576799"
"A" "37.79776" "-122.40656" "1212504007" "B" "37.72891" "-122.4229" "1212504007" "7798.07554327823"
"A" "37.79477" "-122.40033" "1212504128" "B" "37.72886" "-122.42291" "1212504128" "7601.40423746685"
"A" "37.80233" "-122.40304" "1212504574" "B" "37.72875" "-122.43134" "1212504574" "8561.1233493856"
"A" "37.80065" "-122.42782" "1212507409" "B" "37.80244" "-122.43782" "1212507409" "901.866398062833"
"A" "37.7906" "-122.40708" "1212528286" "B" "37.77854" "-122.41996" "1212528286" "1756.81131283831"
"A" "37.78944" "-122.40849" "1212536123" "B" "37.7649" "-122.40231" "1212536123" "2785.37197903084"
"A" "37.78019" "-122.39018" "1212539858" "B" "37.77203" "-122.44659" "1212539858" "5045.84510896895"
"A" "37.79443" "-122.4154" "1212541759" "B" "37.79175" "-122.4094" "1212541759" "606.287921179875"
"A" "37.7914" "-122.41344" "1212541848" "B" "37.79311" "-122.4034" "1212541848" "903.488262115647"
"A" "37.75723" "-122.4096" "1212557429" "B" "37.71249" "-122.39599" "1212557429" "5122.53570917613"
"A" "37.78223" "-122.40376" "1212558689" "B" "37.7661" "-122.40171" "1212558689" "1804.62094745203"
"A" "37.81503" "-122.35637" "1212561398" "B" "37.80381" "-122.42796" "1212561398" "6418.9176068759"
"A" "37.6461" "-122.40652" "1212563369" "B" "37.78666" "-122.45681" "1212563369" "16261.6805965116"
"A" "37.78575" "-122.40135" "1212599497" "B" "37.72221" "-122.40045" "1212599497" "7073.68398275221"
"A" "37.66412" "-122.39864" "1212612548" "B" "37.77155" "-122.41943" "1212612548" "12098.3658085783"
"A" "37.73339" "-122.40559" "1212623106" "B" "37.78267" "-122.48818" "1212623106" "9106.50617699644"
"A" "37.77631" "-122.41482" "1212624070" "B" "37.79309" "-122.42953" "1212624070" "2272.45231694391"
"A" "37.78608" "-122.42555" "1212624699" "B" "37.80606" "-122.41858" "1212624699" "2307.12126417653"
"A" "37.79277" "-122.3965" "1212626589" "B" "37.7824" "-122.42748" "1212626589" "2959.84241562701"
"A" "37.7766" "-122.40378" "1212635124" "B" "37.61489" "-122.39095" "1212635124" "18036.9135584748"
"A" "37.76618" "-122.42213" "1212643947" "B" "37.78833" "-122.42211" "1212643947" "2465.72734901291"
"A" "37.7623" "-122.4218" "1212644008" "B" "37.78836" "-122.42376" "1212644008" "2906.10758472274"
"A" "37.76015" "-122.42151" "1212644068" "B" "37.7889" "-122.42661" "1212644068" "3231.74288287665"
"A" "37.75983" "-122.42141" "1212644128" "B" "37.78822" "-122.43138" "1212644128" "3279.85871115188"
"A" "37.80115" "-122.4262" "1212653726" "B" "37.74886" "-122.41821" "1212653726" "5863.19801102775"
"A" "37.7968" "-122.43751" "1212666706" "B" "37.76488" "-122.44766" "1212666706" "3663.81742321311"
"A" "37.79177" "-122.42093" "1212667201" "B" "37.78038" "-122.43294" "1212667201" "1650.46538902829"
"A" "37.79113" "-122.42425" "1212689935" "B" "37.77027" "-122.45248" "1212689935" "3400.18746533159"
"A" "37.72552" "-122.40179" "1212700319" "B" "37.79032" "-122.40755" "1212700319" "7231.29377850108"
"A" "37.61644" "-122.38562" "1212715076" "B" "37.78683" "-122.42776" "1212715076" "19327.4489900587"
"A" "37.76587" "-122.40484" "1212724011" "B" "37.77453" "-122.40127" "1212724011" "1013.91973506532"
"A" "37.78099" "-122.46396" "1212729793" "B" "37.77937" "-122.41103" "1212729793" "4660.44379469312"
