"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.76409" "-122.43304" "1212254907" "B" "37.8084" "-122.4099" "1212254907" "5336.15531928462"
"A" "37.76401" "-122.43308" "1212254967" "B" "37.8084" "-122.41042" "1212254967" "5328.44633904611"
"A" "37.79326" "-122.41388" "1212261185" "B" "37.79969" "-122.43938" "1212261185" "2354.51629358532"
"A" "37.78369" "-122.40335" "1212270004" "B" "37.78704" "-122.42348" "1212270004" "1809.81620147185"
"A" "37.60455" "-122.37908" "1212276501" "B" "37.78336" "-122.42767" "1212276501" "20360.0013892545"
"A" "37.64051" "-122.40559" "1212278943" "B" "37.77956" "-122.49459" "1212278943" "17350.2679218768"
"A" "37.62712" "-122.40191" "1212281507" "B" "37.74491" "-122.42034" "1212281507" "13212.4587877071"
"A" "37.77455" "-122.45478" "1212285255" "B" "37.78395" "-122.4109" "1212285255" "4000.04720383961"
"A" "37.7841" "-122.43955" "1212286086" "B" "37.80813" "-122.41795" "1212286086" "3281.12363567355"
"A" "37.80044" "-122.40963" "1212287817" "B" "37.78728" "-122.43353" "1212287817" "2562.46963528963"
"A" "37.79245" "-122.4229" "1212288112" "B" "37.79499" "-122.42758" "1212288112" "499.433600203926"
"A" "37.78683" "-122.43367" "1212289387" "B" "37.79026" "-122.40218" "1212289387" "2796.46858657357"
"A" "37.75677" "-122.41905" "1212301991" "B" "37.75705" "-122.4192" "1212301991" "33.8499395030661"
"A" "37.749" "-122.42697" "1212308945" "B" "37.79437" "-122.42693" "1212308945" "5050.56652374006"
"A" "37.75928" "-122.40931" "1212343256" "B" "37.75577" "-122.40322" "1212343256" "663.285705648137"
"A" "37.54611" "-122.31994" "1212370773" "B" "37.79331" "-122.44147" "1212370773" "29528.3418045315"
"A" "37.7964" "-122.40473" "1212388238" "B" "37.77484" "-122.4009" "1212388238" "2423.58566384401"
"A" "37.39076" "-122.02548" "1212436711" "B" "37.79229" "-122.39535" "1212436711" "55338.1832714566"
"A" "37.44495" "-122.11901" "1212437315" "B" "37.78929" "-122.40325" "1212437315" "45798.3936353666"
"A" "37.77553" "-122.40184" "1212442660" "B" "37.7712" "-122.40586" "1212442660" "597.878316660768"
"A" "37.77401" "-122.4083" "1212442781" "B" "37.77595" "-122.40477" "1212442781" "378.302379934167"
"A" "37.77286" "-122.41255" "1212442963" "B" "37.78538" "-122.39178" "1212442963" "2298.25721886181"
"A" "37.77267" "-122.41263" "1212446192" "B" "37.85168" "-122.28926" "1212446192" "13966.9676476537"
"A" "37.7727" "-122.41265" "1212446252" "B" "37.85143" "-122.29017" "1212446252" "13886.5721225601"
"A" "37.78109" "-122.39608" "1212461622" "B" "37.79221" "-122.4034" "1212461622" "1395.36391637561"
"A" "37.82171" "-122.32705" "1212472468" "B" "37.80497" "-122.42026" "1212472468" "8406.38443154455"
"A" "37.78768" "-122.42003" "1212473701" "B" "37.78517" "-122.46136" "1212473701" "3646.76037981791"
"A" "37.79066" "-122.41995" "1212473761" "B" "37.78521" "-122.46127" "1212473761" "3685.36667842018"
"A" "37.78314" "-122.48061" "1212491739" "B" "37.80654" "-122.41641" "1212491739" "6219.20825926038"
"A" "37.78381" "-122.48288" "1212492099" "B" "37.79747" "-122.41001" "1212492099" "6588.31806758057"
"A" "37.7857" "-122.45851" "1212492643" "B" "37.78365" "-122.4024" "1212492643" "4941.71186430113"
"A" "37.79351" "-122.43426" "1212497661" "B" "37.61483" "-122.38537" "1212497661" "20351.3033909615"
"A" "37.78713" "-122.43358" "1212498007" "B" "37.61624" "-122.38421" "1212498007" "19514.0287610045"
"A" "37.79705" "-122.40195" "1212504524" "B" "37.44914" "-122.12337" "1212504524" "45861.2312299598"
"A" "37.80493" "-122.42352" "1212510185" "B" "37.61652" "-122.38615" "1212510185" "21230.334537007"
"A" "37.78999" "-122.39628" "1212523791" "B" "37.61624" "-122.38853" "1212523791" "19353.8020555775"
"A" "37.7812" "-122.40463" "1212537598" "B" "37.75657" "-122.46564" "1212537598" "6028.28049306442"
"A" "37.80157" "-122.41273" "1212538362" "B" "37.74843" "-122.45924" "1212538362" "7193.12057879076"
"A" "37.79367" "-122.40558" "1212542084" "B" "37.78481" "-122.42102" "1212542084" "1678.61080720304"
"A" "37.79033" "-122.42288" "1212542506" "B" "37.77295" "-122.41249" "1212542506" "2139.81789838091"
"A" "37.80312" "-122.41308" "1212553251" "B" "37.79283" "-122.39834" "1212553251" "1730.0834749957"
