"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.77154" "-122.39816" "1212803399" "B" "37.78377" "-122.40555" "1212803399" "1508.73977868919"
"A" "37.61384" "-122.39427" "1212805244" "B" "37.77884" "-122.40607" "1212805244" "18397.1002214859"
"A" "37.78129" "-122.4201" "1212807822" "B" "37.77538" "-122.43798" "1212807822" "1705.20515891197"
"A" "37.78134" "-122.42006" "1212807995" "B" "37.7721" "-122.43565" "1212807995" "1714.53371935786"
"A" "37.78739" "-122.4036" "1212808956" "B" "37.76871" "-122.41303" "1212808956" "2238.86495986464"
"A" "37.79408" "-122.39961" "1212813042" "B" "37.77153" "-122.41367" "1212813042" "2798.49032276403"
"A" "37.79324" "-122.39669" "1212813102" "B" "37.77145" "-122.4136" "1212813102" "2845.55717705364"
"A" "37.7925" "-122.39746" "1212813282" "B" "37.77366" "-122.41183" "1212813282" "2448.85157069117"
"A" "37.7717" "-122.43351" "1212814373" "B" "37.76123" "-122.43034" "1212814373" "1198.43368608573"
"A" "37.7631" "-122.42409" "1212814716" "B" "37.76179" "-122.4452" "1212814716" "1863.48666686143"
"A" "37.76701" "-122.4356" "1212815330" "B" "37.75159" "-122.4443" "1212815330" "1879.56997109757"
"A" "37.78101" "-122.4283" "1212821672" "B" "37.73492" "-122.41104" "1212821672" "5350.86383413432"
"A" "37.77469" "-122.43606" "1212822081" "B" "37.77662" "-122.39564" "1212822081" "3562.98412354268"
"A" "37.76315" "-122.39179" "1212823069" "B" "37.77744" "-122.39452" "1212823069" "1608.79204785473"
"A" "37.7866" "-122.43339" "1212824727" "B" "37.78855" "-122.42199" "1212824727" "1026.13183852728"
"A" "37.7776" "-122.3937" "1212827450" "B" "37.76712" "-122.43561" "1212827450" "3867.90054139384"
"A" "37.7798" "-122.38979" "1212827571" "B" "37.77584" "-122.43792" "1212827571" "4257.65136854802"
"A" "37.77681" "-122.39549" "1212827705" "B" "37.77475" "-122.4379" "1212827705" "3738.63123507619"
"A" "37.7765" "-122.39374" "1212829440" "B" "37.75138" "-122.39522" "1212829440" "2799.37711173692"
"A" "37.77836" "-122.39233" "1212829500" "B" "37.75139" "-122.39525" "1212829500" "3013.26332482028"
"A" "37.77839" "-122.39234" "1212829621" "B" "37.75127" "-122.39492" "1212829621" "3027.51001546495"
"A" "37.78669" "-122.42107" "1212863722" "B" "37.61638" "-122.38612" "1212863722" "19207.1017735518"
"A" "37.79207" "-122.41083" "1212867684" "B" "37.61506" "-122.39015" "1212867684" "19788.6623213882"
"A" "37.79058" "-122.40879" "1212868592" "B" "37.5495" "-122.27855" "1212868592" "29187.6201743623"
"A" "37.79042" "-122.40776" "1212869621" "B" "37.61508" "-122.39019" "1212869621" "19580.0069795311"
"A" "37.78407" "-122.39854" "1212870444" "B" "37.52417" "-122.26777" "1212870444" "31142.9869475653"
"A" "37.78198" "-122.42401" "1212872134" "B" "37.37685" "-122.06366" "1212872134" "55177.3696809825"
"A" "37.79434" "-122.41225" "1212890669" "B" "37.80545" "-122.42321" "1212890669" "1568.10257524577"
"A" "37.80281" "-122.41365" "1212890963" "B" "37.7926" "-122.42113" "1212890963" "1313.28043317202"
"A" "37.78831" "-122.41015" "1212892276" "B" "37.78532" "-122.41012" "1212892276" "332.855741173846"
"A" "37.76702" "-122.4356" "1212897972" "B" "37.79782" "-122.40637" "1212897972" "4285.91567903105"
"A" "37.78714" "-122.4392" "1212900808" "B" "37.79802" "-122.40752" "1212900808" "3038.64865480379"
"A" "37.749" "-122.40596" "1212907735" "B" "37.79972" "-122.43609" "1212907735" "6237.57052617864"
"A" "37.76895" "-122.42227" "1212908485" "B" "37.77552" "-122.43625" "1212908485" "1431.13251153357"
"A" "37.7875" "-122.41434" "1212908939" "B" "37.79" "-122.4206" "1212908939" "617.035736025383"
"A" "37.80395" "-122.3717" "1212911289" "B" "37.61664" "-122.3979" "1212911289" "20978.5267615291"
"A" "37.79224" "-122.3944" "1212918084" "B" "37.76996" "-122.44731" "1212918084" "5274.62526102551"
"A" "37.7856" "-122.41355" "1212921299" "B" "37.79536" "-122.43506" "1212921299" "2181.98706883307"
"A" "37.82754" "-122.29626" "1212974685" "B" "37.76433" "-122.43263" "1212974685" "13907.1775709793"
"A" "37.82462" "-122.31387" "1212974988" "B" "37.77096" "-122.43864" "1212974988" "12495.3322831125"
"A" "37.76471" "-122.41973" "1212981687" "B" "37.7765" "-122.42295" "1212981687" "1342.69354709259"
"A" "37.74841" "-122.41593" "1212981992" "B" "37.75399" "-122.40308" "1212981992" "1290.3748363524"
"A" "37.78762" "-122.4214" "1212985972" "B" "37.76182" "-122.4766" "1212985972" "5642.64202066307"
"A" "37.78559" "-122.42465" "1212988752" "B" "37.78414" "-122.44081" "1212988752" "1430.85279810567"
"A" "37.77432" "-122.4584" "1212990677" "B" "37.78824" "-122.40748" "1212990677" "4740.4557117894"
"A" "37.76361" "-122.4151" "1212993084" "B" "37.7804" "-122.39914" "1212993084" "2337.86507562039"
"A" "37.76994" "-122.42141" "1212994951" "B" "37.73901" "-122.40045" "1212994951" "3906.17401704055"
"A" "37.82679" "-122.28544" "1212997751" "B" "37.77517" "-122.43663" "1212997751" "14486.8434371514"
"A" "37.79575" "-122.23131" "1212998804" "B" "37.74721" "-122.4888" "1212998804" "23292.8730734828"
"A" "37.80087" "-122.42613" "1213005235" "B" "37.80653" "-122.36879" "1213005235" "5082.55877191252"
"A" "37.86806" "-122.50706" "1213005832" "B" "37.81093" "-122.24834" "1213005832" "23617.1269444434"
"A" "37.76119" "-122.39755" "1213015573" "B" "37.6179" "-122.38694" "1213015573" "15978.3290766136"
"A" "37.77986" "-122.39459" "1213016170" "B" "37.71919" "-122.39958" "1213016170" "6768.02033134746"
"A" "37.79171" "-122.40766" "1213017500" "B" "37.78253" "-122.40376" "1213017500" "1077.97278387577"
"A" "37.79229" "-122.40863" "1213018785" "B" "37.79086" "-122.41058" "1213018785" "234.022938663158"
"A" "37.7919" "-122.41081" "1213018907" "B" "37.78621" "-122.40766" "1213018907" "691.373789847033"
"A" "37.79193" "-122.41082" "1213019148" "B" "37.75943" "-122.40616" "1213019148" "3641.0441790359"
"A" "37.79184" "-122.41104" "1213020780" "B" "37.7193" "-122.39936" "1213020780" "8140.28573491358"
"A" "37.79156" "-122.40251" "1213021090" "B" "37.77459" "-122.40065" "1213021090" "1896.16626890055"
"A" "37.78832" "-122.40178" "1213023088" "B" "37.78898" "-122.43293" "1213023088" "2741.34888131541"
"A" "37.6336" "-122.41961" "1213034042" "B" "37.78307" "-122.42094" "1213034042" "16639.3365620781"
