"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.78963" "-122.42032" "1212293148" "B" "37.78745" "-122.40787" "1212293148" "1121.83016556728"
"A" "37.79003" "-122.411" "1212293450" "B" "37.78518" "-122.41092" "1212293450" "539.945400620536"
"A" "37.77506" "-122.4068" "1212294284" "B" "37.78395" "-122.41937" "1212294284" "1484.08712878764"
"A" "37.78691" "-122.41823" "1212294839" "B" "37.78215" "-122.40106" "1212294839" "1600.82358194992"
"A" "37.78697" "-122.41802" "1212295323" "B" "37.78988" "-122.41044" "1212295323" "741.357345388195"
"A" "37.76218" "-122.47714" "1212302661" "B" "37.60879" "-122.3893" "1212302661" "18746.9342039207"
"A" "37.70989" "-122.45766" "1212303674" "B" "37.6493" "-122.45177" "1212303674" "6764.78068122174"
"A" "37.79004" "-122.4254" "1212327759" "B" "37.80665" "-122.41341" "1212327759" "2128.65458538551"
"A" "37.78885" "-122.41039" "1212332871" "B" "37.80673" "-122.41226" "1212332871" "1997.17777674739"
"A" "37.77423" "-122.42411" "1212350593" "B" "37.78173" "-122.4073" "1212350593" "1698.41638035479"
"A" "37.76832" "-122.42223" "1212355099" "B" "37.75714" "-122.41741" "1212355099" "1314.85268266546"
"A" "37.7858" "-122.40971" "1212360638" "B" "37.75175" "-122.39426" "1212360638" "4026.87571211664"
"A" "37.76526" "-122.43183" "1212364114" "B" "37.75171" "-122.39428" "1212364114" "3632.70103232054"
"A" "37.76057" "-122.43504" "1212364337" "B" "37.75172" "-122.39428" "1212364337" "3720.18118144378"
"A" "37.68719" "-122.39013" "1212367236" "B" "37.76141" "-122.41939" "1212367236" "8654.49789392715"
"A" "37.7905" "-122.42096" "1212370999" "B" "37.60058" "-122.38203" "1212370999" "21418.0846204616"
"A" "37.79134" "-122.41426" "1212371120" "B" "37.60058" "-122.38204" "1212371120" "21424.1152559236"
"A" "37.75254" "-122.41404" "1212390361" "B" "37.76605" "-122.43549" "1212390361" "2413.60400765274"
"A" "37.75257" "-122.41404" "1212390362" "B" "37.773" "-122.43732" "1212390362" "3060.97180441212"
"A" "37.75277" "-122.41357" "1212390363" "B" "37.77771" "-122.43282" "1212390363" "3252.32066548619"
"A" "37.75607" "-122.41885" "1212390915" "B" "37.78504" "-122.4093" "1212390915" "3332.61647520593"
"A" "37.78753" "-122.40623" "1212391720" "B" "37.78919" "-122.40344" "1212391720" "307.231612336785"
"A" "37.78697" "-122.41062" "1212391961" "B" "37.7835" "-122.40924" "1212391961" "404.908910777531"
"A" "37.62702" "-122.40189" "1212434363" "B" "37.7868" "-122.41134" "1212434363" "17806.0890764344"
"A" "37.79422" "-122.3967" "1212437862" "B" "37.7649" "-122.41976" "1212437862" "3843.10291964755"
"A" "37.77823" "-122.42773" "1212438957" "B" "37.61477" "-122.38971" "1212438957" "18501.8891872493"
"A" "37.61788" "-122.38543" "1212441159" "B" "37.6165" "-122.38616" "1212441159" "166.561597265071"
"A" "37.76604" "-122.43072" "1212467277" "B" "37.75695" "-122.41884" "1212467277" "1454.9951455591"
