"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.70989" "-122.45766" "1212303674" "B" "37.80029" "-122.41135" "1212303674" "10857.3702295327"
"A" "37.75693" "-122.41895" "1212305586" "B" "37.78588" "-122.41977" "1212305586" "3223.50691476765"
"A" "37.76444" "-122.45998" "1212310838" "B" "37.79959" "-122.40878" "1212310838" "5966.76839446852"
"A" "37.76053" "-122.44065" "1212311960" "B" "37.79106" "-122.40096" "1212311960" "4873.014354485"
"A" "37.77311" "-122.42383" "1212325648" "B" "37.74566" "-122.41978" "1212325648" "3076.43769528122"
"A" "37.64018" "-122.40556" "1212326766" "B" "37.75164" "-122.42939" "1212326766" "12583.9661499467"
"A" "37.78976" "-122.42687" "1212329487" "B" "37.67207" "-122.46697" "1212329487" "13568.5470105624"
"A" "37.79008" "-122.42415" "1212330525" "B" "37.7642" "-122.46165" "1212330525" "4380.25265956571"
"A" "37.79016" "-122.42045" "1212330585" "B" "37.76528" "-122.45405" "1212330585" "4051.02012526606"
"A" "37.78868" "-122.41161" "1212330827" "B" "37.7713" "-122.43677" "1212330827" "2939.98302096058"
"A" "37.79491" "-122.43023" "1212334176" "B" "37.78791" "-122.41179" "1212334176" "1799.61869715786"
"A" "37.78881" "-122.41346" "1212343108" "B" "37.77521" "-122.45138" "1212343108" "3663.67871708364"
"A" "37.7893" "-122.43098" "1212343437" "B" "37.77387" "-122.43146" "1212343437" "1718.17882164205"
"A" "37.7758" "-122.42388" "1212345374" "B" "37.76007" "-122.42361" "1212345374" "1751.21677400458"
"A" "37.768" "-122.4048" "1212352905" "B" "37.78479" "-122.46479" "1212352905" "5599.52811587631"
"A" "37.79921" "-122.4036" "1212362266" "B" "37.79717" "-122.40073" "1212362266" "339.56128791983"
"A" "37.79921" "-122.4037" "1212362399" "B" "37.7943" "-122.39678" "1212362399" "818.091160128548"
"A" "37.7697" "-122.42392" "1212363993" "B" "37.78765" "-122.40741" "1212363993" "2470.40187406868"
"A" "37.76526" "-122.43183" "1212364114" "B" "37.78846" "-122.4043" "1212364114" "3540.81388644892"
"A" "37.79966" "-122.4226" "1212369116" "B" "37.75444" "-122.40642" "1212369116" "5231.30392210247"
"A" "37.78262" "-122.42068" "1212370700" "B" "37.75169" "-122.40635" "1212370700" "3666.76913063529"
"A" "37.73957" "-122.41459" "1212376273" "B" "37.79108" "-122.41746" "1212376273" "5739.62646113771"
"A" "37.67757" "-122.38826" "1212381345" "B" "37.78594" "-122.39909" "1212381345" "12101.3148933456"
"A" "37.7925" "-122.39996" "1212386956" "B" "37.80838" "-122.40988" "1212386956" "1971.3710818364"
"A" "37.75254" "-122.41404" "1212390361" "B" "37.78982" "-122.42178" "1212390361" "4205.50625531621"
"A" "37.75257" "-122.41404" "1212390362" "B" "37.78976" "-122.42191" "1212390362" "4197.49219215729"
"A" "37.75277" "-122.41357" "1212390363" "B" "37.78988" "-122.42202" "1212390363" "4197.44823195675"
"A" "37.80317" "-122.43328" "1212393797" "B" "37.7896" "-122.42231" "1212393797" "1792.50820214476"
"A" "37.8045" "-122.43363" "1212393920" "B" "37.7896" "-122.42237" "1212393920" "1931.88399423228"
"A" "37.76221" "-122.50601" "1212396089" "B" "37.79837" "-122.40708" "1212396089" "9589.87508887243"
"A" "37.77167" "-122.43388" "1212397893" "B" "37.79782" "-122.40549" "1212397893" "3835.67520594155"
"A" "37.79813" "-122.42722" "1212400721" "B" "37.72066" "-122.43784" "1212400721" "8674.42062049045"
"A" "37.7383" "-122.40113" "1212433300" "B" "37.61649" "-122.38611" "1212433300" "13624.2486092478"
"A" "37.6418" "-122.40592" "1212445157" "B" "37.80839" "-122.40999" "1212445157" "18548.1761057754"
"A" "37.79274" "-122.40318" "1212446179" "B" "37.80292" "-122.40112" "1212446179" "1147.6279666267"
"A" "37.77825" "-122.44703" "1212462908" "B" "37.79445" "-122.39658" "1212462908" "4790.76400157064"
"A" "37.7324" "-122.44359" "1212476564" "B" "37.80016" "-122.4125" "1212476564" "8023.85198247211"
"A" "37.73236" "-122.44358" "1212479877" "B" "37.79773" "-122.40637" "1212479877" "7979.76184774297"
"A" "37.73233" "-122.44362" "1212480721" "B" "37.77579" "-122.43285" "1212480721" "4929.93448108976"
"A" "37.76787" "-122.42837" "1212483056" "B" "37.76082" "-122.43559" "1212483056" "1009.76055171836"
"A" "37.76097" "-122.43507" "1212485192" "B" "37.77192" "-122.44063" "1212485192" "1313.47934141346"
"A" "37.7218" "-122.46028" "1212491231" "B" "37.7684" "-122.39701" "1212491231" "7611.01755627652"
"A" "37.759" "-122.39614" "1212496975" "B" "37.78451" "-122.4498" "1212496975" "5509.88831453446"
"A" "37.61495" "-122.39074" "1212497752" "B" "37.79154" "-122.41371" "1212497752" "19761.7360716013"
"A" "37.77949" "-122.49729" "1212510470" "B" "37.79786" "-122.42946" "1212510470" "6307.88896817621"
"A" "37.79308" "-122.39691" "1212514715" "B" "37.78889" "-122.4036" "1212514715" "750.941888372619"
"A" "37.77008" "-122.39735" "1212540818" "B" "37.76539" "-122.42643" "1212540818" "2611.69933500229"
"A" "37.79462" "-122.39731" "1212547401" "B" "37.79345" "-122.4213" "1212547401" "2114.33781900656"
"A" "37.78657" "-122.45275" "1212548680" "B" "37.75134" "-122.39454" "1212548680" "6451.21531354677"
"A" "37.73974" "-122.40812" "1212551795" "B" "37.78091" "-122.41214" "1212551795" "4596.65851466445"
"A" "37.7502" "-122.47603" "1212562884" "B" "37.75282" "-122.40923" "1212562884" "5886.78924547476"
"A" "37.77055" "-122.40007" "1212584061" "B" "37.75172" "-122.39452" "1212584061" "2152.29986756134"
"A" "37.80462" "-122.41417" "1212635048" "B" "37.78633" "-122.45312" "1212635048" "3985.5415348854"
"A" "37.79001" "-122.40421" "1212686018" "B" "37.7763" "-122.42777" "1212686018" "2574.05602269311"
"A" "37.792" "-122.41083" "1212686994" "B" "37.77673" "-122.39534" "1212686994" "2178.68397372819"
"A" "37.78323" "-122.3939" "1212690319" "B" "37.741" "-122.38811" "1212690319" "4728.55658349041"
"A" "37.78411" "-122.38925" "1212690379" "B" "37.74172" "-122.3894" "1212690379" "4718.85167847252"
"A" "37.78604" "-122.40985" "1212691626" "B" "37.74989" "-122.42044" "1212691626" "4130.69164829108"
"A" "37.7583" "-122.40501" "1212696604" "B" "37.77589" "-122.41421" "1212696604" "2118.8744101771"
"A" "37.75483" "-122.40304" "1212702718" "B" "37.78317" "-122.4122" "1212702718" "3256.13906043816"
"A" "37.77217" "-122.41371" "1212716398" "B" "37.7514" "-122.39373" "1212716398" "2904.75512572842"
"A" "37.78652" "-122.41329" "1212718657" "B" "37.75139" "-122.39374" "1212718657" "4272.32492593469"
"A" "37.78562" "-122.42248" "1212735767" "B" "37.74826" "-122.41266" "1212735767" "4247.72562490554"
"A" "37.78569" "-122.42239" "1212735768" "B" "37.75425" "-122.40919" "1212735768" "3687.59637146592"
"A" "37.79082" "-122.42076" "1212743442" "B" "37.73152" "-122.44642" "1212743442" "6976.82239405477"
"A" "37.75954" "-122.39252" "1212744533" "B" "37.72516" "-122.40279" "1212744533" "3932.49179738697"
"A" "37.79235" "-122.39792" "1212773123" "B" "37.48768" "-122.20683" "1212773123" "37868.3538829559"
"A" "37.7795" "-122.41854" "1212777760" "B" "37.77949" "-122.39218" "1212777760" "2319.26022848035"
"A" "37.7931" "-122.40361" "1212781029" "B" "37.80622" "-122.4183" "1212781029" "1950.05200392291"
"A" "37.77955" "-122.40676" "1212784501" "B" "37.79552" "-122.40323" "1212784501" "1804.69263788973"
"A" "37.73178" "-122.42191" "1212803590" "B" "37.79818" "-122.45034" "1212803590" "7803.54741326543"
"A" "37.70478" "-122.47209" "1212804182" "B" "37.80351" "-122.43176" "1212804182" "11549.5650117717"
"A" "37.69063" "-122.47047" "1212804242" "B" "37.80382" "-122.42744" "1212804242" "13157.2158744857"
"A" "37.77116" "-122.43776" "1212815442" "B" "37.79995" "-122.43567" "1212815442" "3210.15837000221"
"A" "37.77036" "-122.44438" "1212815502" "B" "37.79895" "-122.44424" "1212815502" "3182.6480752057"
"A" "37.76878" "-122.44917" "1212815615" "B" "37.7999" "-122.44451" "1212815615" "3488.43771656842"
