"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.61513" "-122.39019" "1212290258" "B" "37.78313" "-122.39693" "1212290258" "18711.0944354267"
"A" "37.78005" "-122.3898" "1212299677" "B" "37.71675" "-122.39686" "1212299677" "7073.87240020373"
"A" "37.76088" "-122.4352" "1212312081" "B" "37.71674" "-122.39686" "1212312081" "5961.17581122261"
"A" "37.77709" "-122.40389" "1212313611" "B" "37.77227" "-122.41053" "1212313611" "793.251072427824"
"A" "37.78906" "-122.41052" "1212340734" "B" "37.77123" "-122.42405" "1212340734" "2314.43764896776"
"A" "37.75544" "-122.41865" "1212357920" "B" "37.78414" "-122.43106" "1212357920" "3376.34568950049"
"A" "37.75539" "-122.41746" "1212375902" "B" "37.74291" "-122.42161" "1212375902" "1436.48726679591"
"A" "37.61626" "-122.38614" "1212379028" "B" "37.79835" "-122.42649" "1212379028" "20579.3058031418"
"A" "37.85014" "-122.23907" "1212384480" "B" "37.63853" "-122.3986" "1212384480" "27424.4207106503"
"A" "37.75254" "-122.41404" "1212390361" "B" "37.7514" "-122.39529" "1212390361" "1655.18740583722"
"A" "37.75257" "-122.41404" "1212390362" "B" "37.75129" "-122.3949" "1212390362" "1690.6579903152"
"A" "37.7444" "-122.39508" "1212409396" "B" "37.75145" "-122.39351" "1212409396" "796.876648321192"
"A" "37.80288" "-122.4198" "1212413517" "B" "37.76933" "-122.4074" "1212413517" "3890.83180641412"
"A" "37.7379" "-122.46905" "1212427223" "B" "37.77604" "-122.42614" "1212427223" "5682.29575457518"
"A" "37.77173" "-122.40193" "1212432995" "B" "37.79167" "-122.40411" "1212432995" "2227.981691319"
"A" "37.79406" "-122.39734" "1212437737" "B" "37.7753" "-122.42267" "1212437737" "3054.07009177182"
"A" "37.77755" "-122.41967" "1212438776" "B" "37.76015" "-122.39226" "1212438776" "3093.46224611034"
"A" "37.77587" "-122.43807" "1212465490" "B" "37.78753" "-122.39399" "1212465490" "4089.66631555491"
"A" "37.76165" "-122.44856" "1212469280" "B" "37.79054" "-122.40801" "1212469280" "4803.41782392213"
"A" "37.7324" "-122.44359" "1212476564" "B" "37.61653" "-122.38608" "1212476564" "13858.1938885516"
"A" "37.73234" "-122.4436" "1212480418" "B" "37.62294" "-122.40048" "1212480418" "12757.1694086902"
"A" "37.73235" "-122.4436" "1212481277" "B" "37.77823" "-122.42154" "1212481277" "5463.93388955876"
"A" "37.7929" "-122.39793" "1212518754" "B" "37.7881" "-122.41123" "1212518754" "1286.25219971865"
"A" "37.79334" "-122.39795" "1212528467" "B" "37.76134" "-122.41707" "1212528467" "3939.49051589216"
"A" "37.78756" "-122.40769" "1212529764" "B" "37.77878" "-122.46092" "1212529764" "4784.06300597693"
"A" "37.78439" "-122.47377" "1212531826" "B" "37.7961" "-122.39505" "1212531826" "7046.71757830773"
"A" "37.79567" "-122.40356" "1212533352" "B" "37.63241" "-122.39911" "1212533352" "18178.2444568478"
"A" "37.77452" "-122.40058" "1212540938" "B" "37.78827" "-122.42382" "1212540938" "2554.14452369099"
"A" "37.79661" "-122.39524" "1212541738" "B" "37.79088" "-122.40283" "1212541738" "923.390426635539"
"A" "37.79215" "-122.40511" "1212548075" "B" "37.78998" "-122.4238" "1212548075" "1661.81545114541"
"A" "37.77339" "-122.42792" "1212551405" "B" "37.61444" "-122.39323" "1212551405" "17956.1452904707"
"A" "37.75277" "-122.40303" "1212551734" "B" "37.615" "-122.39014" "1212551734" "15378.4703534662"
"A" "37.77953" "-122.50836" "1212560625" "B" "37.7756" "-122.42534" "1212560625" "7317.71671361101"
"A" "37.7502" "-122.47603" "1212562884" "B" "37.77522" "-122.40607" "1212562884" "6757.45056831185"
"A" "37.76937" "-122.44413" "1212565394" "B" "37.60683" "-122.38736" "1212565394" "18772.2756594407"
"A" "37.76558" "-122.43127" "1212568243" "B" "37.40983" "-122.07239" "1212568243" "50700.0632114319"
"A" "37.75547" "-122.42102" "1212568600" "B" "37.47996" "-122.17394" "1212568600" "37620.1973277202"
"A" "37.76163" "-122.42363" "1212568962" "B" "37.53744" "-122.28121" "1212568962" "27935.7676085074"
"A" "37.75513" "-122.41865" "1212614424" "B" "37.61626" "-122.38615" "1212614424" "15721.8358896078"
"A" "37.80262" "-122.40678" "1212617262" "B" "37.69164" "-122.39108" "1212617262" "12431.2899721102"
"A" "37.7802" "-122.41277" "1212619721" "B" "37.78538" "-122.41628" "1212619721" "654.119013096335"
"A" "37.76348" "-122.39308" "1212623199" "B" "37.78302" "-122.41402" "1212623199" "2850.68083959499"
"A" "37.79717" "-122.43498" "1212636475" "B" "37.77985" "-122.39995" "1212636475" "3635.14807814237"
"A" "37.7154" "-122.44177" "1212649554" "B" "37.78435" "-122.40853" "1212649554" "8214.19841402551"
"A" "37.7082" "-122.44178" "1212649555" "B" "37.78539" "-122.39678" "1212649555" "9461.77361234743"
"A" "37.71294" "-122.44436" "1212649556" "B" "37.78864" "-122.39287" "1212649556" "9568.27785425714"
"A" "37.78836" "-122.40167" "1212671424" "B" "37.76147" "-122.42612" "1212671424" "3686.27316338"
"A" "37.78558" "-122.40527" "1212673473" "B" "37.74506" "-122.50372" "1212673473" "9767.58156873416"
"A" "37.61653" "-122.38616" "1212680568" "B" "37.77294" "-122.40751" "1212680568" "17512.749186291"
"A" "37.79301" "-122.39793" "1212688327" "B" "37.78318" "-122.43254" "1212688327" "3235.44091076575"
"A" "37.79429" "-122.42284" "1212689622" "B" "37.79095" "-122.43253" "1212689622" "929.973373921587"
"A" "37.79147" "-122.40747" "1212691254" "B" "37.76607" "-122.40526" "1212691254" "2834.19317683303"
"A" "37.61628" "-122.38631" "1212694200" "B" "37.78802" "-122.397" "1212694200" "19141.179793171"
"A" "37.73019" "-122.40349" "1212708321" "B" "37.7517" "-122.39431" "1212708321" "2527.1712792197"
"A" "37.69343" "-122.39171" "1212725807" "B" "37.79053" "-122.4057" "1212725807" "10879.0521016373"
"A" "37.74296" "-122.39696" "1212732782" "B" "37.7607" "-122.43812" "1212732782" "4126.06269005822"
"A" "37.7746" "-122.40071" "1212734477" "B" "37.75062" "-122.39341" "1212734477" "2745.65731384655"
"A" "37.77814" "-122.40507" "1212769633" "B" "37.76417" "-122.40346" "1212769633" "1561.57293120454"
"A" "37.79238" "-122.39823" "1212773380" "B" "37.7758" "-122.41842" "1212773380" "2561.58596118825"
"A" "37.79247" "-122.39805" "1212773545" "B" "37.77786" "-122.41565" "1212773545" "2245.58444845939"
"A" "37.79253" "-122.39775" "1212773605" "B" "37.77832" "-122.41519" "1212773605" "2203.72050436772"
"A" "37.79231" "-122.3982" "1212773786" "B" "37.77079" "-122.40465" "1212773786" "2461.89209796321"
"A" "37.61804" "-122.38627" "1212782477" "B" "37.78375" "-122.39912" "1212782477" "18481.440692593"
"A" "37.61612" "-122.38884" "1212782537" "B" "37.7855" "-122.40107" "1212782537" "18886.0397556692"
"A" "37.61658" "-122.38609" "1212782718" "B" "37.79434" "-122.40477" "1212782718" "19856.425183303"
"A" "37.79496" "-122.40051" "1212791823" "B" "37.78655" "-122.39856" "1212791823" "951.783377204043"
"A" "37.77469" "-122.43606" "1212822081" "B" "37.63836" "-122.40479" "1212822081" "15424.0395954283"
"A" "37.77724" "-122.39486" "1212823528" "B" "37.7876" "-122.39429" "1212823528" "1154.3597508905"
"A" "37.7809" "-122.39949" "1212830043" "B" "37.79412" "-122.38234" "1212830043" "2107.62927086757"
"A" "37.79274" "-122.40382" "1212845413" "B" "37.76644" "-122.42396" "1212845413" "3422.19448099169"
"A" "37.72694" "-122.2002" "1212849481" "B" "37.79207" "-122.40904" "1212849481" "19757.8831436477"
"A" "37.78896" "-122.40819" "1212851764" "B" "37.79248" "-122.42027" "1212851764" "1132.6270038632"
"A" "37.77111" "-122.43078" "1212862709" "B" "37.79321" "-122.40933" "1212862709" "3100.62533631024"
"A" "37.77094" "-122.43357" "1212862769" "B" "37.79132" "-122.40904" "1212862769" "3131.26059937735"
"A" "37.79207" "-122.41083" "1212867684" "B" "37.79884" "-122.41047" "1212867684" "754.297986916354"
