"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.62324" "-122.40059" "1212245222" "B" "37.80699" "-122.41389" "1212245222" "20488.4592897131"
"A" "37.7509" "-122.41833" "1212257997" "B" "37.79045" "-122.39999" "1212257997" "4689.1426066277"
"A" "37.75117" "-122.39528" "1212261270" "B" "37.61936" "-122.38608" "1212261270" "14695.3890992155"
"A" "37.80062" "-122.43624" "1212266700" "B" "37.79492" "-122.39333" "1212266700" "3827.42541132388"
"A" "37.78372" "-122.43956" "1212267388" "B" "37.78721" "-122.40783" "1212267388" "2818.41411160069"
"A" "37.78265" "-122.42234" "1212269623" "B" "37.78539" "-122.43114" "1212269623" "832.129318959059"
"A" "37.80081" "-122.43639" "1212270275" "B" "37.7862" "-122.42419" "1212270275" "1948.55520941019"
"A" "37.77381" "-122.42089" "1212275455" "B" "37.79365" "-122.39663" "1212275455" "3071.37751794497"
"A" "37.58704" "-122.34221" "1212288885" "B" "37.7885" "-122.41" "1212288885" "23207.9126461568"
"A" "37.79572" "-122.43523" "1212297404" "B" "37.7825" "-122.4707" "1212297404" "3450.00888448593"
"A" "37.79185" "-122.40605" "1212301002" "B" "37.77755" "-122.41308" "1212301002" "1707.79653216092"
"A" "37.70989" "-122.45766" "1212303674" "B" "37.77153" "-122.43556" "1212303674" "7132.19662565989"
"A" "37.77083" "-122.44049" "1212311158" "B" "37.78442" "-122.40946" "1212311158" "3121.334971223"
"A" "37.78009" "-122.40364" "1212312561" "B" "37.7816" "-122.39683" "1212312561" "622.292875150668"
"A" "37.79048" "-122.39336" "1212312896" "B" "37.82508" "-122.37613" "1212312896" "4139.03775616436"
"A" "37.78864" "-122.40849" "1212347545" "B" "37.79059" "-122.41225" "1212347545" "395.642076133396"
"A" "37.78801" "-122.4171" "1212347725" "B" "37.79149" "-122.4224" "1212347725" "606.186671765978"
"A" "37.786" "-122.41101" "1212360218" "B" "37.79292" "-122.4046" "1212360218" "954.670060219421"
"A" "37.80033" "-122.42263" "1212369053" "B" "37.75498" "-122.42091" "1212369053" "5050.60673732745"
"A" "37.79668" "-122.41019" "1212373232" "B" "37.78635" "-122.40821" "1212373232" "1163.04707556492"
"A" "37.78477" "-122.4048" "1212374001" "B" "37.77395" "-122.40814" "1212374001" "1239.80747618937"
"A" "37.79663" "-122.424" "1212393616" "B" "37.7275" "-122.44121" "1212393616" "7843.1417272963"
"A" "37.79139" "-122.42082" "1212395253" "B" "37.74287" "-122.4773" "1212395253" "7340.01309549373"
"A" "37.78913" "-122.4175" "1212401933" "B" "37.76105" "-122.43288" "1212401933" "3406.21505539911"
"A" "37.78743" "-122.41668" "1212401993" "B" "37.76136" "-122.42819" "1212401993" "3073.73960900272"
"A" "37.7734" "-122.44263" "1212407162" "B" "37.74804" "-122.42044" "1212407162" "3432.68863024678"
"A" "37.77236" "-122.45088" "1212407222" "B" "37.74814" "-122.41629" "1212407222" "4066.47070602346"
"A" "37.73351" "-122.40504" "1212409340" "B" "37.7521" "-122.42096" "1212409340" "2499.29254960164"
"A" "37.75973" "-122.39925" "1212410944" "B" "37.7662" "-122.41986" "1212410944" "1951.52657903393"
"A" "37.79239" "-122.39754" "1212417114" "B" "37.72879" "-122.42256" "1212417114" "7414.42718643626"
"A" "37.77499" "-122.39626" "1212417958" "B" "37.72872" "-122.42259" "1212417958" "5648.09677593439"
"A" "37.77173" "-122.40193" "1212432995" "B" "37.80134" "-122.41777" "1212432995" "3578.64174658337"
"A" "37.78435" "-122.40334" "1212435388" "B" "37.78035" "-122.4791" "1212435388" "6680.27183707553"
"A" "37.79175" "-122.40385" "1212435801" "B" "37.77946" "-122.49679" "1212435801" "8290.23044487936"
"A" "37.78567" "-122.42894" "1212439352" "B" "37.75109" "-122.39339" "1212439352" "4960.28018592009"
"A" "37.77633" "-122.40219" "1212445756" "B" "37.78658" "-122.42836" "1212445756" "2569.70048309173"
"A" "37.79008" "-122.42401" "1212457589" "B" "37.79449" "-122.41474" "1212457589" "951.837490706375"
"A" "37.75042" "-122.42044" "1212464018" "B" "37.78687" "-122.40639" "1212464018" "4241.77564048574"
"A" "37.76649" "-122.41986" "1212464448" "B" "37.75425" "-122.41065" "1212464448" "1585.40964988618"
"A" "37.75991" "-122.46281" "1212467828" "B" "37.73243" "-122.40545" "1212467828" "5903.44408682681"
"A" "37.73234" "-122.44364" "1212475989" "B" "37.79536" "-122.40319" "1212475989" "7866.8111325804"
"A" "37.73237" "-122.44359" "1212476563" "B" "37.77461" "-122.42053" "1212476563" "5121.47028867218"
"A" "37.7324" "-122.44359" "1212476564" "B" "37.76865" "-122.42757" "1212476564" "4274.59484180762"
"A" "37.73235" "-122.44359" "1212477163" "B" "37.78236" "-122.43928" "1212477163" "5579.99580450629"
"A" "37.79118" "-122.39421" "1212508037" "B" "37.80331" "-122.4313" "1212508037" "3530.93838265749"
"A" "37.78386" "-122.44738" "1212509681" "B" "37.79206" "-122.41069" "1212509681" "3354.35701667178"
"A" "37.74324" "-122.47155" "1212522442" "B" "37.76439" "-122.43528" "1212522442" "3966.60443324196"
"A" "37.77422" "-122.42578" "1212523969" "B" "37.77492" "-122.41023" "1212523969" "1370.46050963753"
"A" "37.79831" "-122.37784" "1212527649" "B" "37.7994" "-122.4244" "1212527649" "4097.26199114613"
"A" "37.79256" "-122.40567" "1212542222" "B" "37.80596" "-122.41101" "1212542222" "1563.88603003566"
"A" "37.76944" "-122.45174" "1212543292" "B" "37.79083" "-122.4029" "1212543292" "4912.72405407648"
"A" "37.77427" "-122.4289" "1212544239" "B" "37.79319" "-122.3965" "1212544239" "3544.20601327909"
"A" "37.77177" "-122.41831" "1212544477" "B" "37.78657" "-122.40199" "1212544477" "2185.44659035365"
"A" "37.79893" "-122.42242" "1212546212" "B" "37.7495" "-122.42516" "1212546212" "5507.8016654115"
"A" "37.75777" "-122.43587" "1212549748" "B" "37.75722" "-122.42121" "1212549748" "1291.68205390738"
"A" "37.62996" "-122.40311" "1212558382" "B" "37.76026" "-122.39433" "1212558382" "14525.5327545788"
"A" "37.61624" "-122.38618" "1212587428" "B" "37.73556" "-122.4705" "1212587428" "15219.1176720876"
"A" "37.61618" "-122.38621" "1212588664" "B" "37.75686" "-122.43685" "1212588664" "16283.4402627228"
"A" "37.61623" "-122.3862" "1212588846" "B" "37.76191" "-122.44566" "1212588846" "17041.9386143886"
"A" "37.61616" "-122.38605" "1212631466" "B" "37.67756" "-122.38831" "1212631466" "6837.91887124364"
"A" "37.80447" "-122.41613" "1212634812" "B" "37.61466" "-122.39026" "1212634812" "21252.026387882"
"A" "37.81891" "-122.34329" "1212643810" "B" "37.78956" "-122.42853" "1212643810" "8178.23560224884"
"A" "37.80518" "-122.23214" "1212644249" "B" "37.78582" "-122.44722" "1212644249" "19041.862399389"
"A" "37.78002" "-122.41686" "1212645585" "B" "37.7811" "-122.45883" "1212645585" "3694.59462622438"
"A" "37.7154" "-122.44177" "1212649554" "B" "37.76059" "-122.43488" "1212649554" "5066.96291265209"
"A" "37.7082" "-122.44178" "1212649555" "B" "37.76062" "-122.43491" "1212649555" "5866.62784242196"
"A" "37.71294" "-122.44436" "1212649556" "B" "37.762" "-122.43507" "1212649556" "5522.23032623612"
"A" "37.71102" "-122.42605" "1212650012" "B" "37.77027" "-122.42988" "1212650012" "6604.29152543262"
"A" "37.71684" "-122.43534" "1212650132" "B" "37.76758" "-122.42902" "1212650132" "5675.68342588377"
