"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.7869" "-122.41461" "1212253086" "B" "37.79069" "-122.42407" "1212253086" "933.058420246762"
"A" "37.79357" "-122.39284" "1212265424" "B" "37.80007" "-122.40464" "1212265424" "1265.28337794629"
"A" "37.79362" "-122.39293" "1212265596" "B" "37.79893" "-122.40648" "1212265596" "1330.43769437259"
"A" "37.79359" "-122.39306" "1212265737" "B" "37.79884" "-122.40716" "1212265737" "1371.08940295497"
"A" "37.78644" "-122.42325" "1212266414" "B" "37.79937" "-122.40741" "1212266414" "2003.33839418418"
"A" "37.77397" "-122.44099" "1212267746" "B" "37.79901" "-122.42799" "1212267746" "3012.94481374517"
"A" "37.79819" "-122.42711" "1212273137" "B" "37.78606" "-122.42316" "1212273137" "1394.29748127224"
"A" "37.558" "-122.28735" "1212288613" "B" "37.79517" "-122.40038" "1212288613" "28217.3961628623"
"A" "37.55447" "-122.29068" "1212288673" "B" "37.79489" "-122.40013" "1212288673" "28447.8098844126"
"A" "37.5623" "-122.30451" "1212288734" "B" "37.79551" "-122.39851" "1212288734" "27249.7909446647"
"A" "37.78875" "-122.41209" "1212293405" "B" "37.78228" "-122.41292" "1212293405" "723.929229392683"
"A" "37.79193" "-122.43278" "1212296761" "B" "37.79177" "-122.41202" "1212296761" "1826.33071797416"
"A" "37.79531" "-122.44175" "1212297062" "B" "37.78255" "-122.4207" "1212297062" "2333.86115935058"
"A" "37.7917" "-122.44121" "1212297122" "B" "37.78228" "-122.42105" "1212297122" "2060.38979937469"
"A" "37.79864" "-122.42239" "1212300502" "B" "37.76318" "-122.41027" "1212300502" "4088.88441068255"
"A" "37.7862" "-122.40869" "1212309249" "B" "37.7997" "-122.43598" "1212309249" "2832.23554154563"
"A" "37.77702" "-122.40385" "1212315088" "B" "37.79811" "-122.4069" "1212315088" "2363.01159437252"
"A" "37.74833" "-122.40851" "1212355578" "B" "37.75007" "-122.45056" "1212355578" "3706.31053311778"
"A" "37.76141" "-122.43511" "1212364175" "B" "37.78471" "-122.38787" "1212364175" "4899.58203118578"
"A" "37.63358" "-122.40486" "1212365787" "B" "37.79466" "-122.39324" "1212365787" "17960.5172299275"
"A" "37.75132" "-122.39133" "1212367489" "B" "37.786" "-122.41181" "1212367489" "4260.48910483295"
"A" "37.79832" "-122.42589" "1212389006" "B" "37.73529" "-122.40472" "1212389006" "7259.5708946487"
"A" "37.77286" "-122.4543" "1212407647" "B" "37.61788" "-122.38702" "1212407647" "18241.78233372"
"A" "37.68115" "-122.38892" "1212424612" "B" "37.79278" "-122.40919" "1212424612" "12554.0655281596"
"A" "37.63052" "-122.43496" "1212425623" "B" "37.79224" "-122.44127" "1212425623" "18011.1623182707"
"A" "37.76235" "-122.42858" "1212428138" "B" "37.76807" "-122.40977" "1212428138" "1773.54605022112"
"A" "37.78946" "-122.40372" "1212435630" "B" "37.62729" "-122.40199" "1212435630" "18053.3247385022"
"A" "37.80282" "-122.40314" "1212437017" "B" "37.79363" "-122.39633" "1212437017" "1185.49861407078"
"A" "37.78773" "-122.43189" "1212439581" "B" "37.78706" "-122.41812" "1212439581" "1213.70491117006"
"A" "37.79674" "-122.42703" "1212458365" "B" "37.78575" "-122.41148" "1212458365" "1835.19913648688"
"A" "37.77098" "-122.43695" "1212465151" "B" "37.78254" "-122.41057" "1212465151" "2653.96349231385"
"A" "37.77083" "-122.43023" "1212465851" "B" "37.79269" "-122.39776" "1212465851" "3752.69226122333"
"A" "37.78957" "-122.39796" "1212471102" "B" "37.79245" "-122.40351" "1212471102" "584.087609641759"
"A" "37.71301" "-122.40062" "1212490294" "B" "37.78075" "-122.39668" "1212490294" "7548.75320884089"
"A" "37.73214" "-122.40581" "1212491739" "B" "37.80654" "-122.41641" "1212491739" "8334.5294530337"
"A" "37.79183" "-122.39816" "1212525427" "B" "37.75828" "-122.4255" "1212525427" "4442.47098217459"
"A" "37.79279" "-122.39711" "1212528412" "B" "37.6823" "-122.3889" "1212528412" "12320.9077316332"
"A" "37.78132" "-122.45896" "1212530874" "B" "37.75229" "-122.41775" "1212530874" "4857.4043653305"
"A" "37.79638" "-122.41782" "1212546807" "B" "37.79227" "-122.40349" "1212546807" "1341.02033915233"
"A" "37.61641" "-122.38792" "1212559086" "B" "37.7842" "-122.39041" "1212559086" "18679.5848767491"
"A" "37.7502" "-122.47603" "1212562884" "B" "37.7853" "-122.41768" "1212562884" "6452.2940962701"
"A" "37.77407" "-122.40442" "1212584122" "B" "37.80631" "-122.41628" "1212584122" "3737.51941759562"
"A" "37.77835" "-122.40746" "1212584182" "B" "37.8061" "-122.41621" "1212584182" "3183.57000507233"
"A" "37.77388" "-122.397" "1212594284" "B" "37.79382" "-122.40262" "1212594284" "2274.11247769539"
"A" "37.778" "-122.39384" "1212594822" "B" "37.78858" "-122.40157" "1212594822" "1360.01121945938"
"A" "37.6173" "-122.38645" "1212603322" "B" "37.79993" "-122.41348" "1212603322" "20469.1704083642"
"A" "37.79195" "-122.40304" "1212613546" "B" "37.78583" "-122.42365" "1212613546" "1936.89031649359"
"A" "37.77331" "-122.41847" "1212614158" "B" "37.78777" "-122.42058" "1212614158" "1620.34958576106"
"A" "37.79159" "-122.43101" "1212621601" "B" "37.76107" "-122.42158" "1212621601" "3497.32071758748"
"A" "37.77356" "-122.40854" "1212622840" "B" "37.78824" "-122.40843" "1212622840" "1634.19878284241"
"A" "37.61623" "-122.38606" "1212631282" "B" "37.79482" "-122.40503" "1212631282" "19950.6266577083"
"A" "37.80609" "-122.23114" "1212644626" "B" "37.77675" "-122.39857" "1212644626" "15086.5781249915"
"A" "37.82466" "-122.31362" "1212645013" "B" "37.78074" "-122.40567" "1212645013" "9458.08261576986"
"A" "37.7379" "-122.40793" "1212685412" "B" "37.78791" "-122.43371" "1212685412" "6011.62522316492"
"A" "37.79492" "-122.40034" "1212686323" "B" "37.80776" "-122.40811" "1212686323" "1584.32997770936"
"A" "37.79126" "-122.40744" "1212691123" "B" "37.78374" "-122.40792" "1212691123" "838.186962246436"
"A" "37.79973" "-122.40929" "1212697963" "B" "37.78844" "-122.42867" "1212697963" "2117.98568573431"
"A" "37.78446" "-122.40053" "1212698499" "B" "37.7878" "-122.42072" "1212698499" "1814.73548054824"
"A" "37.63403" "-122.41263" "1212706931" "B" "37.78208" "-122.40151" "1212706931" "16509.9218037552"
"A" "37.62532" "-122.40194" "1212706991" "B" "37.78208" "-122.40148" "1212706991" "17450.4904067907"
"A" "37.63771" "-122.40027" "1212707855" "B" "37.78662" "-122.39934" "1212707855" "16576.7876925939"
"A" "37.78428" "-122.40934" "1212720681" "B" "37.78698" "-122.40984" "1212720681" "303.764496493858"
"A" "37.79235" "-122.39792" "1212773123" "B" "37.75019" "-122.40351" "1212773123" "4718.93597912843"
"A" "37.78533" "-122.40002" "1212776363" "B" "37.70522" "-122.39408" "1212776363" "8933.11958001062"
"A" "37.79124" "-122.40739" "1212779036" "B" "37.77364" "-122.41139" "1212779036" "1990.57885379271"
"A" "37.78896" "-122.4005" "1212780173" "B" "37.61656" "-122.38599" "1212780173" "19233.9835728893"
"A" "37.65252" "-122.40686" "1212783837" "B" "37.78616" "-122.39605" "1212783837" "14907.158449269"
"A" "37.61653" "-122.39037" "1212788551" "B" "37.86674" "-122.28696" "1212788551" "29303.0612556761"
"A" "37.79325" "-122.39791" "1212792104" "B" "37.79425" "-122.398" "1212792104" "111.60066545846"
