"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.74686" "-122.20178" "1212773254" "B" "37.78169" "-122.41781" "1212773254" "19402.4550524998"
"A" "37.79508" "-122.3937" "1212775096" "B" "37.79238" "-122.3942" "1212775096" "303.763798302636"
"A" "37.79864" "-122.40056" "1212775217" "B" "37.78617" "-122.39891" "1212775217" "1395.72193161343"
"A" "37.78182" "-122.39186" "1212780086" "B" "37.69185" "-122.39113" "1212780086" "10015.6207687968"
"A" "37.75108" "-122.3954" "1212795935" "B" "37.75148" "-122.3946" "1212795935" "83.3118935592908"
"A" "37.6328" "-122.40356" "1212852362" "B" "37.78917" "-122.40822" "1212852362" "17411.8656872975"
"A" "37.78507" "-122.4051" "1212861593" "B" "37.80375" "-122.4132" "1212861593" "2198.13539618568"
"A" "37.61642" "-122.38616" "1212863898" "B" "37.77169" "-122.42383" "1212863898" "17600.1977082322"
"A" "37.58713" "-122.34715" "1212869017" "B" "37.7519" "-122.39461" "1212869017" "18812.8037647759"
"A" "37.49124" "-122.21882" "1212870629" "B" "37.75185" "-122.3946" "1212870629" "32891.4722710319"
"A" "37.61639" "-122.38599" "1212874385" "B" "37.7511" "-122.39538" "1212874385" "15018.6483907556"
"A" "37.78699" "-122.40104" "1212878621" "B" "37.79818" "-122.43576" "1212878621" "3298.51791763538"
"A" "37.79433" "-122.40454" "1212889563" "B" "37.78483" "-122.42365" "1212889563" "1986.10994584566"
"A" "37.78748" "-122.40324" "1212899934" "B" "37.75708" "-122.46693" "1212899934" "6546.74386793081"
"A" "37.77921" "-122.41512" "1212903323" "B" "37.77271" "-122.44078" "1212903323" "2370.8921479034"
"A" "37.77552" "-122.43625" "1212908485" "B" "37.77703" "-122.41368" "1212908485" "1992.98812506253"
"A" "37.7755" "-122.42434" "1212909687" "B" "37.80079" "-122.4371" "1212909687" "3030.81715114919"
"A" "37.6155" "-122.39033" "1212912235" "B" "37.79021" "-122.42215" "1212912235" "19649.5146834672"
"A" "37.78303" "-122.43951" "1212914322" "B" "37.78293" "-122.46522" "1212914322" "2261.99106033959"
"A" "37.77357" "-122.43761" "1212914428" "B" "37.78181" "-122.45195" "1212914428" "1559.91416523442"
"A" "37.7834" "-122.42403" "1212951640" "B" "37.80846" "-122.41257" "1212951640" "2966.21818347889"
"A" "37.78261" "-122.4241" "1212951701" "B" "37.80556" "-122.41444" "1212951701" "2692.39703538305"
"A" "37.77162" "-122.40756" "1212956498" "B" "37.70471" "-122.39423" "1212956498" "7540.26079298743"
"A" "37.77582" "-122.40893" "1212957978" "B" "37.61657" "-122.38598" "1212957978" "17842.5141863776"
"A" "37.6327" "-122.40226" "1212965332" "B" "37.78829" "-122.42036" "1212965332" "17393.3934337737"
"A" "37.64385" "-122.406" "1212965392" "B" "37.79053" "-122.42068" "1212965392" "16379.433364381"
"A" "37.80729" "-122.40685" "1212966794" "B" "37.78129" "-122.40474" "1212966794" "2900.25212761443"
"A" "37.79106" "-122.41412" "1212967634" "B" "37.76843" "-122.4203" "1212967634" "2577.17293317312"
"A" "37.75537" "-122.42087" "1212974322" "B" "37.75123" "-122.39488" "1212974322" "2333.47887830879"
"A" "37.78119" "-122.46173" "1212976514" "B" "37.7374" "-122.43476" "1212976514" "5421.84325837034"
"A" "37.78926" "-122.42884" "1212977462" "B" "37.78131" "-122.45996" "1212977462" "2877.32997122509"
"A" "37.78151" "-122.41134" "1212979409" "B" "37.77681" "-122.41397" "1212979409" "572.088702682542"
"A" "37.7783" "-122.41527" "1212979469" "B" "37.77659" "-122.4141" "1212979469" "216.409433185666"
"A" "37.76434" "-122.43309" "1212979712" "B" "37.77662" "-122.41408" "1212979712" "2160.29964221762"
"A" "37.75245" "-122.4157" "1212988042" "B" "37.78183" "-122.3965" "1212988042" "3681.2055452344"
"A" "37.78687" "-122.42033" "1212989035" "B" "37.78257" "-122.41687" "1212989035" "567.265382887662"
"A" "37.78562" "-122.40651" "1212989455" "B" "37.78252" "-122.41699" "1212989455" "984.479956119742"
"A" "37.75904" "-122.44119" "1212992063" "B" "37.77325" "-122.47127" "1212992063" "3083.67677591645"
"A" "37.73901" "-122.40045" "1212994951" "B" "37.78061" "-122.40306" "1212994951" "4636.58404820915"
"A" "37.7432" "-122.47402" "1212998497" "B" "37.79484" "-122.42309" "1212998497" "7289.10126791527"
"A" "37.77313" "-122.45428" "1212999571" "B" "37.76985" "-122.42342" "1212999571" "2739.92012827962"
"A" "37.79962" "-122.43607" "1213001400" "B" "37.77862" "-122.43851" "1213001400" "2347.54356331852"
"A" "37.81595" "-122.35334" "1213006766" "B" "37.90041" "-122.52856" "1213006766" "18043.3547649493"
"A" "37.7807" "-122.42292" "1213013286" "B" "37.72489" "-122.40152" "1213013286" "6491.98474804478"
"A" "37.78212" "-122.41026" "1213013526" "B" "37.7519" "-122.39513" "1213013526" "3617.96761809187"
"A" "37.74246" "-122.40687" "1213031220" "B" "37.76441" "-122.38771" "1213031220" "2968.8971515831"
"A" "37.78499" "-122.41224" "1213033865" "B" "37.79202" "-122.40955" "1213033865" "817.574240188241"
"A" "37.78449" "-122.41548" "1213033927" "B" "37.79137" "-122.41439" "1213033927" "771.857807206865"
"A" "37.79381" "-122.39593" "1213035556" "B" "37.7875" "-122.42443" "1213035556" "2603.70693523508"
