"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75693" "-122.40479" "1212766276" "B" "37.77198" "-122.39826" "1212766276" "1771.1723292864"
"A" "37.80445" "-122.40256" "1212770793" "B" "37.74929" "-122.41385" "1212770793" "6220.21697240397"
"A" "37.80868" "-122.3046" "1212773670" "B" "37.77637" "-122.41174" "1212773670" "10087.921963397"
"A" "37.7939" "-122.40957" "1212777735" "B" "37.7682" "-122.45163" "1212777735" "4677.47229767522"
"A" "37.75108" "-122.3954" "1212795935" "B" "37.75135" "-122.39371" "1212795935" "151.756131092544"
"A" "37.74867" "-122.40731" "1212796117" "B" "37.75136" "-122.39369" "1212796117" "1235.65411472001"
"A" "37.79422" "-122.40002" "1212804272" "B" "37.77405" "-122.46026" "1212804272" "5755.83219156448"
"A" "37.80651" "-122.42118" "1212806721" "B" "37.76986" "-122.40434" "1212806721" "4340.51004813009"
"A" "37.77833" "-122.43343" "1212809597" "B" "37.77685" "-122.42307" "1212809597" "926.307601161034"
"A" "37.77662" "-122.39564" "1212822081" "B" "37.63836" "-122.40479" "1212822081" "15412.1142021915"
"A" "37.77696" "-122.39525" "1212822269" "B" "37.70018" "-122.39307" "1212822269" "8549.26475928385"
"A" "37.76249" "-122.43507" "1212827389" "B" "37.79921" "-122.44273" "1212827389" "4142.83707720343"
"A" "37.7972" "-122.43541" "1212848388" "B" "37.78966" "-122.40209" "1212848388" "3048.88749602499"
"A" "37.61647" "-122.38619" "1212854959" "B" "37.68395" "-122.38962" "1212854959" "7517.92002507436"
"A" "37.61506" "-122.39015" "1212867684" "B" "37.79884" "-122.41047" "1212867684" "20536.4188300669"
"A" "37.48716" "-122.20309" "1212870670" "B" "37.76971" "-122.41446" "1212870670" "36559.232828827"
"A" "37.79071" "-122.40476" "1212889477" "B" "37.63498" "-122.40391" "1212889477" "17335.9459051476"
"A" "37.77795" "-122.42285" "1212892740" "B" "37.80017" "-122.44677" "1212892740" "3247.52248736108"
"A" "37.79651" "-122.40478" "1212903928" "B" "37.74268" "-122.42189" "1212903928" "6178.58033759023"
"A" "37.79237" "-122.41078" "1212906399" "B" "37.78307" "-122.43954" "1212906399" "2733.7512033835"
"A" "37.77552" "-122.43625" "1212908485" "B" "37.77542" "-122.42677" "1212908485" "834.208633706126"
"A" "37.67012" "-122.39252" "1212910537" "B" "37.79653" "-122.42704" "1212910537" "14396.3340830567"
"A" "37.61497" "-122.3901" "1212911931" "B" "37.79797" "-122.40578" "1212911931" "20418.2194097384"
"A" "37.64912" "-122.40655" "1212912574" "B" "37.78748" "-122.4177" "1212912574" "15433.4272084124"
"A" "37.7741" "-122.42915" "1212913557" "B" "37.76881" "-122.41572" "1212913557" "1320.34976330148"
"A" "37.78927" "-122.43146" "1212916030" "B" "37.77215" "-122.4452" "1212916030" "2256.86242676596"
"A" "37.75044" "-122.39533" "1212934797" "B" "37.78213" "-122.40429" "1212934797" "3614.75703136813"
"A" "37.79727" "-122.40599" "1212945944" "B" "37.78687" "-122.40246" "1212945944" "1198.64561250647"
"A" "37.78048" "-122.47567" "1212953856" "B" "37.78645" "-122.44018" "1212953856" "3192.32863548973"
"A" "37.78061" "-122.47271" "1212953916" "B" "37.78974" "-122.44078" "1212953916" "2987.32153406867"
