"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.8172" "-122.29795" "1212771631" "B" "37.73754" "-122.39039" "1212771631" "12032.8619642754"
"A" "37.78384" "-122.40747" "1212780692" "B" "37.79113" "-122.39678" "1212780692" "1242.17778271368"
"A" "37.75115" "-122.39534" "1212795874" "B" "37.76514" "-122.39728" "1212795874" "1566.69102036644"
"A" "37.75796" "-122.42569" "1212796961" "B" "37.6164" "-122.386" "1212796961" "16141.6191423014"
"A" "37.72195" "-122.44566" "1212800358" "B" "37.729" "-122.44179" "1212800358" "855.583631876849"
"A" "37.78422" "-122.39935" "1212813469" "B" "37.79739" "-122.41061" "1212813469" "1769.34198781774"
"A" "37.78672" "-122.4084" "1212816827" "B" "37.76932" "-122.42655" "1212816827" "2510.38572514187"
"A" "37.79076" "-122.40046" "1212819103" "B" "37.78801" "-122.4259" "1212819103" "2258.85510344221"
"A" "37.77662" "-122.39564" "1212822081" "B" "37.80035" "-122.43248" "1212822081" "4181.1236180218"
"A" "37.77666" "-122.39538" "1212822706" "B" "37.78658" "-122.41433" "1212822706" "1999.79445711359"
"A" "37.78845" "-122.42188" "1212823553" "B" "37.77335" "-122.41853" "1212823553" "1706.56930862571"
"A" "37.7898" "-122.42217" "1212824021" "B" "37.75295" "-122.40823" "1212824021" "4281.59344249285"
"A" "37.79621" "-122.4197" "1212824508" "B" "37.7678" "-122.42223" "1212824508" "3170.41039910617"
"A" "37.77685" "-122.43841" "1212827620" "B" "37.7771" "-122.41975" "1212827620" "1642.07447681429"
"A" "37.78568" "-122.40596" "1212851645" "B" "37.77935" "-122.42689" "1212851645" "1971.65007462359"
"A" "37.59034" "-122.36177" "1212868048" "B" "37.7862" "-122.4251" "1212868048" "22505.4748498883"
"A" "37.56455" "-122.30741" "1212868236" "B" "37.78677" "-122.42821" "1212868236" "26929.9293809618"
"A" "37.5569" "-122.28324" "1212868348" "B" "37.78364" "-122.4328" "1212868348" "28473.747706722"
"A" "37.61493" "-122.39012" "1212876338" "B" "37.77547" "-122.40182" "1212876338" "17900.9219203426"
"A" "37.79373" "-122.39304" "1212880564" "B" "37.80724" "-122.4094" "1212880564" "2081.47676435789"
"A" "37.77294" "-122.42384" "1212881730" "B" "37.78284" "-122.42421" "1212881730" "1102.54368666017"
"A" "37.78987" "-122.42059" "1212891025" "B" "37.74586" "-122.461" "1212891025" "6053.67456968433"
"A" "37.78619" "-122.41088" "1212892215" "B" "37.78767" "-122.39922" "1212892215" "1038.93729101618"
"A" "37.70147" "-122.39362" "1212896269" "B" "37.79205" "-122.42289" "1212896269" "10407.2733221539"
"A" "37.79651" "-122.40478" "1212903928" "B" "37.79157" "-122.4144" "1212903928" "1009.22370671201"
"A" "37.79673" "-122.4219" "1212905139" "B" "37.78235" "-122.4073" "1212905139" "2052.35061997188"
