"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.7842" "-122.39497" "1212763856" "B" "37.78976" "-122.42203" "1212763856" "2459.75105739503"
"A" "37.77626" "-122.39586" "1212765210" "B" "37.80689" "-122.41349" "1212765210" "3745.8605262591"
"A" "37.82432" "-122.30908" "1212771566" "B" "37.78901" "-122.42195" "1212771566" "10676.9766303078"
"A" "37.7793" "-122.39046" "1212779657" "B" "37.71456" "-122.39773" "1212779657" "7235.17897076466"
"A" "37.78373" "-122.40551" "1212803334" "B" "37.79052" "-122.395" "1212803334" "1194.25293494775"
"A" "37.75333" "-122.42645" "1212814189" "B" "37.78058" "-122.42408" "1212814189" "3040.61709677051"
"A" "37.7605" "-122.4283" "1212814310" "B" "37.78105" "-122.42075" "1212814310" "2382.13275118651"
"A" "37.73489" "-122.41101" "1212821676" "B" "37.79132" "-122.40415" "1212821676" "6310.70150426547"
"A" "37.75191" "-122.40285" "1212821795" "B" "37.79032" "-122.41547" "1212821795" "4417.63340988046"
"A" "37.76511" "-122.40482" "1212821855" "B" "37.79285" "-122.41602" "1212821855" "3241.42400738127"
"A" "37.77662" "-122.39564" "1212822081" "B" "37.79421" "-122.42095" "1212822081" "2965.19468800382"
"A" "37.7766" "-122.39553" "1212822400" "B" "37.80011" "-122.44226" "1212822400" "4873.36273475488"
"A" "37.74872" "-122.40733" "1212846769" "B" "37.77866" "-122.41503" "1212846769" "3401.09264194321"
"A" "37.79733" "-122.43398" "1212848362" "B" "37.79197" "-122.41765" "1212848362" "1555.47667322823"
"A" "37.78138" "-122.40821" "1212850386" "B" "37.79974" "-122.43743" "1212850386" "3284.01325475367"
"A" "37.61765" "-122.38575" "1212860434" "B" "37.66866" "-122.39374" "1212860434" "5721.91656218361"
"A" "37.75447" "-122.39195" "1212861852" "B" "37.79351" "-122.41794" "1212861852" "4910.88190066917"
"A" "37.75182" "-122.39433" "1212886393" "B" "37.80575" "-122.42061" "1212886393" "6433.35078138858"
"A" "37.77086" "-122.39739" "1212888965" "B" "37.76378" "-122.50926" "1212888965" "9875.89666076539"
"A" "37.79433" "-122.40454" "1212889563" "B" "37.7653" "-122.47864" "1212889563" "7276.56046581563"
"A" "37.8081" "-122.41678" "1212890271" "B" "37.78057" "-122.42203" "1212890271" "3099.22748065275"
"A" "37.80731" "-122.41904" "1212890389" "B" "37.78297" "-122.4201" "1212890389" "2711.12033650827"
"A" "37.7894" "-122.41543" "1212891172" "B" "37.79054" "-122.4129" "1212891172" "256.205497712424"
"A" "37.76904" "-122.4271" "1212893322" "B" "37.78073" "-122.40905" "1212893322" "2053.25640002809"
"A" "37.80839" "-122.40985" "1212894779" "B" "37.79329" "-122.39241" "1212894779" "2275.66675126266"
"A" "37.78958" "-122.42556" "1212898486" "B" "37.78805" "-122.40848" "1212898486" "1512.20044482332"
"A" "37.77591" "-122.43105" "1212899128" "B" "37.78554" "-122.42263" "1212899128" "1303.07444232964"
"A" "37.79814" "-122.40747" "1212901630" "B" "37.76609" "-122.46366" "1212901630" "6096.6212112657"
"A" "37.77552" "-122.43625" "1212908485" "B" "37.75744" "-122.42542" "1212908485" "2226.89509932522"
"A" "37.78195" "-122.4505" "1212920924" "B" "37.80542" "-122.4222" "1212920924" "3608.80894240242"
"A" "37.78561" "-122.4056" "1212949426" "B" "37.67348" "-122.39005" "1212949426" "12557.11134948"
"A" "37.77636" "-122.48438" "1212952447" "B" "37.61498" "-122.39014" "1212952447" "19789.8593274273"
"A" "37.77591" "-122.49451" "1212952936" "B" "37.71717" "-122.39884" "1212952936" "10661.7853731456"
"A" "37.77383" "-122.40538" "1212956560" "B" "37.80355" "-122.40131" "1212956560" "3327.73373299521"
"A" "37.78729" "-122.42003" "1212957679" "B" "37.78882" "-122.40367" "1212957679" "1449.29519860296"
"A" "37.69104" "-122.39091" "1212965610" "B" "37.78093" "-122.39091" "1212965610" "10006.5090274072"
"A" "37.75096" "-122.39535" "1212972834" "B" "37.7915" "-122.41218" "1212972834" "4749.67060562097"
"A" "37.75394" "-122.41754" "1212973209" "B" "37.77976" "-122.42353" "1212973209" "2922.20355601587"
"A" "37.76357" "-122.4217" "1212973441" "B" "37.77692" "-122.42635" "1212973441" "1541.41632516519"
"A" "37.7783" "-122.41527" "1212979469" "B" "37.80666" "-122.41318" "1212979469" "3162.36976126872"
"A" "37.77127" "-122.42434" "1212979590" "B" "37.80836" "-122.40969" "1212979590" "4325.30805045074"
"A" "37.76088" "-122.4355" "1212979832" "B" "37.8084" "-122.40986" "1212979832" "5750.78189877013"
"A" "37.77009" "-122.42129" "1212981868" "B" "37.67828" "-122.38843" "1212981868" "10621.8944459415"
"A" "37.78314" "-122.42241" "1212984953" "B" "37.55894" "-122.30135" "1212984953" "27141.7920330604"
"A" "37.78609" "-122.43167" "1212988915" "B" "37.58711" "-122.35214" "1212988915" "23231.9651141696"
"A" "37.77189" "-122.40626" "1212995847" "B" "37.74303" "-122.40625" "1212995847" "3212.68062484452"
"A" "37.76702" "-122.45311" "1212997062" "B" "37.78328" "-122.42021" "1212997062" "3414.15162891575"
"A" "37.79609" "-122.42022" "1213004142" "B" "37.78471" "-122.42144" "1213004142" "1271.35395558174"
"A" "37.79749" "-122.40854" "1213004202" "B" "37.7836" "-122.42093" "1213004202" "1891.7801360034"
"A" "37.75934" "-122.4062" "1213014799" "B" "37.7757" "-122.4065" "1213014799" "1821.37819974927"
