"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.7766" "-122.39547" "1212291832" "B" "37.78999" "-122.42392" "1212291832" "2913.22704137996"
"A" "37.79573" "-122.41839" "1212296282" "B" "37.75306" "-122.43427" "1212296282" "4951.2549819823"
"A" "37.61439" "-122.39516" "1212300030" "B" "37.78763" "-122.43538" "1212300030" "19607.6483345105"
"A" "37.63445" "-122.4135" "1212303463" "B" "37.7989" "-122.42115" "1212303463" "18318.8806625532"
"A" "37.6493" "-122.45177" "1212303674" "B" "37.80029" "-122.41135" "1212303674" "17180.783067745"
"A" "37.70621" "-122.42095" "1212324323" "B" "37.76947" "-122.41795" "1212324323" "7047.02157247285"
"A" "37.78225" "-122.41004" "1212325969" "B" "37.73847" "-122.38692" "1212325969" "5281.26265962309"
"A" "37.72496" "-122.40184" "1212328810" "B" "37.62882" "-122.40293" "1212328810" "10702.6867186991"
"A" "37.76565" "-122.40494" "1212330041" "B" "37.73792" "-122.46907" "1212330041" "6433.47744960805"
"A" "37.80697" "-122.41847" "1212331543" "B" "37.75911" "-122.43482" "1212331543" "5518.52569827278"
"A" "37.80696" "-122.41846" "1212331785" "B" "37.7685" "-122.42766" "1212331785" "4357.17869246714"
"A" "37.78191" "-122.38844" "1212342837" "B" "37.79195" "-122.44772" "1212342837" "5333.58615786311"
"A" "37.75765" "-122.40911" "1212348089" "B" "37.78765" "-122.40747" "1212348089" "3342.70110871422"
"A" "37.78511" "-122.421" "1212348989" "B" "37.78825" "-122.40815" "1212348989" "1183.29098329998"
"A" "37.74854" "-122.41631" "1212357299" "B" "37.77332" "-122.46911" "1212357299" "5403.82815500025"
"A" "37.75207" "-122.39437" "1212357890" "B" "37.78806" "-122.44034" "1212357890" "5693.35858873641"
"A" "37.75171" "-122.39428" "1212364114" "B" "37.78846" "-122.4043" "1212364114" "4184.92851292211"
"A" "37.61749" "-122.38769" "1212370108" "B" "37.75071" "-122.41812" "1212370108" "15070.3383392361"
"A" "37.61562" "-122.38854" "1212371964" "B" "37.75906" "-122.41235" "1212371964" "16104.8425532777"
"A" "37.64519" "-122.4062" "1212372217" "B" "37.75999" "-122.42277" "1212372217" "12862.5396396477"
"A" "37.77487" "-122.40396" "1212372796" "B" "37.77851" "-122.41491" "1212372796" "1045.20265843771"
"A" "37.61568" "-122.39036" "1212375346" "B" "37.80831" "-122.40969" "1212375346" "21510.9348669022"
"A" "37.69755" "-122.3927" "1212383039" "B" "37.78865" "-122.4283" "1212383039" "10614.3575682809"
"A" "37.76605" "-122.43549" "1212390361" "B" "37.78982" "-122.42178" "1212390361" "2908.05510852774"
"A" "37.773" "-122.43732" "1212390362" "B" "37.78976" "-122.42191" "1212390362" "2306.31404523013"
"A" "37.77771" "-122.43282" "1212390363" "B" "37.78988" "-122.42202" "1212390363" "1654.75007315615"
"A" "37.7874" "-122.41549" "1212397382" "B" "37.78614" "-122.40893" "1212397382" "593.91879462903"
"A" "37.74963" "-122.4041" "1212402322" "B" "37.76187" "-122.4102" "1212402322" "1464.5063944891"
"A" "37.78885" "-122.4066" "1212428880" "B" "37.65482" "-122.40686" "1212428880" "14920.1689151885"
"A" "37.75691" "-122.4235" "1212430091" "B" "37.76092" "-122.43459" "1212430091" "1073.25211909458"
"A" "37.78498" "-122.40007" "1212437217" "B" "37.77331" "-122.41528" "1212437217" "1865.08812527834"
"A" "37.76491" "-122.41976" "1212437960" "B" "37.75593" "-122.40521" "1212437960" "1624.49204222828"
"A" "37.74879" "-122.40522" "1212438322" "B" "37.7569" "-122.40557" "1212438322" "903.326492894765"
"A" "37.99103" "-122.54439" "1212447746" "B" "37.61564" "-122.38812" "1212447746" "43990.6145637828"
"A" "37.75458" "-122.3916" "1212454252" "B" "37.7812" "-122.39998" "1212454252" "3053.70031613599"
"A" "37.80648" "-122.41218" "1212460409" "B" "37.79232" "-122.39366" "1212460409" "2266.80324127146"
"A" "37.78846" "-122.42364" "1212461732" "B" "37.79988" "-122.43439" "1212461732" "1584.41172758257"
"A" "37.78546" "-122.42357" "1212465033" "B" "37.79907" "-122.42749" "1212465033" "1553.80654134778"
"A" "37.78365" "-122.4385" "1212465154" "B" "37.79377" "-122.42646" "1212465154" "1546.29186766483"
"A" "37.7877" "-122.41384" "1212475969" "B" "37.78759" "-122.40997" "1212475969" "340.680924512594"
"A" "37.78999" "-122.40447" "1212476564" "B" "37.80016" "-122.4125" "1212476564" "1334.40727309499"
"A" "37.78021" "-122.48051" "1212481092" "B" "37.76805" "-122.42906" "1212481092" "4725.15261937085"
"A" "37.76149" "-122.41937" "1212509080" "B" "37.79574" "-122.42366" "1212509080" "3831.33105804836"
"A" "37.7807" "-122.47032" "1212515309" "B" "37.78984" "-122.39556" "1212515309" "6655.40767336193"
"A" "37.78123" "-122.45778" "1212515428" "B" "37.78618" "-122.40236" "1212515428" "4906.83734345464"
"A" "37.78408" "-122.41943" "1212532943" "B" "37.72305" "-122.39492" "1212532943" "7128.10028802128"
"A" "37.80036" "-122.40986" "1212549836" "B" "37.75339" "-122.40297" "1212549836" "5263.70350349414"
"A" "37.77314" "-122.41876" "1212554504" "B" "37.61794" "-122.38649" "1212554504" "17509.0521220833"
"A" "37.77534" "-122.40607" "1212555644" "B" "37.75476" "-122.40316" "1212555644" "2305.22324316457"
"A" "37.7779" "-122.40947" "1212555692" "B" "37.74178" "-122.40749" "1212555692" "4024.63413473034"
"A" "37.61652" "-122.38608" "1212561137" "B" "37.75642" "-122.43234" "1212561137" "16097.9698599771"
"A" "37.64303" "-122.40598" "1212562884" "B" "37.75282" "-122.40923" "1212562884" "12225.1189244641"
"A" "37.66797" "-122.39471" "1212568372" "B" "37.78076" "-122.41241" "1212568372" "12652.0786093463"
"A" "37.79051" "-122.4138" "1212571364" "B" "37.73582" "-122.39209" "1212571364" "6380.80980738579"
"A" "37.78921" "-122.40835" "1212600163" "B" "37.79022" "-122.40834" "1212600163" "112.436127288477"
"A" "37.82286" "-122.32165" "1212606127" "B" "37.78386" "-122.39902" "1212606127" "8072.05344253699"
"A" "37.81961" "-122.3413" "1212606248" "B" "37.78838" "-122.40478" "1212606248" "6577.24858583641"
