"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.78523" "-122.41103" "1212293601" "B" "37.78668" "-122.42168" "1212293601" "950.750519960262"
"A" "37.77856" "-122.40585" "1212294736" "B" "37.78649" "-122.40187" "1212294736" "949.676308449156"
"A" "37.79295" "-122.41792" "1212296342" "B" "37.7649" "-122.43245" "1212296342" "3374.0825056856"
"A" "37.78791" "-122.41487" "1212296531" "B" "37.76476" "-122.42437" "1212296531" "2709.21940848755"
"A" "37.75456" "-122.4764" "1212304273" "B" "37.71673" "-122.39689" "1212304273" "8168.90368293712"
"A" "37.79903" "-122.43588" "1212308801" "B" "37.75512" "-122.42326" "1212308801" "5012.57430531025"
"A" "37.78527" "-122.41114" "1212310251" "B" "37.71895" "-122.39757" "1212310251" "7478.69935629434"
"A" "37.76163" "-122.42345" "1212311669" "B" "37.72463" "-122.38802" "1212311669" "5166.39645155232"
"A" "37.74899" "-122.44667" "1212312769" "B" "37.71679" "-122.39691" "1212312769" "5660.42054644323"
"A" "37.74602" "-122.45095" "1212312830" "B" "37.71681" "-122.39696" "1212312830" "5759.12239280399"
"A" "37.80647" "-122.40633" "1212328233" "B" "37.7494" "-122.40224" "1212328233" "6363.1872804211"
"A" "37.78645" "-122.41819" "1212330630" "B" "37.78694" "-122.44694" "1212330630" "2529.88357601543"
"A" "37.61434" "-122.39521" "1212335151" "B" "37.80278" "-122.42321" "1212335151" "21121.4851966532"
"A" "37.78092" "-122.39526" "1212338761" "B" "37.74026" "-122.42073" "1212338761" "5050.87981471354"
"A" "37.78514" "-122.42095" "1212349031" "B" "37.78681" "-122.41964" "1212349031" "218.729208540217"
"A" "37.78736" "-122.41542" "1212349147" "B" "37.78829" "-122.40923" "1212349147" "554.313490132377"
"A" "37.61607" "-122.38895" "1212370179" "B" "37.78956" "-122.42151" "1212370179" "19524.5695585585"
"A" "37.76315" "-122.40433" "1212374393" "B" "37.78491" "-122.41145" "1212374393" "2502.01704491941"
"A" "37.61251" "-122.39497" "1212376633" "B" "37.63013" "-122.42493" "1212376633" "3290.21415136464"
"A" "37.6164" "-122.38599" "1212387753" "B" "37.80417" "-122.45238" "1212387753" "21704.7689653455"
"A" "37.76605" "-122.43549" "1212390361" "B" "37.7514" "-122.39529" "1212390361" "3895.73092377397"
"A" "37.773" "-122.43732" "1212390362" "B" "37.75129" "-122.3949" "1212390362" "4447.15011333139"
"A" "37.79444" "-122.42343" "1212422976" "B" "37.79303" "-122.39745" "1212422976" "2290.7692907636"
"A" "37.78021" "-122.39439" "1212425766" "B" "37.7894" "-122.43056" "1212425766" "3342.55784015769"
"A" "37.76658" "-122.40568" "1212426128" "B" "37.77587" "-122.42604" "1212426128" "2068.61201616121"
"A" "37.7552" "-122.40512" "1212430847" "B" "37.64169" "-122.40583" "1212430847" "12636.0301523274"
"A" "37.76125" "-122.41823" "1212432111" "B" "37.79258" "-122.39842" "1212432111" "3898.94432248842"
"A" "37.66598" "-122.39661" "1212438680" "B" "37.73618" "-122.40425" "1212438680" "7843.54660875784"
"A" "37.99658" "-122.52829" "1212446800" "B" "37.61648" "-122.38625" "1212446800" "44118.2098797623"
