"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75162" "-122.39446" "1212279481" "B" "37.79063" "-122.40572" "1212279481" "4454.17253447132"
"A" "37.75169" "-122.39444" "1212280147" "B" "37.7949" "-122.40063" "1212280147" "4840.85430043527"
"A" "37.77517" "-122.39747" "1212288950" "B" "37.78497" "-122.40934" "1212288950" "1510.23970970465"
"A" "37.78299" "-122.4069" "1212291428" "B" "37.7898" "-122.41551" "1212291428" "1071.66129804459"
"A" "37.77855" "-122.40586" "1212294751" "B" "37.78252" "-122.47067" "1212294751" "5719.26720943879"
"A" "37.78669" "-122.41043" "1212296708" "B" "37.78256" "-122.47067" "1212296708" "5319.69610150732"
"A" "37.58301" "-122.39994" "1212302176" "B" "37.79867" "-122.40818" "1212302176" "24018.1320023278"
"A" "37.58301" "-122.39994" "1212302236" "B" "37.79782" "-122.40869" "1212302236" "23924.9591802583"
"A" "37.6493" "-122.45177" "1212303674" "B" "37.77153" "-122.43556" "1212303674" "13681.2632145967"
"A" "37.79964" "-122.41557" "1212309452" "B" "37.79902" "-122.4358" "1212309452" "1780.77790839927"
"A" "37.80377" "-122.41372" "1212328025" "B" "37.7948" "-122.3962" "1212328025" "1836.29096769671"
"A" "37.6853" "-122.38993" "1212328952" "B" "37.79302" "-122.39749" "1212328952" "12009.7896661496"
"A" "37.80696" "-122.41846" "1212331785" "B" "37.79413" "-122.39747" "1212331785" "2334.2048712537"
"A" "37.80663" "-122.41417" "1212340875" "B" "37.79121" "-122.40821" "1212340875" "1794.81675222912"
"A" "37.80663" "-122.41412" "1212341414" "B" "37.79217" "-122.41256" "1212341414" "1615.51787495213"
"A" "37.79948" "-122.42442" "1212353138" "B" "37.79814" "-122.41281" "1212353138" "1032.06483137152"
"A" "37.75717" "-122.4174" "1212355210" "B" "37.79238" "-122.40235" "1212355210" "4137.2175232968"
"A" "37.75716" "-122.41741" "1212355451" "B" "37.78781" "-122.39863" "1212355451" "3791.05506061201"
"A" "37.75171" "-122.39425" "1212359525" "B" "37.78824" "-122.43557" "1212359525" "5454.97066179263"
"A" "37.75172" "-122.39426" "1212359585" "B" "37.78824" "-122.43557" "1212359585" "5453.55412192152"
"A" "37.66311" "-122.40033" "1212369656" "B" "37.77419" "-122.42214" "1212369656" "12513.6209910365"
"A" "37.69452" "-122.39174" "1212372406" "B" "37.78514" "-122.41828" "1212372406" "10354.7899564557"
"A" "37.66328" "-122.39966" "1212381172" "B" "37.76218" "-122.45335" "1212381172" "11981.8285594656"
"A" "37.54964" "-122.29283" "1212386195" "B" "37.73244" "-122.44359" "1212386195" "24304.2109637375"
"A" "37.76102" "-122.43305" "1212393658" "B" "37.72477" "-122.44326" "1212393658" "4134.20772869619"
"A" "37.80854" "-122.41296" "1212395621" "B" "37.74581" "-122.4503" "1212395621" "7717.33921270915"
"A" "37.78761" "-122.41435" "1212397923" "B" "37.78433" "-122.40436" "1212397923" "951.711704230433"
"A" "37.77419" "-122.42247" "1212399405" "B" "37.7607" "-122.43796" "1212399405" "2028.08567082124"
"A" "37.78123" "-122.45919" "1212400940" "B" "37.78068" "-122.48057" "1212400940" "1882.05830221488"
"A" "37.79" "-122.42261" "1212422925" "B" "37.79133" "-122.39937" "1212422925" "2049.79459165459"
"A" "37.78799" "-122.40767" "1212425262" "B" "37.78514" "-122.39598" "1212425262" "1076.25903677121"
