"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.78061" "-122.4588" "1212285914" "B" "37.8049" "-122.41852" "1212285914" "4457.21480687446"
"A" "37.76135" "-122.42915" "1212289561" "B" "37.786" "-122.39921" "1212289561" "3803.94581448919"
"A" "37.75964" "-122.43487" "1212289681" "B" "37.78689" "-122.40235" "1212289681" "4170.12471926559"
"A" "37.78521" "-122.41802" "1212291016" "B" "37.79223" "-122.4177" "1212291016" "781.969723211505"
"A" "37.78559" "-122.41481" "1212291076" "B" "37.79129" "-122.41754" "1212291076" "678.452222007002"
"A" "37.78565" "-122.41093" "1212291196" "B" "37.78271" "-122.4161" "1212291196" "560.356280971069"
"A" "37.78479" "-122.40452" "1212292491" "B" "37.78198" "-122.41289" "1212292491" "800.072371442484"
"A" "37.72662" "-122.47477" "1212304001" "B" "37.76535" "-122.4544" "1212304001" "4669.39210989947"
"A" "37.85829" "-122.49977" "1212306561" "B" "37.77988" "-122.40385" "1212306561" "12138.1812431899"
"A" "37.76179" "-122.43844" "1212313492" "B" "37.77679" "-122.40343" "1212313492" "3504.17043652674"
"A" "37.79762" "-122.40544" "1212315378" "B" "37.79453" "-122.42561" "1212315378" "1807.27684894866"
"A" "37.79264" "-122.39955" "1212315910" "B" "37.77848" "-122.46196" "1212315910" "5712.41997981747"
"A" "37.79094" "-122.41613" "1212350016" "B" "37.79883" "-122.39887" "1212350016" "1754.03264810314"
"A" "37.7572" "-122.41741" "1212356112" "B" "37.7629" "-122.43474" "1212356112" "1651.8913035955"
"A" "37.75716" "-122.41744" "1212356232" "B" "37.76728" "-122.42919" "1212356232" "1529.17970008154"
"A" "37.75716" "-122.41745" "1212356533" "B" "37.78048" "-122.42192" "1212356533" "2625.60158700601"
"A" "37.75714" "-122.41743" "1212356654" "B" "37.78487" "-122.4197" "1212356654" "3093.34534575887"
"A" "37.74848" "-122.41642" "1212357481" "B" "37.80442" "-122.40209" "1212357481" "6353.57772158428"
"A" "37.75176" "-122.39429" "1212361821" "B" "37.79134" "-122.42085" "1212361821" "4987.49767405318"
"A" "37.75169" "-122.39427" "1212362504" "B" "37.78712" "-122.42034" "1212362504" "4562.69952039616"
"A" "37.75171" "-122.39427" "1212363932" "B" "37.77434" "-122.39604" "1212363932" "2523.97121412239"
"A" "37.75168" "-122.39516" "1212365921" "B" "37.79948" "-122.39765" "1212365921" "5325.58023826335"
"A" "37.75173" "-122.3951" "1212366101" "B" "37.80301" "-122.40081" "1212366101" "5730.52917087893"
"A" "37.61154" "-122.39363" "1212371935" "B" "37.80839" "-122.40976" "1212371935" "21959.235575868"
"A" "37.7282" "-122.40278" "1212372536" "B" "37.80167" "-122.42468" "1212372536" "8402.64346001403"
"A" "37.77316" "-122.40313" "1212372846" "B" "37.79122" "-122.42596" "1212372846" "2841.88575176407"
"A" "37.77019" "-122.40683" "1212372907" "B" "37.78889" "-122.42539" "1212372907" "2645.75185811504"
"A" "37.77448" "-122.4202" "1212392261" "B" "37.5871" "-122.35162" "1212392261" "21716.478154296"
"A" "37.80484" "-122.41667" "1212395202" "B" "37.80162" "-122.4145" "1212395202" "406.096809922206"
"A" "37.80594" "-122.41608" "1212395382" "B" "37.79901" "-122.40825" "1212395382" "1034.13492085707"
"A" "37.71551" "-122.39829" "1212443776" "B" "37.86955" "-122.2873" "1212443776" "19732.4689906703"
"A" "37.78982" "-122.40401" "1212455516" "B" "37.78924" "-122.40172" "1212455516" "211.549665163947"
"A" "37.80389" "-122.41323" "1212460077" "B" "37.76886" "-122.4358" "1212460077" "4375.95002335191"
"A" "37.7995" "-122.44308" "1212462984" "B" "37.64351" "-122.40634" "1212462984" "17663.5049956544"
"A" "37.74829" "-122.41381" "1212508814" "B" "37.61652" "-122.38611" "1212508814" "14870.1801057901"
"A" "37.78202" "-122.44269" "1212516643" "B" "37.75164" "-122.39472" "1212516643" "5408.94476118509"
"A" "37.78182" "-122.44546" "1212517366" "B" "37.75135" "-122.39507" "1212517366" "5582.82687800979"
"A" "37.78931" "-122.40728" "1212527567" "B" "37.76256" "-122.39276" "1212527567" "3240.29439920874"
"A" "37.78647" "-122.45273" "1212528352" "B" "37.67315" "-122.38731" "1212528352" "13867.4569380375"
"A" "37.77442" "-122.41488" "1212533163" "B" "37.78211" "-122.40176" "1212533163" "1437.1453299496"
"A" "37.80765" "-122.42049" "1212544120" "B" "37.78844" "-122.40777" "1212544120" "2413.47089011782"
"A" "37.78494" "-122.41154" "1212545095" "B" "37.79366" "-122.39873" "1212545095" "1487.35775184315"
"A" "37.7864" "-122.41686" "1212548188" "B" "37.78888" "-122.41125" "1212548188" "565.503255038028"
"A" "37.79549" "-122.40347" "1212553190" "B" "37.79176" "-122.39953" "1212553190" "540.864440114654"
"A" "37.64303" "-122.40598" "1212562884" "B" "37.7853" "-122.41768" "1212562884" "15870.9029627225"
"A" "37.66899" "-122.39364" "1212563994" "B" "37.78527" "-122.41793" "1212563994" "13119.714277235"
"A" "37.6152" "-122.39028" "1212564237" "B" "37.78526" "-122.41785" "1212564237" "19086.0997691822"
"A" "37.61534" "-122.38708" "1212564474" "B" "37.78527" "-122.41806" "1212564474" "19112.3091325887"
"A" "37.76526" "-122.41309" "1212594760" "B" "37.78839" "-122.40153" "1212594760" "2768.43921167433"
"A" "37.77153" "-122.41694" "1212594937" "B" "37.78841" "-122.40158" "1212594937" "2314.57751467089"
"A" "37.77124" "-122.41793" "1212594998" "B" "37.78833" "-122.40124" "1212594998" "2403.25960205687"
"A" "37.78181" "-122.45152" "1212598869" "B" "37.61645" "-122.38591" "1212598869" "19293.585571566"
"A" "37.78512" "-122.42152" "1212599232" "B" "37.61644" "-122.386" "1212599232" "19036.2102160093"
"A" "37.7861" "-122.40972" "1212599410" "B" "37.61646" "-122.38599" "1212599410" "18999.5484308121"
"A" "37.78224" "-122.41146" "1212602889" "B" "37.788" "-122.42012" "1212602889" "995.793676486978"
"A" "37.78227" "-122.40816" "1212602949" "B" "37.79063" "-122.42074" "1212602949" "1446.00732417763"
"A" "37.71865" "-122.44841" "1212615981" "B" "37.80677" "-122.41856" "1212615981" "10155.1208219502"
