"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.75814" "-122.43478" "1212296345" "B" "37.76488" "-122.43248" "1212296345" "777.117101250101"
"A" "37.78737" "-122.41193" "1212312661" "B" "37.71679" "-122.39692" "1212312661" "7967.22842462446"
"A" "37.78593" "-122.40634" "1212333685" "B" "37.78369" "-122.3896" "1212333685" "1493.70780147687"
"A" "37.76597" "-122.40878" "1212335813" "B" "37.78865" "-122.39263" "1212335813" "2897.14324093799"
"A" "37.75527" "-122.4051" "1212343884" "B" "37.80121" "-122.41955" "1212343884" "5269.68781943294"
"A" "37.76696" "-122.42434" "1212345256" "B" "37.79904" "-122.40843" "1212345256" "3835.66062528617"
"A" "37.78066" "-122.47469" "1212356598" "B" "37.78914" "-122.42546" "1212356598" "4432.81836651842"
"A" "37.77483" "-122.43264" "1212359903" "B" "37.77656" "-122.39447" "1212359903" "3364.04135203839"
"A" "37.77694" "-122.39866" "1212364707" "B" "37.80825" "-122.41699" "1212364707" "3840.33062509891"
"A" "37.80834" "-122.40951" "1212378675" "B" "37.78862" "-122.41172" "1212378675" "2203.81073887991"
"A" "37.80803" "-122.40908" "1212382392" "B" "37.61654" "-122.38618" "1212382392" "21411.7504227392"
"A" "37.78982" "-122.42178" "1212390361" "B" "37.7514" "-122.39529" "1212390361" "4870.86104665812"
"A" "37.78976" "-122.42191" "1212390362" "B" "37.75129" "-122.3949" "1212390362" "4897.79065375414"
"A" "37.65371" "-122.45623" "1212412787" "B" "37.61798" "-122.38615" "1212412787" "7347.54011415158"
"A" "37.67138" "-122.46663" "1212413817" "B" "37.77508" "-122.43006" "1212413817" "11984.5146121934"
"A" "37.76439" "-122.43535" "1212416377" "B" "37.62819" "-122.40184" "1212416377" "15446.3550964467"
"A" "37.78155" "-122.42398" "1212419408" "B" "37.78501" "-122.46111" "1212419408" "3289.30957705439"
"A" "37.77246" "-122.42374" "1212419770" "B" "37.78529" "-122.47" "1212419770" "4313.48799075268"
"A" "37.67801" "-122.38829" "1212435528" "B" "37.79397" "-122.3978" "1212435528" "12935.7296747117"
"A" "37.75657" "-122.4064" "1212438018" "B" "37.74197" "-122.40735" "1212438018" "1627.41422194956"
"A" "37.79255" "-122.4245" "1212439357" "B" "37.79174" "-122.39824" "1212439357" "2311.82521529539"
"A" "37.79686" "-122.43006" "1212439477" "B" "37.79132" "-122.39904" "1212439477" "2797.54906869775"
"A" "37.79627" "-122.40457" "1212442253" "B" "37.7756" "-122.43116" "1212442253" "3281.27563996359"
"A" "37.76267" "-122.39244" "1212455657" "B" "37.78961" "-122.4062" "1212455657" "3234.11749956849"
"A" "37.79376" "-122.3962" "1212463712" "B" "37.61536" "-122.38706" "1212463712" "19875.7052984149"
"A" "37.78663" "-122.4137" "1212475534" "B" "37.65988" "-122.46424" "1212475534" "14794.8722725162"
"A" "37.80016" "-122.4125" "1212476564" "B" "37.61653" "-122.38608" "1212476564" "20573.5947264547"
"A" "37.72595" "-122.40223" "1212504105" "B" "37.76483" "-122.41741" "1212504105" "4529.67251791116"
"A" "37.61799" "-122.38633" "1212504719" "B" "37.76916" "-122.40862" "1212504719" "16942.3232663401"
"A" "37.62482" "-122.40104" "1212504839" "B" "37.77099" "-122.4027" "1212504839" "16272.2268895149"
"A" "37.63426" "-122.41016" "1212504899" "B" "37.7751" "-122.39756" "1212504899" "15717.4614827537"
"A" "37.80382" "-122.42768" "1212510739" "B" "37.75997" "-122.42153" "1212510739" "4911.25692320266"
"A" "37.76684" "-122.41983" "1212519499" "B" "37.77744" "-122.40295" "1212519499" "1896.98188259869"
"A" "37.7247" "-122.39465" "1212532532" "B" "37.71043" "-122.39551" "1212532532" "1590.33323157684"
"A" "37.76189" "-122.419" "1212539402" "B" "37.76208" "-122.44251" "1212539402" "2069.10336934296"
"A" "37.76179" "-122.42087" "1212539461" "B" "37.76092" "-122.44552" "1212539461" "2171.50009222917"
"A" "37.74368" "-122.43796" "1212540005" "B" "37.7643" "-122.45423" "1212540005" "2705.45849688691"
"A" "37.78467" "-122.42187" "1212541990" "B" "37.78894" "-122.40168" "1212541990" "1838.72492113787"
"A" "37.79098" "-122.41734" "1212543512" "B" "37.79479" "-122.40524" "1212543512" "1145.80180367806"
"A" "37.79118" "-122.41081" "1212544573" "B" "37.79048" "-122.41355" "1212544573" "253.322069945644"
"A" "37.77683" "-122.42315" "1212552036" "B" "37.63884" "-122.40492" "1212552036" "15444.6507584333"
"A" "37.78008" "-122.4206" "1212553198" "B" "37.77021" "-122.44513" "1212553198" "2421.937347196"
"A" "37.76481" "-122.42289" "1212560805" "B" "37.77483" "-122.44451" "1212560805" "2205.3425094345"
"A" "37.75282" "-122.40923" "1212562884" "B" "37.77522" "-122.40607" "1212562884" "2509.01521149595"
