"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.79425" "-122.40053" "1212290783" "B" "37.78161" "-122.44469" "1212290783" "4131.89701846262"
"A" "37.80029" "-122.41135" "1212303674" "B" "37.77153" "-122.43556" "1212303674" "3845.3123064118"
"A" "37.80042" "-122.41023" "1212303700" "B" "37.77169" "-122.43541" "1212303700" "3890.48044306194"
"A" "37.78363" "-122.42246" "1212307683" "B" "37.78408" "-122.43372" "1212307683" "991.907877297565"
"A" "37.78863" "-122.41298" "1212312695" "B" "37.80891" "-122.36679" "1212312695" "4648.00225101805"
"A" "37.76127" "-122.4285" "1212313700" "B" "37.76162" "-122.4224" "1212313700" "538.245837527151"
"A" "37.7685" "-122.42766" "1212331785" "B" "37.79413" "-122.39747" "1212331785" "3898.14608921739"
"A" "37.77637" "-122.41148" "1212339048" "B" "37.79681" "-122.40075" "1212339048" "2463.41340768211"
"A" "37.75209" "-122.40618" "1212343796" "B" "37.80041" "-122.40985" "1212343796" "5388.64189668265"
"A" "37.75562" "-122.41876" "1212345551" "B" "37.77258" "-122.47179" "1212345551" "5034.20024647358"
"A" "37.78786" "-122.40771" "1212348392" "B" "37.79791" "-122.40622" "1212348392" "1126.41285244145"
"A" "37.78828" "-122.40817" "1212349172" "B" "37.79538" "-122.39389" "1212349172" "1484.1588777819"
"A" "37.79664" "-122.39551" "1212377920" "B" "37.76044" "-122.43498" "1212377920" "5319.69753907851"
"A" "37.79026" "-122.41727" "1212398207" "B" "37.78416" "-122.40777" "1212398207" "1076.84932981277"
"A" "37.78763" "-122.41674" "1212398267" "B" "37.78154" "-122.41123" "1212398267" "833.41941563458"
"A" "37.78364" "-122.41592" "1212398327" "B" "37.78029" "-122.41265" "1212398327" "470.998775341276"
"A" "37.7825" "-122.41574" "1212398387" "B" "37.7807" "-122.41209" "1212398387" "378.518666971989"
"A" "37.71047" "-122.45515" "1212400357" "B" "37.78785" "-122.41692" "1212400357" "9247.84316404963"
"A" "37.76535" "-122.41432" "1212402262" "B" "37.75028" "-122.41585" "1212402262" "1682.98024567318"
"A" "37.7335" "-122.47175" "1212412453" "B" "37.65038" "-122.40666" "1212412453" "10885.3363875427"
"A" "37.76762" "-122.42873" "1212416708" "B" "37.72887" "-122.42263" "1212416708" "4346.91838785479"
"A" "37.76195" "-122.42847" "1212417070" "B" "37.7287" "-122.42257" "1212417070" "3737.63062527505"
"A" "37.7622" "-122.43604" "1212417718" "B" "37.72879" "-122.4226" "1212417718" "3902.81143668548"
"A" "37.77301" "-122.41659" "1212424066" "B" "37.78789" "-122.40507" "1212424066" "1941.92798544832"
"A" "37.76135" "-122.42794" "1212429967" "B" "37.77682" "-122.41653" "1212429967" "1993.43094634792"
"A" "37.7778" "-122.39206" "1212436005" "B" "37.78027" "-122.4782" "1212436005" "7583.98029969599"
"A" "37.7611" "-122.41707" "1212438810" "B" "37.75908" "-122.41248" "1212438810" "462.322769168091"
"A" "37.76668" "-122.41762" "1212438870" "B" "37.75883" "-122.41645" "1212438870" "879.90313730408"
