"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.7873" "-122.41078" "1212290454" "B" "37.78172" "-122.4048" "1212290454" "814.023259649537"
"A" "37.77702" "-122.44678" "1212292956" "B" "37.78236" "-122.41283" "1212292956" "3045.62646785205"
"A" "37.78515" "-122.40519" "1212299090" "B" "37.78672" "-122.42051" "1212299090" "1359.08268839655"
"A" "37.77926" "-122.40777" "1212304180" "B" "37.76979" "-122.44857" "1212304180" "3741.57252829134"
"A" "37.79416" "-122.40053" "1212312106" "B" "37.79984" "-122.41322" "1212312106" "1282.89442488587"
"A" "37.78893" "-122.41882" "1212315145" "B" "37.79863" "-122.40853" "1212315145" "1409.01338991031"
"A" "37.75103" "-122.4108" "1212316165" "B" "37.78073" "-122.46951" "1212316165" "6133.80475988603"
"A" "37.75162" "-122.39522" "1212316608" "B" "37.781" "-122.45995" "1212316608" "6568.37679380101"
"A" "37.7516" "-122.39522" "1212316788" "B" "37.78049" "-122.47799" "1212316788" "7962.16210555309"
"A" "37.78797" "-122.40803" "1212348211" "B" "37.77865" "-122.39176" "1212348211" "1767.87562702076"
"A" "37.77431" "-122.46382" "1212352600" "B" "37.61628" "-122.38625" "1212352600" "18872.1402283476"
"A" "37.77464" "-122.41983" "1212372675" "B" "37.79801" "-122.42729" "1212372675" "2683.04350715338"
"A" "37.77186" "-122.44726" "1212385076" "B" "37.78407" "-122.39648" "1212385076" "4670.09556952908"
"A" "37.78962" "-122.42237" "1212392948" "B" "37.58695" "-122.33908" "1212392948" "23724.2262730117"
"A" "37.7909" "-122.3995" "1212397542" "B" "37.75081" "-122.39533" "1212397542" "4477.8579436733"
"A" "37.78175" "-122.41511" "1212398401" "B" "37.78446" "-122.39485" "1212398401" "1807.81857046114"
"A" "37.72139" "-122.43402" "1212420337" "B" "37.77879" "-122.42265" "1212420337" "6467.63598360812"
"A" "37.72653" "-122.43018" "1212420457" "B" "37.7789" "-122.42206" "1212420457" "5873.44609473467"
"A" "37.72862" "-122.42604" "1212420517" "B" "37.77964" "-122.42191" "1212420517" "5691.14079860351"
"A" "37.77649" "-122.39561" "1212421924" "B" "37.79586" "-122.40346" "1212421924" "2264.15469490801"
"A" "37.75745" "-122.41378" "1212438673" "B" "37.7875" "-122.41999" "1212438673" "3389.48700015626"
"A" "37.79343" "-122.40448" "1212442422" "B" "37.74846" "-122.40394" "1212442422" "5006.26300904124"
"A" "37.7934" "-122.40593" "1212442482" "B" "37.76127" "-122.4061" "1212442482" "3576.72651563469"
"A" "37.79478" "-122.44642" "1212444200" "B" "37.86954" "-122.28721" "1212444200" "16285.0373153144"
"A" "37.79312" "-122.3994" "1212460229" "B" "37.76116" "-122.4351" "1212460229" "4745.99182390341"
"A" "37.79094" "-122.42422" "1212461372" "B" "37.78781" "-122.41131" "1212461372" "1187.9684136787"
"A" "37.77854" "-122.39242" "1212471926" "B" "37.79448" "-122.42561" "1212471926" "3416.79803412332"
"A" "37.77647" "-122.39559" "1212472230" "B" "37.79898" "-122.41727" "1212472230" "3149.08993106586"
"A" "37.78178" "-122.41385" "1212473062" "B" "37.78482" "-122.41785" "1212473062" "488.230024404023"
"A" "37.65787" "-122.4611" "1212505114" "B" "37.41228" "-122.07144" "1212505114" "43938.1359918793"
"A" "37.79127" "-122.41553" "1212514412" "B" "37.79137" "-122.40007" "1212514412" "1360.06158392011"
"A" "37.78939" "-122.41705" "1212514473" "B" "37.78723" "-122.39454" "1212514473" "1994.82965809445"
"A" "37.79161" "-122.40442" "1212514777" "B" "37.75292" "-122.40297" "1212514777" "4308.84054167094"
"A" "37.79236" "-122.40243" "1212514836" "B" "37.74959" "-122.3982" "1212514836" "4775.66196818363"
"A" "37.78161" "-122.43088" "1212516460" "B" "37.75162" "-122.39473" "1212516460" "4611.42986769113"
"A" "37.74958" "-122.38752" "1212533891" "B" "37.78213" "-122.4018" "1212533891" "3835.17149689428"
"A" "37.78466" "-122.40403" "1212537314" "B" "37.75878" "-122.46598" "1212537314" "6165.65417328459"
"A" "37.78721" "-122.40391" "1212542628" "B" "37.77507" "-122.4132" "1212542628" "1579.36679551628"
"A" "37.75282" "-122.40923" "1212562884" "B" "37.7853" "-122.41768" "1212562884" "3691.32397969792"
"A" "37.78874" "-122.4352" "1212591719" "B" "37.71661" "-122.39879" "1212591719" "8645.3640727898"
"A" "37.8001" "-122.40994" "1212593417" "B" "37.80474" "-122.40561" "1212593417" "641.750964045132"
"A" "37.78793" "-122.40828" "1212595475" "B" "37.72727" "-122.40277" "1212595475" "6770.03056178556"
"A" "37.78955" "-122.39955" "1212606463" "B" "37.79381" "-122.39452" "1212606463" "648.598667784691"
"A" "37.79744" "-122.40539" "1212612318" "B" "37.7822" "-122.48922" "1212612318" "7567.29496703867"
"A" "37.79122" "-122.39574" "1212614522" "B" "37.7878" "-122.42058" "1212614522" "2218.14420904727"
"A" "37.79286" "-122.397" "1212614583" "B" "37.78775" "-122.42058" "1212614583" "2150.94275424036"
"A" "37.78898" "-122.45074" "1212635361" "B" "37.78771" "-122.42133" "1212635361" "2591.1611872935"
"A" "37.76441" "-122.41054" "1212684225" "B" "37.7936" "-122.39715" "1212684225" "3456.39371196162"
"A" "37.76664" "-122.42212" "1212687658" "B" "37.79888" "-122.4435" "1212687658" "4052.00134041004"
"A" "37.75854" "-122.4191" "1212687828" "B" "37.80101" "-122.42677" "1212687828" "4775.65874407234"
"A" "37.72925" "-122.39274" "1212689979" "B" "37.80755" "-122.42048" "1212689979" "9051.67726643611"
"A" "37.74921" "-122.41809" "1212690838" "B" "37.78663" "-122.39976" "1212690838" "4466.96631611782"
"A" "37.77254" "-122.41312" "1212695119" "B" "37.79085" "-122.43197" "1212695119" "2627.72916480615"
"A" "37.77175" "-122.41148" "1212695179" "B" "37.79091" "-122.43243" "1212695179" "2818.97936320319"
"A" "37.77103" "-122.40889" "1212695239" "B" "37.78998" "-122.43235" "1212695239" "2951.3431456504"
"A" "37.78327" "-122.41234" "1212698768" "B" "37.78765" "-122.42066" "1212698768" "879.494915686643"
"A" "37.78323" "-122.41236" "1212698828" "B" "37.78785" "-122.42051" "1212698828" "882.386480196939"
"A" "37.77972" "-122.41164" "1212705462" "B" "37.63913" "-122.40545" "1212705462" "15659.898467905"
"A" "37.75138" "-122.39371" "1212711759" "B" "37.79101" "-122.40156" "1212711759" "4465.34184184817"
"A" "37.75139" "-122.39372" "1212712183" "B" "37.78441" "-122.40287" "1212712183" "3762.92407279898"
"A" "37.75139" "-122.39372" "1212712304" "B" "37.78146" "-122.40041" "1212712304" "3398.75294678072"
"A" "37.75139" "-122.3937" "1212712425" "B" "37.77816" "-122.40184" "1212712425" "3064.9092126287"
"A" "37.7514" "-122.39371" "1212712547" "B" "37.77396" "-122.40672" "1212712547" "2760.04336544815"
"A" "37.79409" "-122.39769" "1212726495" "B" "37.80818" "-122.40982" "1212726495" "1896.97510682326"
"A" "37.75546" "-122.39873" "1212764175" "B" "37.78862" "-122.4062" "1212764175" "3749.41988338868"
"A" "37.75792" "-122.39896" "1212764235" "B" "37.78875" "-122.40527" "1212764235" "3476.60202156761"
"A" "37.75831" "-122.39529" "1212764358" "B" "37.78865" "-122.41345" "1212764358" "3736.36270014107"
"A" "37.48768" "-122.20683" "1212773123" "B" "37.75019" "-122.40351" "1212773123" "33980.9433812927"
"A" "37.78786" "-122.41109" "1212777084" "B" "37.77343" "-122.40683" "1212777084" "1649.48742258772"
"A" "37.66586" "-122.39657" "1212778328" "B" "37.61504" "-122.39019" "1212778328" "5685.14174909817"
"A" "37.61902" "-122.39911" "1212779275" "B" "37.77772" "-122.41351" "1212779275" "17711.8755411359"
"A" "37.76824" "-122.41781" "1212788370" "B" "37.86678" "-122.28694" "1212788370" "15898.8947749048"
"A" "37.7767" "-122.39542" "1212789596" "B" "37.86679" "-122.28696" "1212789596" "13839.6610072963"
"A" "37.77742" "-122.3998" "1212789717" "B" "37.86678" "-122.28698" "1212789717" "14048.9126128738"
"A" "37.81465" "-122.301" "1212794367" "B" "37.80488" "-122.41946" "1212794367" "10474.9363977891"
"A" "37.72884" "-122.19595" "1212794998" "B" "37.79152" "-122.39977" "1212794998" "19246.8895117918"
"A" "37.78498" "-122.4045" "1212801076" "B" "37.77501" "-122.43276" "1212801076" "2722.87122965411"
"A" "37.78602" "-122.40217" "1212801198" "B" "37.77438" "-122.43248" "1212801198" "2964.90499994861"
"A" "37.7638" "-122.43359" "1212805835" "B" "37.79819" "-122.44252" "1212805835" "3908.06893174954"
