"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.72419" "-122.40199" "1212311285" "B" "37.77941" "-122.40233" "1212311285" "6147.13512511583"
"A" "37.71675" "-122.3969" "1212312921" "B" "37.81906" "-122.37381" "1212312921" "11568.9250889343"
"A" "37.7168" "-122.39654" "1212313042" "B" "37.80235" "-122.37346" "1212313042" "9737.59019895303"
"A" "37.75154" "-122.39363" "1212326979" "B" "37.79184" "-122.39816" "1212326979" "4503.84949346768"
"A" "37.74826" "-122.41675" "1212328524" "B" "37.79706" "-122.39762" "1212328524" "5687.20854384907"
"A" "37.80471" "-122.4211" "1212331141" "B" "37.79394" "-122.39739" "1212331141" "2405.59236287285"
"A" "37.79008" "-122.39274" "1212334432" "B" "37.79434" "-122.39669" "1212334432" "587.899684781233"
"A" "37.74961" "-122.42132" "1212339233" "B" "37.79368" "-122.39657" "1212339233" "5367.52610722757"
"A" "37.79305" "-122.40966" "1212341366" "B" "37.78659" "-122.4111" "1212341366" "730.196451490477"
"A" "37.80298" "-122.41872" "1212343988" "B" "37.79719" "-122.41196" "1212343988" "876.919949359576"
"A" "37.80011" "-122.39858" "1212344664" "B" "37.77987" "-122.45624" "1212344664" "5550.32824063941"
"A" "37.61789" "-122.38556" "1212352133" "B" "37.7445" "-122.39526" "1212352133" "14120.0450170856"
"A" "37.72103" "-122.39994" "1212354060" "B" "37.79825" "-122.42689" "1212354060" "8917.30056721416"
"A" "37.77102" "-122.45375" "1212374990" "B" "37.77057" "-122.4142" "1212374990" "3480.53978627196"
"A" "37.78437" "-122.41096" "1212378619" "B" "37.78014" "-122.40356" "1212378619" "803.495837873485"
"A" "37.77368" "-122.43331" "1212415018" "B" "37.72876" "-122.42253" "1212415018" "5089.695025282"
"A" "37.77452" "-122.42677" "1212415079" "B" "37.72881" "-122.42249" "1212415079" "5102.33959347936"
"A" "37.77475" "-122.42448" "1212415139" "B" "37.72878" "-122.42249" "1212415139" "5120.3536482792"
"A" "37.76944" "-122.41228" "1212415259" "B" "37.72878" "-122.42259" "1212415259" "4616.32741034577"
"A" "37.76178" "-122.40612" "1212415319" "B" "37.72877" "-122.42258" "1212415319" "3949.98424584596"
"A" "37.78775" "-122.38979" "1212423509" "B" "37.78767" "-122.39165" "1212423509" "163.874333255322"
"A" "37.79167" "-122.40411" "1212432995" "B" "37.80134" "-122.41777" "1212432995" "1613.24927650671"
"A" "37.79129" "-122.43097" "1212437114" "B" "37.76326" "-122.424" "1212437114" "3179.98071502417"
"A" "37.72128" "-122.4042" "1212438189" "B" "37.76549" "-122.4118" "1212438189" "4966.69785400461"
"A" "37.73884" "-122.40806" "1212450175" "B" "37.78914" "-122.40174" "1212450175" "5626.92458779377"
"A" "37.7867" "-122.40284" "1212450594" "B" "37.75451" "-122.39194" "1212450594" "3709.51813194141"
"A" "37.78511" "-122.40417" "1212469705" "B" "37.78509" "-122.42131" "1212469705" "1507.93417033572"
"A" "37.61653" "-122.38608" "1212476564" "B" "37.76865" "-122.42757" "1212476564" "17323.8225426189"
"A" "37.76848" "-122.40827" "1212505607" "B" "37.76238" "-122.42387" "1212505607" "1531.57489751744"
"A" "37.75056" "-122.40249" "1212508447" "B" "37.80489" "-122.4194" "1212508447" "6228.30986910978"
"A" "37.75764" "-122.39299" "1212508628" "B" "37.80022" "-122.41015" "1212508628" "4974.63545942236"
"A" "37.74825" "-122.41795" "1212509186" "B" "37.79562" "-122.4038" "1212509186" "5418.20650394849"
"A" "37.78635" "-122.40245" "1212516071" "B" "37.75237" "-122.41659" "1212516071" "3982.02627087871"
"A" "37.61397" "-122.39508" "1212520269" "B" "37.78592" "-122.40549" "1212520269" "19163.3341768885"
"A" "37.78449" "-122.40454" "1212524922" "B" "37.78814" "-122.40865" "1212524922" "543.905993817764"
"A" "37.7492" "-122.41612" "1212528286" "B" "37.77854" "-122.41996" "1212528286" "3283.54938578786"
"A" "37.75222" "-122.41625" "1212528346" "B" "37.77532" "-122.41947" "1212528346" "2587.04630207638"
"A" "37.7518" "-122.39392" "1212534746" "B" "37.75115" "-122.39537" "1212534746" "146.710033402996"
"A" "37.78938" "-122.4231" "1212544753" "B" "37.78675" "-122.40895" "1212544753" "1278.79497575274"
"A" "37.78603" "-122.43333" "1212548706" "B" "37.79148" "-122.40751" "1212548706" "2351.0896880549"
"A" "37.78489" "-122.43417" "1212548766" "B" "37.79143" "-122.40756" "1212548766" "2451.57526904098"
"A" "37.76965" "-122.41566" "1212550066" "B" "37.75285" "-122.4092" "1212550066" "1954.67087072992"
"A" "37.55495" "-122.32148" "1212558204" "B" "37.76018" "-122.39297" "1212558204" "23698.9120239395"
