"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.78766" "-122.39908" "1212294696" "B" "37.7997" "-122.43754" "1212294696" "3639.02873260049"
"A" "37.7168" "-122.39689" "1212298546" "B" "37.78458" "-122.40857" "1212298546" "7614.95027015572"
"A" "37.71683" "-122.39688" "1212298847" "B" "37.78608" "-122.41208" "1212298847" "7824.10580777588"
"A" "37.7168" "-122.39683" "1212300891" "B" "37.75557" "-122.41759" "1212300891" "4686.87625528561"
"A" "37.71679" "-122.39686" "1212304984" "B" "37.77423" "-122.43611" "1212304984" "7267.90497818278"
"A" "37.75557" "-122.38818" "1212316220" "B" "37.78103" "-122.4628" "1212316220" "7151.90912298696"
"A" "37.80669" "-122.42038" "1212355635" "B" "37.74854" "-122.44932" "1212355635" "6956.0368119336"
"A" "37.79131" "-122.4147" "1212358662" "B" "37.8084" "-122.41007" "1212358662" "1945.55189795374"
"A" "37.79716" "-122.43547" "1212371074" "B" "37.79868" "-122.423" "1212371074" "1109.86184492723"
"A" "37.79792" "-122.43726" "1212371135" "B" "37.79914" "-122.41933" "1212371135" "1582.98453063183"
"A" "37.76978" "-122.44933" "1212375085" "B" "37.80691" "-122.40652" "1212375085" "5591.7769040221"
"A" "37.64398" "-122.44722" "1212384704" "B" "37.77772" "-122.40011" "1212384704" "15455.1269931767"
"A" "37.63554" "-122.43906" "1212416533" "B" "37.80508" "-122.41779" "1212416533" "18965.8104010629"
"A" "37.78798" "-122.46373" "1212421621" "B" "37.80015" "-122.41123" "1212421621" "4812.86071165839"
"A" "37.79211" "-122.40776" "1212424369" "B" "37.79067" "-122.40371" "1212424369" "390.679162836574"
"A" "37.79162" "-122.41067" "1212424429" "B" "37.79268" "-122.40454" "1212424429" "552.009255620374"
"A" "37.77657" "-122.42592" "1212427549" "B" "37.78217" "-122.41012" "1212427549" "1523.52639502919"
"A" "37.79081" "-122.43249" "1212437257" "B" "37.78826" "-122.4029" "1212437257" "2618.52667066983"
"A" "37.72128" "-122.40421" "1212438196" "B" "37.78746" "-122.42016" "1212438196" "7499.68213509388"
"A" "37.73036" "-122.40909" "1212438433" "B" "37.78749" "-122.42006" "1212438433" "6432.54710752396"
"A" "37.72947" "-122.41454" "1212438493" "B" "37.78752" "-122.41999" "1212438493" "6479.87298112654"
