"noA" "latA" "lonA" "dataA" "noB" "latB" "lonB" "dataB" "distancia"
"A" "37.786" "-122.41084" "1212254107" "B" "37.78327" "-122.3997" "1212254107" "1026.11025202929"
"A" "37.79912" "-122.42442" "1212265796" "B" "37.79805" "-122.40698" "1212265796" "1538.66304797393"
"A" "37.78054" "-122.46857" "1212281900" "B" "37.76308" "-122.40884" "1212281900" "5603.70637751952"
"A" "37.78261" "-122.47084" "1212281963" "B" "37.76312" "-122.40788" "1212281963" "5949.66743945362"
"A" "37.78275" "-122.47061" "1212282619" "B" "37.77516" "-122.3975" "1212282619" "6487.81420735075"
"A" "37.78275" "-122.4706" "1212282800" "B" "37.78135" "-122.40471" "1212282800" "5799.16408198383"
"A" "37.78276" "-122.47062" "1212284058" "B" "37.78438" "-122.42118" "1212284058" "4353.42911993296"
"A" "37.78259" "-122.4707" "1212295045" "B" "37.79759" "-122.43731" "1212295045" "3378.8060261138"
"A" "37.75636" "-122.42431" "1212300128" "B" "37.78082" "-122.41542" "1212300128" "2833.02494040039"
"A" "37.76959" "-122.42232" "1212300370" "B" "37.76979" "-122.41328" "1212300370" "795.792942018936"
"A" "37.77909" "-122.41106" "1212301252" "B" "37.73937" "-122.41872" "1212301252" "4472.70665420542"
"A" "37.78939" "-122.42258" "1212303106" "B" "37.79925" "-122.441" "1212303106" "1957.10355766774"
"A" "37.78219" "-122.45004" "1212307559" "B" "37.78612" "-122.41896" "1212307559" "2769.14892665576"
"A" "37.7596" "-122.42982" "1212313608" "B" "37.78212" "-122.41009" "1212313608" "3049.38749647161"
"A" "37.77603" "-122.41938" "1212369531" "B" "37.79016" "-122.42235" "1212369531" "1594.50047437621"
"A" "37.70357" "-122.39381" "1212371220" "B" "37.799" "-122.42084" "1212371220" "10886.3664346352"
"A" "37.77489" "-122.41304" "1212376297" "B" "37.78439" "-122.40909" "1212376297" "1113.17660449633"
"A" "37.77511" "-122.4102" "1212376727" "B" "37.78435" "-122.4089" "1212376727" "1034.9319955386"
"A" "37.76287" "-122.43468" "1212377721" "B" "37.78435" "-122.4089" "1212377721" "3295.94386479532"
"A" "37.73236" "-122.44359" "1212384351" "B" "37.70771" "-122.39471" "1212384351" "5104.420424596"
"A" "37.74235" "-122.49042" "1212394346" "B" "37.71504" "-122.39781" "1212394346" "8702.11935354242"
"A" "37.76177" "-122.43794" "1212395928" "B" "37.78229" "-122.42072" "1212395928" "2741.14293049549"
